time,close,high,low,open,volumefrom,volumeto
2017-11-06,0.002048,0.002375,0.001069,0.002342,1129994.41,2314.23
2017-11-07,0.001459,0.001926,0.00108,0.00108,130642.17,190.61
2017-11-08,0.001534,0.001537,0.001168,0.001291,50002.81,76.7
2017-11-09,0.001247,0.002222,0.001205,0.001595,386399.11,481.84
2017-11-10,0.001158,0.001158,0.001158,0.001158,0.0,0.0
2017-11-11,0.001288,0.001288,0.001288,0.001288,121.95,0.1571
2017-11-12,0.001163,0.001255,0.00101,0.001255,778.0,0.9048
2017-11-13,0.001195,0.001195,0.001195,0.001195,471010.61,562.86
2017-11-14,0.001172,0.001172,0.001121,0.001121,6845.43,8.02
2017-11-15,0.001143,0.001159,0.001143,0.001159,1.0,0.001143
2017-11-16,0.0008588,0.00114,0.0008588,0.00114,448.61,0.3853
2017-11-17,0.0008293,0.001128,0.0008293,0.0008625,48874.89,40.53
2017-11-18,0.0009013,0.001144,0.0008666,0.0008666,229087.25,206.48
2017-11-19,0.001028,0.001117,0.0008865,0.000922,455549.37,468.3
2017-11-20,0.0009009,0.0009377,0.0009009,0.0009377,390330.97,351.65
2017-11-21,0.0007246,0.0008833,0.0007246,0.0008833,56307.04,40.8
2017-11-22,0.0005713,0.0009407,0.0005713,0.0007655,121184.77,69.23
2017-11-23,0.0008131,0.0008131,0.0008131,0.0008131,798827.45,649.53
2017-11-24,0.0009409,0.0009409,0.0009409,0.0009409,0.0,0.0
2017-11-25,0.0006133,0.0006133,0.0006133,0.0006133,24574.82,15.07
2017-11-26,0.001078,0.001078,0.001078,0.001078,24574.0,26.49
2017-11-27,0.001088,0.001088,0.001088,0.001088,90450.0,98.41
2017-11-28,0.0005642,0.001068,0.0005595,0.001068,36286.51,20.47
2017-11-29,0.0005129,0.0005172,0.0004702,0.0005172,165918.88,85.1
2017-11-30,0.0004783,0.0008697,0.0004783,0.0005218,576296.25,275.64
2017-12-01,0.0004708,0.0005077,0.0004708,0.0005077,500897.22,235.82
2017-12-02,0.0005267,0.0005496,0.0005038,0.0005496,909017.32,478.78
2017-12-03,0.0005322,0.0005322,0.0005322,0.0005322,1560.95,0.8307
2017-12-04,0.000537,0.000537,0.000537,0.000537,0.0,0.0
2017-12-05,0.0005221,0.0005221,0.0005221,0.0005221,0.0,0.0
2017-12-06,0.0004859,0.0004859,0.0004859,0.0004859,0.0,0.0
2017-12-07,0.0004843,0.0004843,0.0004843,0.0004843,0.0,0.0
2017-12-08,0.0005195,0.0005195,0.0005195,0.0005195,0.0,0.0
2017-12-09,0.0005438,0.0005438,0.0005438,0.0005438,0.0,0.0
2017-12-10,0.0004016,0.0005805,0.0004016,0.0005805,27018.74,10.85
2017-12-11,0.0006827,0.0006827,0.0004722,0.0004722,45000.0,30.72
2017-12-12,0.0006434,0.0006434,0.0006434,0.0006434,183368.87,117.98
2017-12-13,0.0006851,0.0006851,0.0006851,0.0006851,0.0,0.0
2017-12-14,0.0006381,0.00104,0.0006381,0.00104,6171.59,3.94
2017-12-15,0.0006295,0.0006295,0.0006295,0.0006295,0.0,0.0
2017-12-16,0.0009007,0.0009007,0.0006374,0.0006374,80000.0,72.06
2017-12-17,0.0007895,0.000933,0.0007823,0.000933,98062.67,77.42
2017-12-18,0.0008646,0.0008646,0.0008646,0.0008646,0.0,0.0
2017-12-19,0.0008938,0.0008938,0.0008938,0.0008938,0.0,0.0
2017-12-20,0.0008711,0.0008791,0.0008711,0.0008791,370393.9,322.65
2017-12-21,0.0008604,0.0008604,0.0008604,0.0008604,0.0,0.0
2017-12-22,0.000717,0.000717,0.000717,0.000717,0.0,0.0
2017-12-23,0.0007635,0.0007635,0.0007635,0.0007635,0.0,0.0
2017-12-24,0.0007367,0.0007367,0.0007367,0.0007367,0.0,0.0
2017-12-25,0.002495,0.002495,0.0006725,0.0006725,149713.12,373.53
2017-12-26,0.0005424,0.002599,0.0003767,0.002599,279262.94,151.47
2017-12-27,0.001317,0.001317,0.0005328,0.0005328,900599.03,1186.09
2017-12-28,0.001276,0.001276,0.001276,0.001276,400000.0,510.4
2017-12-29,0.0007396,0.001316,0.0007396,0.0008136,181931.04,134.56
2017-12-30,0.001234,0.001234,0.001109,0.001109,217625.4,268.55
2017-12-31,0.00206,0.00206,0.00206,0.00206,240829.61,496.11
2018-01-01,0.002185,0.002185,0.0009074,0.002102,541185.81,1182.49
2018-01-02,0.002491,0.002491,0.002491,0.002491,3230.58,8.05
2018-01-03,0.00272,0.00272,0.00272,0.00272,5000.0,13.6
2018-01-04,0.002731,0.002731,0.002731,0.002731,0.0,0.0
2018-01-05,0.002795,0.002795,0.002795,0.002795,0.0,0.0
2018-01-06,0.002909,0.002909,0.002909,0.002909,0.0,0.0
2018-01-07,0.00323,0.00323,0.00323,0.00323,0.0,0.0
2018-01-08,0.00125,0.003283,0.00125,0.003283,448.61,0.5608
2018-01-09,0.002566,0.002566,0.001418,0.001418,22222.0,57.02
2018-01-10,0.002485,0.002485,0.002485,0.002485,0.0,0.0
2018-01-11,0.001766,0.002267,0.001766,0.002267,340000.0,600.44
2018-01-12,0.001992,0.002081,0.001955,0.001955,997038.38,1986.1
2018-01-13,0.00223,0.002396,0.002036,0.002188,1220000.0,2720.6
2018-01-14,0.002216,0.002338,0.001998,0.002189,1298648.87,2877.81
2018-01-15,0.002084,0.002289,0.001854,0.002084,1615000.0,3365.66
2018-01-16,0.001712,0.001712,0.001712,0.001712,0.0,0.0
2018-01-17,0.00167,0.00167,0.00167,0.00167,0.0,0.0
2018-01-18,0.001651,0.001651,0.001651,0.001651,0.0,0.0
2018-01-19,0.001691,0.001691,0.001691,0.001691,0.0,0.0
2018-01-20,0.001956,0.002036,0.001875,0.001875,164768.22,322.29
2018-01-21,0.002728,0.002728,0.002728,0.002728,1111.0,3.03
2018-01-22,0.001999,0.002599,0.001599,0.002599,5918.35,11.83
2018-01-23,0.001181,0.001181,0.001181,0.001181,7102.98,8.39
2018-01-24,0.001274,0.001274,0.001274,0.001274,0.0,0.0
2018-01-25,0.001256,0.001256,0.001256,0.001256,0.0,0.0
2018-01-26,0.001258,0.001258,0.001258,0.001258,65296.58,82.14
2018-01-27,0.002218,0.002218,0.001331,0.001331,25900.25,57.45
2018-01-28,0.001503,0.002463,0.001503,0.002463,170066.74,255.61
2018-01-29,0.001755,0.002574,0.001755,0.002574,352741.5,619.06
2018-01-30,0.0008723,0.001596,0.0008723,0.001596,215993.58,188.41
2018-01-31,0.0009113,0.0009113,0.0009113,0.0009113,0.0,0.0
2018-02-01,0.002052,0.002052,0.0008517,0.0008517,140000.0,287.28
2018-02-02,0.001284,0.001835,0.001284,0.001835,35001.0,44.94
2018-02-03,0.001068,0.001466,0.001068,0.001359,62046.66,66.27
2018-02-04,0.0009103,0.0009103,0.0009103,0.0009103,448.61,0.4084
2018-02-05,0.0009731,0.0009731,0.0007646,0.0007646,40000.0,38.92
