time,close,high,low,open,volumefrom,volumeto
2017-11-23,0.03163,0.03253,0.0248,0.03049,1106656.76,35003.55
2017-11-24,0.04704,0.06069,0.03058,0.03575,449813.65,21159.23
2017-11-25,0.04646,0.04646,0.03717,0.03996,496990.93,23090.2
2017-11-26,0.04282,0.04701,0.02824,0.04701,570864.85,24444.43
2017-11-27,0.03897,0.04729,0.02861,0.03422,380028.36,14809.71
2017-11-28,0.02849,0.03847,0.02844,0.03847,305575.92,8705.86
2017-11-29,0.02847,0.03505,0.02231,0.02612,236200.83,6724.64
2017-11-30,0.03022,0.03044,0.02174,0.02896,902424.91,27271.28
2017-12-01,0.03693,0.03769,0.03392,0.03398,360030.12,13295.91
2017-12-02,0.03206,0.03893,0.03206,0.03366,155195.73,4975.58
2017-12-03,0.0324,0.03888,0.02869,0.0341,227440.39,7369.07
2017-12-04,0.0353,0.0353,0.02905,0.03222,281608.62,9940.78
2017-12-05,0.0454,0.04994,0.03431,0.03432,436658.33,19824.29
2017-12-06,0.04402,3.38,0.03802,0.04225,399426.95,17582.77
2017-12-07,0.04633,0.05054,0.04148,0.04388,540693.68,25050.34
2017-12-08,0.05647,0.06776,0.04531,0.04969,893136.81,50435.44
2017-12-09,0.07471,0.07944,0.04965,0.05674,760043.84,56782.88
2017-12-10,0.0711,43644.64,0.04365,0.06897,627075.07,44585.04
2017-12-11,0.08208,5.13,0.06319,0.08361,499368.84,40988.19
2017-12-12,0.09388,0.105,0.07957,0.105,281409.23,26418.7
2017-12-13,0.1363,36003135.0,0.09018,0.1005,3317003.84,452107.62
2017-12-14,0.1172,692886.42,0.0971,0.1366,909421.03,106584.14
2017-12-15,0.1228,51320.25,0.09238,0.1095,230543.99,28310.8
2017-12-16,0.1337,0.1337,0.113,0.1246,308678.01,41270.25
2017-12-17,0.1353,0.2656,0.1234,0.1389,374426.43,50659.9
2017-12-18,0.1517,0.6131,0.1258,0.1417,305909.42,46406.46
2017-12-19,0.1617,0.1617,0.1381,0.1567,914274.27,147838.15
2017-12-20,0.1518,0.1564,0.112,0.1563,633523.6,96168.88
2017-12-21,0.15,0.15,0.15,0.15,129.0,19.35
2017-12-22,0.125,0.125,0.125,0.125,0.0,0.0
2017-12-23,0.1386,0.1541,0.1289,0.1386,403710.01,55954.21
2017-12-24,0.1231,0.1419,0.1191,0.1352,1077659.64,132659.9
2017-12-25,0.1431,0.1591,0.1317,0.1317,622231.3,89041.3
2017-12-26,0.1491,75.26,0.1281,0.1491,2735549.86,407870.48
2017-12-27,0.1414,55495500.0,0.0,0.148,2993587.02,423293.2
2017-12-28,0.1418,0.215,0.1333,0.1418,3099393.22,439493.96
2017-12-29,0.1538,0.2211,0.1331,0.1464,1017365.47,156470.81
2017-12-30,0.1441,0.1625,0.1358,0.1441,2165938.92,312111.8
2017-12-31,0.1689,0.1927,0.1467,0.1541,961674.52,162426.83
2018-01-01,0.1799,1.73,0.1664,0.1723,1939015.81,348828.94
2018-01-02,0.2155,861970.0,0.1965,0.2051,2744230.48,591381.67
2018-01-03,0.2447,7.05,0.2259,0.2333,1536096.26,375882.75
2018-01-04,0.3685,11.32,0.2428,0.2428,881969.89,325005.9
2018-01-05,0.338,319152.9,0.295,0.3095,856124.63,289370.12
2018-01-06,0.3482,0.5133,0.3019,0.3522,1457805.55,507607.89
2018-01-07,0.3966,2011950.0,0.3081,0.3867,1188565.18,471384.95
2018-01-08,0.4544,2294942.2,0.3522,0.4079,2022094.41,918839.7
2018-01-09,0.5453,33.25,0.4474,0.4577,3945049.65,2151235.57
2018-01-10,0.5496,2837705.28,0.0,0.5558,1412179.38,776133.79
2018-01-11,0.4948,0.5252,0.4557,0.4956,442238.91,218819.81
2018-01-12,0.5549,0.5801,0.5422,0.5536,150951.35,83762.9
2018-01-13,0.6094,1.71,0.5471,0.6094,162304.11,98908.12
2018-01-14,0.6179,0.9516,0.5152,0.5982,236614.53,146204.12
2018-01-15,0.569,5.1,0.5498,0.5498,109872.47,62517.44
2018-01-16,0.4201,0.4726,0.2857,0.4674,72981.07,30659.35
2018-01-17,0.4345,0.4654,0.3535,0.4546,99471.29,43220.28
2018-01-18,0.5014,1.01,0.3839,0.3839,90716.54,45485.27
2018-01-19,0.4305,0.5083,0.4149,0.5083,111965.41,48201.11
2018-01-20,0.4602,3.09,0.4602,0.4775,46310.26,21311.98
2018-01-21,0.4564,0.4616,0.4196,0.4196,43858.61,20017.07
2018-01-22,0.4378,0.4478,0.3399,0.4348,53458.97,23404.34
2018-01-23,0.4332,0.441,0.3741,0.3741,122399.85,53023.62
2018-01-24,0.4162,0.4672,0.4098,0.4672,51746.63,21536.95
2018-01-25,0.4185,0.4604,0.3976,0.4102,42546.55,17805.73
2018-01-26,0.4036,0.4539,0.3366,0.4194,70438.66,28429.04
2018-01-27,0.3718,0.4767,0.3562,0.4259,47214.36,17554.3
2018-01-28,0.4666,2216.84,1e-08,1e-08,35836.16,16721.15
2018-01-29,0.3393,0.4433,0.33,0.4433,36355.72,12335.5
2018-01-30,0.1808,0.3404,0.1808,0.3085,77959.73,14095.12
2018-01-31,0.2778,0.3523,0.19,0.3434,30741.54,8540.0
2018-02-01,0.2155,0.2873,0.1961,0.2565,38074.87,8205.13
2018-02-02,0.2294,0.2743,0.1606,0.1927,122113.55,28012.85
2018-02-03,0.2427,0.3204,0.2087,0.2893,33054.6,8022.35
2018-02-04,0.2143,0.2317,0.159,0.2069,45786.59,9812.07
2018-02-05,0.2,11.75,0.1355,0.2002,14648.61,2929.72
2018-02-06,0.1963,0.2258,0.157,0.1766,128106.02,25147.21
2018-02-07,0.203,0.221,0.1353,0.1842,62492.71,12686.02
2018-02-08,0.2234,0.2237,0.179,0.179,9794.24,2188.03
2018-02-09,0.2411,0.2411,0.2411,0.2411,0.0,0.0
2018-02-10,0.2336,0.2336,0.2336,0.2336,0.0,0.0
2018-02-11,0.2228,0.2228,0.2228,0.2228,0.0,0.0
2018-02-12,0.2376,0.2376,0.2376,0.2376,0.0,0.0
2018-02-13,0.2309,0.2309,0.2309,0.2309,0.0,0.0
2018-02-14,0.2527,0.2527,0.2527,0.2527,0.0,0.0
2018-02-15,0.2548,0.2548,0.2548,0.2548,0.0,0.0
2018-02-16,0.2576,0.2576,0.2576,0.2576,0.0,0.0
2018-02-17,0.2677,0.2677,0.2677,0.2677,0.0,0.0
2018-02-18,0.251,0.251,0.251,0.251,0.0,0.0
2018-02-19,0.2581,0.2581,0.2581,0.2581,0.0,0.0
2018-02-20,0.2432,0.2432,0.2432,0.2432,0.0,0.0
2018-02-21,0.2307,0.2307,0.2307,0.2307,0.0,0.0
2018-02-22,0.221,0.221,0.221,0.221,0.0,0.0
2018-02-23,0.2347,0.2347,0.2347,0.2347,0.0,0.0
2018-02-24,0.2289,0.2289,0.2289,0.2289,0.0,0.0
2018-02-25,0.2307,0.2307,0.2307,0.2307,0.0,0.0
2018-02-26,0.2382,0.2382,0.2382,0.2382,0.0,0.0
2018-02-27,0.2393,0.2393,0.2393,0.2393,0.0,0.0
2018-02-28,0.2338,0.2338,0.2338,0.2338,0.0,0.0
2018-03-01,0.2142,0.2174,0.1827,0.1827,172311.25,36909.07
2018-03-02,0.2413,0.302,0.2106,0.2106,481824.78,116264.32
2018-03-03,0.2516,0.2616,0.2367,0.2413,167456.09,42131.95
2018-03-04,0.2513,0.2606,0.2468,0.2543,59486.82,14949.04
2018-03-05,0.2616,0.2981,0.2392,0.2468,176697.8,46224.14
2018-03-06,0.2166,0.2609,0.2065,0.2512,59241.46,12831.7
2018-03-07,0.2016,0.2329,0.1869,0.1994,375554.9,75711.87
2018-03-08,0.1994,0.208,0.1556,0.1876,182479.73,36386.46
2018-03-09,0.1676,0.2208,0.1577,0.2074,563623.74,94463.34
2018-03-10,0.1811,0.1962,0.1582,0.1608,98537.61,17845.16
