time,close,high,low,open,volumefrom,volumeto
2017-12-27,0.761,1.75,0.6888,0.8871,145606.48,110806.53
2017-12-28,0.7355,0.9071,0.6707,0.7107,438039.86,322178.32
2017-12-29,0.6704,0.8197,0.6438,0.7352,500955.05,335840.27
2017-12-30,0.8233,1.62,0.5642,0.5852,791947.22,652010.15
2017-12-31,1.0,1.25,0.9051,0.91,824044.57,824044.57
2018-01-01,0.9211,1.06,0.8739,0.9707,328693.56,302759.64
2018-01-02,1.07,1.28,0.9401,1.01,1433129.04,1533448.07
2018-01-03,1.23,1.36,1.09,1.1,1001398.39,1231720.02
2018-01-04,1.22,1.51,1.22,1.22,446508.42,544740.27
2018-01-05,1.33,2.12,1.3,1.36,969688.38,1289685.55
2018-01-06,1.59,1.84,1.31,1.35,669616.54,1064690.3
2018-01-07,1.57,1.66,1.5,1.5,656460.78,1030643.42
2018-01-08,2.12,2.13,1.42,1.45,1558905.88,3304880.47
2018-01-09,2.33,2.79,1.94,2.05,1795603.0,4183754.99
2018-01-10,2.21,2.75,2.17,2.41,1342600.73,2967147.61
2018-01-11,1.9,2.21,1.9,1.97,1152689.49,2190110.03
2018-01-12,2.04,2.19,1.94,1.98,1529830.02,3120853.24
2018-01-13,1.83,2.4,1.78,2.1,2075096.9,3797427.33
2018-01-14,1.74,1.91,1.55,1.75,1932321.58,3362239.55
2018-01-15,1.94,2.03,1.71,1.74,1516513.72,2942036.62
2018-01-16,1.64,1.82,1.58,1.61,745243.93,1222200.05
2018-01-17,1.62,1.62,1.62,1.62,0.0,0.0
2018-01-18,1.79,1.79,1.62,1.62,999.05,1788.3
2018-01-19,1.77,1.84,1.77,1.84,30.0,53.1
2018-01-20,2.17,2.17,1.91,1.96,373.73,810.99
2018-01-21,2.45,17.32,1.94,1.96,2117.2,5187.14
2018-01-22,3.35,8.22,2.29,2.29,7582.33,25400.81
2018-01-23,4.34,4.99,3.11,3.37,9012.83,39115.68
2018-01-24,3.96,4.57,2.76,4.57,3686.08,14596.88
2018-01-25,3.13,3.88,2.7,3.88,4585.88,14353.8
2018-01-26,2.72,3.23,2.68,3.11,1489.32,4050.95
2018-01-27,2.76,3.66,2.76,2.81,1617.6,4464.58
2018-01-28,2.95,3.52,2.13,2.84,4535.22,13378.9
2018-01-29,2.31,2.83,1.97,2.82,1901.75,4393.04
2018-01-30,2.34,3.43,2.08,2.08,6816.86,15951.45
2018-01-31,2.84,3.36,1.95,2.37,2083.38,5916.8
2018-02-01,1.59,2.53,1.55,2.53,1057387.45,1681246.05
2018-02-02,1.35,1.77,1.12,1.54,4330400.35,5846040.47
2018-02-03,1.35,1.58,1.32,1.4,2736012.62,3693617.04
2018-02-04,1.19,1.26,1.15,1.2,2188853.08,2604735.17
2018-02-05,1.42,1.42,0.6937,1.0,4896961.32,6953685.07
2018-02-06,1.05,1.68,1.02,1.58,3018438.44,3169360.36
2018-02-07,0.9924,1.09,0.9878,1.04,1917025.22,1902455.83
2018-02-08,1.03,1.18,0.9913,1.08,2410695.56,2483016.43
2018-02-09,1.16,1.22,1.06,1.08,2415330.26,2801783.1
2018-02-10,1.1,1.21,1.08,1.14,2231970.48,2455167.53
2018-02-11,0.9839,1.05,0.9782,1.04,2169069.21,2134147.2
2018-02-12,1.08,1.15,1.07,1.08,2763842.71,2984950.13
2018-02-13,1.15,1.28,0.8639,1.03,3793386.81,4362394.83
2018-02-14,1.24,1.69,1.21,1.27,5213272.02,6464457.3
2018-02-15,1.16,1.34,1.15,1.31,8050020.39,9338023.65
