time,close,high,low,open,volumefrom,volumeto
2016-04-17,0.4049,0.503,0.2984,0.3623,8772.77,3552.09
2016-04-18,0.834,1.06,0.2997,0.4063,41523.55,34630.64
2016-04-19,0.7568,0.9655,0.6959,0.8481,34336.55,25985.9
2016-04-20,0.8325,0.9706,0.7059,0.7676,34943.16,29090.18
2016-04-21,0.6718,0.8479,0.6268,0.8479,52036.9,34958.39
2016-04-22,0.4493,0.7258,0.3474,0.6657,68177.82,30632.29
2016-04-23,0.5766,0.6526,0.4186,0.4541,27384.68,15790.01
2016-04-24,0.5587,0.6635,0.5033,0.5861,17361.89,9700.09
2016-04-25,0.3676,0.5638,0.3352,0.5638,27796.42,10217.96
2016-04-26,0.3729,0.466,0.333,0.371,29804.24,11114.0
2016-04-27,0.4134,0.5811,0.3353,0.3577,23619.41,9764.26
2016-04-28,0.4479,0.4951,0.4126,0.4148,15220.41,6817.22
2016-04-29,0.4412,0.4732,0.3913,0.4544,17678.6,7799.8
2016-04-30,0.4169,0.4508,0.3969,0.4349,5603.87,2336.25
2016-05-01,0.4975,0.4975,0.4002,0.4203,11288.31,5615.93
2016-05-02,0.3998,0.5774,0.3909,0.4886,40964.28,16377.52
2016-05-03,0.4435,0.5403,0.4052,0.4052,29197.15,12948.94
2016-05-04,0.4485,0.4503,0.4165,0.4391,7655.35,3433.42
2016-05-05,0.3585,0.4508,0.3585,0.4508,19133.91,6859.51
2016-05-06,0.3676,0.4366,0.3217,0.3677,29176.06,10725.12
2016-05-07,0.3247,0.3719,0.2994,0.3668,13734.43,4459.57
2016-05-08,0.2983,0.334,0.2983,0.3243,9495.88,2832.62
2016-05-09,0.2401,0.3103,0.2302,0.3,11361.82,2727.97
2016-05-10,0.2471,0.2522,0.2242,0.2343,13128.77,3244.12
2016-05-11,0.2483,0.2489,0.2263,0.2489,3658.19,908.33
2016-05-12,0.2655,0.2727,0.2283,0.2493,9401.23,2496.03
2016-05-13,0.3208,0.4873,0.2661,0.2661,46219.4,14827.18
2016-05-14,0.3854,0.3854,0.3104,0.3215,6536.29,2519.09
2016-05-15,0.3614,0.3868,0.3312,0.3868,420.85,152.1
2016-05-16,0.3387,0.3856,0.3371,0.3589,2099.99,711.27
2016-05-17,0.3364,0.3824,0.3364,0.3374,1262.2,424.6
2016-05-18,0.3361,0.3599,0.3099,0.3371,4599.27,1545.81
2016-05-19,0.3496,0.3508,0.2744,0.3276,7058.9,2467.79
2016-05-20,0.42,0.4421,0.3314,0.3491,9105.18,3824.18
2016-05-21,0.4215,0.4614,0.3661,0.4215,9240.0,3894.66
2016-05-22,0.4181,0.5188,0.4176,0.4176,16491.74,6895.2
2016-05-23,0.4437,0.4858,0.422,0.422,6336.21,2811.38
2016-05-24,0.5309,0.5353,0.4314,0.4461,28425.9,15091.31
2016-05-25,0.5703,0.5843,0.4516,0.5352,8291.44,4728.61
2016-05-26,0.7207,0.7615,0.4986,0.5748,25281.67,18220.5
2016-05-27,0.4647,0.7537,0.2844,0.7537,29899.45,13894.27
2016-05-28,0.5083,0.5803,0.4718,0.5138,7190.08,3654.72
2016-05-29,0.4386,0.5004,0.4386,0.5004,5191.58,2277.03
2016-05-30,0.4774,0.495,0.4524,0.4524,4721.0,2253.81
2016-05-31,0.4284,0.4967,0.3702,0.4744,21544.77,9229.78
2016-06-01,0.3977,0.428,0.3869,0.4353,5732.2,2279.7
2016-06-02,0.4082,0.4189,0.3867,0.3975,3376.49,1378.28
2016-06-03,0.3615,0.4366,0.3615,0.4309,9452.13,3416.94
