time,close,high,low,open,volumefrom,volumeto
2017-08-29,0.008266,0.1489,0.008266,0.04133,9004.4,74.43
2017-08-30,0.008522,0.008522,0.008522,0.008522,0.0,0.0
2017-08-31,0.008621,0.008621,0.008621,0.008621,0.0,0.0
2017-09-01,0.00869,0.00869,0.00869,0.00869,0.0,0.0
2017-09-02,0.007793,0.007793,0.007793,0.007793,0.0,0.0
2017-09-03,0.007824,0.007824,0.007824,0.007824,0.0,0.0
2017-09-04,0.006742,0.006742,0.006742,0.006742,0.0,0.0
2017-09-05,0.007058,0.007058,0.007058,0.007058,0.0,0.0
2017-09-06,0.007524,0.007524,0.007524,0.007524,0.0,0.0
2017-09-07,0.007445,0.007445,0.007445,0.007445,0.0,0.0
2017-09-08,0.006809,0.006809,0.006809,0.006809,0.0,0.0
2017-09-09,0.006744,0.006744,0.006744,0.006744,0.0,0.0
2017-09-10,0.006642,0.006642,0.006642,0.006642,0.0,0.0
2017-09-11,0.006614,0.006614,0.006614,0.006614,0.0,0.0
2017-09-12,0.05882,0.0647,0.05879,0.05879,19969.09,1174.58
2017-09-13,0.05517,0.05517,0.05517,0.05517,0.0,0.0
2017-09-14,0.04463,0.04463,0.04463,0.04463,0.0,0.0
2017-09-15,0.05191,0.05191,0.05191,0.05191,0.0,0.0
2017-09-16,0.0509,0.0509,0.0509,0.0509,0.0,0.0
2017-09-17,0.05168,0.05168,0.05168,0.05168,0.0,0.0
2017-09-18,0.05951,0.05951,0.05951,0.05951,0.0,0.0
2017-09-19,0.0566,0.0566,0.0566,0.0566,0.0,0.0
2017-09-20,0.05986,0.5529,0.04821,0.08436,177718.56,10638.23
2017-09-21,0.04898,0.6444,0.03867,0.05442,396728.93,19431.78
2017-09-22,0.04954,2.95,0.03418,0.04996,373936.64,18524.82
2017-09-23,0.05379,0.09171,0.006295,0.05391,363408.38,19547.74
2017-09-24,0.04722,0.065,0.04267,0.05313,268501.92,12678.66
2017-09-25,0.05007,3.67,0.04423,0.04928,755344.28,37820.09
2017-09-26,0.0482,0.05484,0.03175,0.04901,509877.15,24576.08
2017-09-27,0.04436,0.06199,0.0403,0.05176,550985.96,24441.74
2017-09-28,0.04087,15138.5,0.03119,0.04333,853345.43,34876.23
2017-09-29,0.04769,292.58,0.03569,0.0395,419378.07,20000.14
2017-09-30,0.06661,0.1511,0.04844,0.04935,772723.85,51471.14
2017-10-01,0.06687,4.56,0.0552,0.06687,1553822.99,103904.14
2017-10-02,0.08904,197.88,0.0561,0.0653,2705473.19,240895.33
2017-10-03,0.09954,0.9046,0.07295,0.08754,3164535.05,314997.82
2017-10-04,0.1689,1.46,0.0875,0.09949,2966043.81,500964.8
2017-10-05,0.1153,58998.0,0.115,0.1708,3711471.11,427932.62
2017-10-06,0.152,2.77,0.1141,0.1206,2044138.13,310709.0
2017-10-07,0.1525,1.4,0.1295,0.1535,1479080.71,225559.81
2017-10-08,0.1331,0.2166,0.1257,0.1517,1124218.97,149633.54
2017-10-09,0.1447,0.3029,0.1188,0.1277,1165793.49,168690.32
2017-10-10,0.1492,0.2966,0.1268,0.1454,890499.44,132862.52
2017-10-11,0.1423,0.1696,0.1423,0.1514,275716.96,39234.52
2017-10-12,0.1287,0.1818,0.1102,0.1424,1616486.73,208041.84
2017-10-13,0.09616,0.1431,0.06915,0.1431,2811651.69,270368.43
2017-10-14,0.1084,0.1297,0.09365,0.09673,1636755.31,177424.28
2017-10-15,0.1041,0.1175,0.09764,0.1077,1128936.86,117522.33
2017-10-16,0.1079,0.1102,0.09459,0.1034,1277187.09,137808.49
2017-10-17,0.1156,0.1475,0.09295,0.1021,3002932.14,347138.96
2017-10-18,0.1542,0.1703,0.1107,0.1154,3911236.71,603112.7
2017-10-19,0.146,0.2478,0.1353,0.1512,1942887.08,283661.51
