time,close,high,low,open,volumefrom,volumeto
2018-12-17,0.002697,0.003016,0.002448,0.002768,6425800.36,17330.38
2018-12-18,0.003196,0.003196,0.002601,0.002824,2446486.07,7818.97
2018-12-19,0.003176,0.003326,0.003027,0.003213,519041.35,1648.48
2018-12-20,0.004055,0.004055,0.003476,0.003517,5322470.6,21582.62
2018-12-21,0.003236,0.003821,0.003236,0.003821,3803771.0,12309.0
2018-12-22,0.003317,0.003681,0.003196,0.003358,1850086.23,6136.74
2018-12-23,0.003206,0.003487,0.003086,0.003286,3678695.34,11793.9
2018-12-24,0.003021,0.003429,0.002857,0.003266,5861414.24,17707.33
2018-12-25,0.002684,0.003183,0.002684,0.002838,662155.05,1777.22
2018-12-26,0.002694,0.002848,0.002502,0.002694,2866319.27,7721.86
2018-12-27,0.002516,0.002662,0.002479,0.002552,1013412.97,2549.75
2018-12-28,0.002842,0.002961,0.002369,0.002724,2554063.23,7258.65
2018-12-29,0.00262,0.002886,0.002582,0.002734,5329690.8,13963.79
2018-12-30,0.002805,0.002961,0.002533,0.002688,1662542.99,4663.43
2018-12-31,0.002736,0.002811,0.002436,0.002698,6690124.64,18304.18
2019-01-01,0.002677,0.002949,0.002328,0.002833,5425596.86,14524.32
2019-01-02,0.002693,0.002971,0.002416,0.002733,3450854.99,9293.15
2019-01-03,0.002608,0.002762,0.002455,0.002608,2927139.7,7633.98
2019-01-04,0.002402,0.002712,0.002324,0.002634,6739503.5,16188.29
2019-01-05,0.002159,0.002506,0.002159,0.00239,1967005.13,4246.76
2019-01-06,0.002133,0.002339,0.001969,0.002298,9604267.63,20485.9
2019-01-07,0.001863,0.002187,0.001823,0.002106,9190005.81,17120.98
2019-01-08,0.002101,0.002465,0.001859,0.001859,11359121.91,23865.52
2019-01-09,0.002429,0.002793,0.002024,0.002105,20763283.79,50434.02
2019-01-10,0.002091,0.002274,0.001541,0.002201,15082929.51,31538.41
2019-01-11,0.002055,0.002165,0.002018,0.002091,10431168.65,21436.05
2019-01-12,0.001905,0.002125,0.001905,0.002052,6190415.75,11792.74
2019-01-13,0.001989,0.002024,0.001847,0.001847,432509.31,860.26
2019-01-14,0.001963,0.002074,0.001926,0.002074,8130358.54,15959.89
2019-01-15,0.001847,0.001955,0.001774,0.001919,12425613.86,22950.11
2019-01-16,0.001786,0.001895,0.001786,0.001858,3558074.04,6354.72
2019-01-17,0.001916,0.001953,0.001732,0.001806,6867371.42,13157.88
2019-01-18,0.001861,0.002006,0.001824,0.001897,3579342.76,6661.16
2019-01-19,0.001902,0.002014,0.001828,0.001902,5051107.24,9607.21
2019-01-20,0.001713,0.001891,0.001677,0.00182,7653707.69,13110.8
2019-01-21,0.001643,0.001822,0.001607,0.001715,7731739.02,12703.25
2019-01-22,0.001657,0.001765,0.001621,0.001657,5299987.87,8782.08
2019-01-23,0.001715,0.001929,0.001643,0.001643,9092538.15,15593.7
2019-01-24,0.001763,0.001907,0.001655,0.001727,35848365.07,63200.67
2019-01-25,0.001612,0.001791,0.001541,0.001756,7375619.45,11889.5
2019-01-26,0.001331,0.001618,0.001259,0.001618,15203062.35,20235.28
2019-01-27,0.001141,0.00139,0.001105,0.001319,24388865.24,27827.7
2019-01-28,0.001209,0.001416,0.001071,0.001105,12203922.33,14754.54
2019-01-29,0.001231,0.001333,0.001128,0.001196,15669658.21,19289.35
2019-01-30,0.001248,0.001491,0.00111,0.001248,5454801.73,6807.59
2019-01-31,0.001305,0.001339,0.001202,0.001236,5088602.74,6640.63
2019-02-01,0.00135,0.001454,0.001246,0.001315,3962098.75,5348.83
2019-02-02,0.001614,0.001719,0.001368,0.001368,15344732.54,24766.4
2019-02-03,0.001621,0.001725,0.001518,0.001587,12118250.71,19643.68
2019-02-04,0.00151,0.001647,0.001475,0.001613,5922333.29,8942.72
2019-02-05,0.001345,0.001517,0.001345,0.001517,15483106.34,20824.78
2019-02-06,0.001358,0.001392,0.001256,0.001324,7615556.23,10341.93
2019-02-07,0.001249,0.00135,0.001114,0.00135,2835149.66,3541.1
2019-02-08,0.001501,0.001501,0.001354,0.001354,15922594.96,23899.82
2019-02-09,0.001424,0.00157,0.001424,0.001497,22129376.31,31512.23
2019-02-10,0.001548,0.001548,0.001364,0.001437,6355981.33,9839.06
2019-02-11,0.001445,0.001517,0.001372,0.001517,18479121.41,26702.33
2019-02-12,0.001375,0.001483,0.001375,0.001447,4630961.31,6367.57
2019-02-13,0.001478,0.001514,0.00137,0.00137,10079369.21,14897.31
2019-02-14,0.001543,0.001651,0.001435,0.001471,32120522.38,49561.97
2019-02-15,0.001473,0.001617,0.001473,0.001545,15538234.98,22887.82
2019-02-16,0.001989,0.002098,0.001483,0.001483,27864487.49,55422.47
2019-02-17,0.002496,0.002716,0.002019,0.002019,14627656.42,36510.63
2019-02-18,0.002387,0.0027,0.002348,0.002661,17013076.35,40610.21
2019-02-19,0.002394,0.002394,0.002394,0.002394,0.0,0.0
2019-02-20,0.002424,0.002424,0.002424,0.002424,0.0,0.0
2019-02-21,0.002402,0.002402,0.002402,0.002402,0.0,0.0
2019-02-22,0.00243,0.00243,0.00243,0.00243,0.0,0.0
2019-02-23,0.002531,0.002531,0.002531,0.002531,0.0,0.0
2019-02-24,0.002301,0.002301,0.002301,0.002301,0.0,0.0
2019-02-25,0.002346,0.002346,0.002346,0.002346,0.0,0.0
2019-02-26,0.001909,0.002329,0.001909,0.002329,740132.2,1412.91
2019-02-27,0.001915,0.002069,0.001915,0.001915,146151.04,279.88
2019-02-28,0.002141,0.002294,0.001912,0.001912,466441.52,998.65
2019-03-01,0.002261,0.002261,0.002107,0.002146,587661.43,1328.7
2019-03-02,0.002114,0.002267,0.002114,0.002267,118145.56,249.76
2019-03-03,0.002059,0.002211,0.002021,0.002097,1011401.5,2082.48
2019-03-04,0.002164,0.002201,0.002015,0.002015,112497.85,243.45
2019-03-05,0.002247,0.002402,0.002131,0.002247,10449724.25,23480.53
2019-03-06,0.002325,0.002402,0.002131,0.002247,6793436.48,15794.74
2019-03-07,0.002563,0.002718,0.002291,0.00233,3886722.85,9961.67
2019-03-08,0.00263,0.00263,0.002321,0.002553,1202444.21,3162.43
2019-03-09,0.002921,0.003237,0.002606,0.002684,12035556.97,35155.86
2019-03-10,0.002869,0.003301,0.002751,0.002908,2423253.78,6952.32
2019-03-11,0.002635,0.002984,0.002635,0.002829,26335373.18,69393.71
2019-03-12,0.002722,0.002839,0.002644,0.002644,456621.02,1242.92
2019-03-13,0.002676,0.002792,0.002599,0.002715,4927798.72,13186.79
2019-03-14,0.002833,0.002833,0.002639,0.002678,1643307.95,4655.49
2019-03-15,0.00271,0.003063,0.00271,0.002867,354459.29,960.58
2019-03-16,0.002899,0.003584,0.002779,0.002779,1846960.72,5354.34
2019-03-17,0.002998,0.003558,0.002839,0.002879,1031316.76,3091.89
2019-03-18,0.003071,0.003271,0.002952,0.002992,421238.82,1293.62
2019-03-19,0.003179,0.003581,0.003018,0.003099,2345257.22,7455.57
2019-03-20,0.00357,0.003611,0.003205,0.003205,1211298.86,4324.34
2019-03-21,0.003517,0.003917,0.003198,0.003517,3489456.56,12272.42
2019-03-22,0.004081,0.004401,0.003521,0.003521,4045878.34,16511.23
2019-03-23,0.003807,0.004167,0.003767,0.004087,989563.94,3767.27
2019-03-24,0.003834,0.004114,0.003675,0.003794,1157228.65,4436.81
2019-03-25,0.003414,0.003964,0.003375,0.003768,3022688.91,10319.46
2019-03-26,0.003942,0.0041,0.003311,0.00343,1950100.02,7687.29
2019-03-27,0.004086,0.004329,0.003925,0.004046,1843409.89,7532.17
2019-03-28,0.004319,0.004682,0.003875,0.004077,2737853.78,11824.79
2019-03-29,0.004235,0.004523,0.003947,0.004399,2705084.07,11456.03
2019-03-30,0.004159,0.004448,0.003953,0.004242,461049.69,1917.51
2019-03-31,0.004277,0.004606,0.004154,0.004154,271283.25,1160.28
2019-04-01,0.004193,0.004566,0.004193,0.004317,2534911.66,10628.88
2019-04-02,0.004563,0.005152,0.004563,0.004956,4038331.83,18426.91
2019-04-03,0.004131,0.004877,0.004081,0.004628,980283.03,4049.55
2019-04-04,0.004373,0.004422,0.003882,0.004078,509834.04,2229.5
2019-04-05,0.004795,0.005249,0.004189,0.004492,2769547.67,13279.98
2019-04-06,0.004906,0.005108,0.004602,0.004804,586728.99,2878.49
2019-04-07,0.004525,0.005045,0.004369,0.005045,462448.9,2092.58
2019-04-08,0.004235,0.005029,0.003706,0.004606,2259487.56,9568.93
2019-04-09,0.004109,0.004369,0.003901,0.004161,2730096.55,11217.97
2019-04-10,0.004202,0.004734,0.003936,0.004202,196070.59,823.89
2019-04-11,0.003887,0.005604,0.003635,0.003988,1316029.44,5115.41
2019-04-12,0.003811,0.004065,0.00376,0.003913,425365.0,1621.07
2019-04-13,0.003861,0.004166,0.00381,0.00381,66853.58,258.12
2019-04-14,0.004287,0.004701,0.003926,0.003926,862831.01,3698.96
2019-04-15,0.004181,0.004382,0.00408,0.004181,456676.32,1909.36
2019-04-16,0.004535,0.004744,0.004275,0.004327,934260.82,4236.87
2019-04-17,0.004398,0.004713,0.004398,0.004556,274715.81,1208.2
2019-04-18,0.004285,0.004443,0.004232,0.004443,137303.58,588.35
2019-04-19,0.004448,0.004501,0.004289,0.004289,44490.83,197.9
2019-04-20,0.004261,0.004474,0.003888,0.004474,656860.14,2798.88
2019-04-21,0.004192,0.004457,0.004085,0.004245,84052.23,352.35
2019-04-22,0.00437,0.004532,0.0041,0.004262,154618.88,675.68
2019-04-23,0.00421,0.004542,0.004154,0.004487,540636.16,2276.08
2019-04-24,0.004091,0.004309,0.004091,0.004145,408623.9,1671.68
2019-04-25,0.003614,0.003975,0.003614,0.003872,260289.43,940.69
2019-04-26,0.003664,0.003873,0.00335,0.003664,296522.66,1086.46
2019-04-27,0.003504,0.00387,0.003504,0.003661,66708.18,233.75
2019-04-28,0.003849,0.003849,0.00348,0.003533,266620.46,1026.22
2019-04-29,0.003405,0.003824,0.003405,0.003824,15124.13,51.5
2019-04-30,0.003585,0.003692,0.003424,0.003478,142647.33,511.39
2019-05-01,0.003557,0.003773,0.003557,0.003611,58358.12,207.58
2019-05-02,0.003685,0.003851,0.003465,0.003685,155097.17,571.53
2019-05-03,0.00374,0.003855,0.00374,0.003855,146414.78,547.59
2019-05-04,0.003854,0.00403,0.003738,0.003796,134280.07,517.52
2019-05-05,0.003766,0.003824,0.003708,0.003824,25845.05,97.33
2019-05-06,0.003219,0.003736,0.003219,0.003736,156083.86,502.43
2019-05-07,0.003084,0.003317,0.003026,0.003259,67539.11,208.29
2019-05-08,0.003239,0.003539,0.003179,0.003179,10177.27,32.96
2019-05-09,0.003148,0.003333,0.003148,0.003333,73205.23,230.45
2019-05-10,0.003116,0.003243,0.003116,0.003243,257330.22,801.84
2019-05-11,0.003236,0.003596,0.003236,0.003524,254814.08,824.58
2019-05-12,0.003,0.00314,0.002861,0.00314,313955.32,941.87
2019-05-13,0.003201,0.003591,0.003123,0.003357,598043.7,1914.34
2019-05-14,0.002953,0.003511,0.002873,0.003272,952887.19,2813.88
2019-05-15,0.003437,0.003928,0.002701,0.003028,306035.95,1051.85
2019-05-16,0.003543,0.003622,0.00315,0.003307,342427.88,1213.22
2019-05-17,0.003023,0.003391,0.002949,0.003317,42393.72,128.16
2019-05-18,0.002906,0.002979,0.002906,0.002979,25076.29,72.87
2019-05-19,0.003359,0.003359,0.003195,0.003277,30689.18,103.08
2019-05-20,0.003199,0.003279,0.003119,0.003279,92952.07,297.35
2019-05-21,0.003179,0.003338,0.0031,0.003179,101135.68,321.51
2019-05-22,0.00323,0.003301,0.003065,0.003144,308278.27,944.87
