time,close,high,low,open,volumefrom,volumeto
2017-07-05,35.72,35.72,27.13,33.25,60.92,2176.06
2017-07-06,30.44,35.73,27.15,35.71,29.86,908.94
2017-07-07,28.65,28.89,12.05,27.59,20.11,576.15
2017-07-08,28.5,29.21,28.5,29.21,1.0,28.5
2017-07-09,21.39,27.58,14.79,27.58,15.27,326.63
2017-07-10,21.58,21.58,18.52,18.52,0.04,0.8632
2017-07-11,19.99,19.99,19.99,19.99,0.0,0.0
2017-07-12,11.22,15.69,11.22,15.69,3.87,43.42
2017-07-13,10.68,10.68,10.28,10.28,0.16,1.71
2017-07-14,9.86,13.8,9.86,10.25,5.98,58.96
2017-07-15,8.46,8.46,8.46,8.46,13.83,117.0
2017-07-16,12.43,12.68,7.77,7.77,1.66,20.63
2017-07-17,9.5,15.2,9.5,15.2,2.0,19.0
2017-07-18,11.36,11.36,11.36,11.36,0.03,0.3408
2017-07-19,9.72,9.72,9.72,9.72,0.12,1.17
2017-07-20,11.32,11.32,11.32,11.32,0.0,0.0
2017-07-21,10.82,10.82,10.82,10.82,0.0,0.0
2017-07-22,11.53,11.53,11.53,11.53,0.0,0.0
2017-07-23,11.42,11.42,11.42,11.42,0.0,0.0
2017-07-24,11.27,13.53,11.27,11.28,7.9,89.03
2017-07-25,12.22,12.22,10.18,10.18,0.01,0.1222
2017-07-26,12.17,12.17,12.17,12.17,0.0,0.0
2017-07-27,12.18,12.18,12.18,12.18,0.0,0.0
2017-07-28,9.75,11.47,9.75,11.47,0.01,0.0975
2017-07-29,12.37,12.37,10.51,10.51,0.01,0.1237
2017-07-30,11.81,11.81,11.81,11.81,0.0,0.0
2017-07-31,12.08,12.08,12.08,12.08,0.0,0.0
2017-08-01,4.52,13.55,4.52,13.55,0.72,3.25
2017-08-02,4.58,4.58,4.36,4.36,0.03,0.1374
2017-08-03,4.49,4.71,4.49,4.71,3.84,17.24
2017-08-04,6.84,6.84,4.41,4.41,1.38,9.44
2017-08-05,12.65,12.65,7.85,7.85,9.52,120.43
2017-08-06,8.2,13.23,8.2,13.23,0.66,5.41
2017-08-07,15.93,15.93,8.37,8.37,3.0,47.79
2017-08-08,17.49,17.49,16.31,17.49,5.24,91.65
2017-08-09,17.42,17.42,17.42,17.42,0.0,0.0
2017-08-10,11.93,15.16,11.93,15.16,2.83,33.76
2017-08-11,21.65,21.65,12.37,12.37,119.46,2586.31
2017-08-12,21.56,21.56,21.56,21.56,0.0,0.0
2017-08-13,29.66,29.66,20.38,20.76,6.2,183.89
2017-08-14,29.92,29.92,29.92,29.92,0.0,0.0
2017-08-15,28.65,28.65,28.65,28.65,0.0,0.0
2017-08-16,30.14,30.14,30.14,30.14,0.0,0.0
2017-08-17,60.0,60.0,30.03,30.03,33.72,2023.2
2017-08-18,58.47,58.47,58.47,58.47,1.0,58.47
2017-08-19,58.55,58.55,58.55,58.55,0.0,0.0
2017-08-20,59.58,59.58,59.58,59.58,0.0,0.0
2017-08-21,64.31,64.31,32.19,64.31,12.34,793.59
2017-08-22,62.61,62.61,62.61,62.61,0.0,0.0
2017-08-23,63.42,63.42,63.42,63.42,0.05,3.17
2017-08-24,12.36,64.99,8.46,64.99,612.24,7567.29
2017-08-25,13.2,14.83,8.58,12.54,578.9,7641.48
2017-08-26,13.31,13.31,10.02,13.31,264.74,3523.69
2017-08-27,11.48,13.91,5.57,13.91,622.06,7141.25
2017-08-28,7.51,11.47,7.31,11.47,862.93,6480.6
2017-08-29,9.31,13.66,8.04,8.04,66.45,618.65
2017-08-30,13.05,16.12,8.75,9.6,970.69,12667.5
2017-08-31,10.68,13.98,10.68,13.2,1176.79,12568.12
2017-09-01,11.35,11.42,6.65,10.76,1730.04,19635.95
2017-09-02,6.14,10.88,5.97,10.18,393.52,2416.21
2017-09-03,7.05,10.57,6.21,6.21,356.49,2513.25
2017-09-04,5.1,8.5,4.86,6.07,469.85,2396.24
2017-09-05,6.68,6.68,5.47,5.5,296.8,1982.62
2017-09-06,5.09,9.48,3.76,7.8,1039.02,5288.61
2017-09-07,4.53,6.7,4.16,5.03,1536.39,6959.85
2017-09-08,6.13,6.13,4.14,4.14,1127.54,6911.82
2017-09-09,5.16,6.07,5.16,6.07,126.01,650.21
2017-09-10,4.07,5.09,4.07,5.09,173.87,707.65
2017-09-11,4.59,5.21,4.06,4.06,2114.19,9704.13
2017-09-12,4.26,5.0,4.12,4.53,238.64,1016.61
2017-09-13,3.86,4.0,3.76,4.0,323.94,1250.41
2017-09-14,3.04,3.12,3.04,3.12,18.67,56.76
2017-09-15,3.51,3.89,3.51,3.63,849.34,2981.18
2017-09-16,3.81,4.02,3.24,3.44,2450.32,9335.72
2017-09-17,3.15,3.87,3.15,3.87,746.65,2351.95
2017-09-18,4.12,4.14,3.42,3.63,764.08,3148.01
2017-09-19,3.25,3.92,3.25,3.92,23.72,77.09
2017-09-20,3.97,4.6,3.26,3.26,155.49,617.3
2017-09-21,4.36,4.36,3.1,3.61,7601.84,33144.02
2017-09-22,3.5,4.44,3.5,4.44,526.4,1842.4
2017-09-23,3.21,3.83,3.21,3.81,1558.58,5003.04
2017-09-24,3.0,3.17,3.0,3.17,1411.04,4233.12
2017-09-25,3.6,3.6,2.99,3.13,837.22,3013.99
2017-09-26,2.94,3.53,2.94,3.53,4.23,12.44
2017-09-27,3.1,3.71,3.1,3.16,1319.67,4090.98
2017-09-28,3.03,3.45,3.03,3.03,216.26,655.27
2017-09-29,3.34,3.34,2.93,2.93,133.09,444.52
2017-09-30,4.24,4.24,3.45,3.45,71.85,304.64
2017-10-01,3.47,4.41,3.43,4.26,13.47,46.74
2017-10-02,3.45,4.5,3.35,3.38,226.22,780.46
2017-10-03,3.44,4.38,3.39,3.39,38.8,133.47
2017-10-04,4.38,4.38,3.44,3.44,15.02,65.79
2017-10-05,4.42,4.42,4.42,4.42,0.0,0.0
2017-10-06,4.55,4.62,3.67,4.62,95.34,433.8
2017-10-07,4.24,4.59,3.7,4.59,21.93,92.98
2017-10-08,3.59,4.22,3.59,4.21,248.31,891.43
2017-10-09,3.33,4.16,3.33,3.45,295.86,985.21
2017-10-10,3.04,3.49,3.01,3.34,147.06,447.06
2017-10-11,3.09,3.09,3.09,3.09,14.5,44.81
2017-10-12,3.18,3.18,3.09,3.09,367.81,1169.64
2017-10-13,3.4,3.62,3.4,3.54,25.63,87.14
2017-10-14,4.24,4.24,3.42,3.42,52.38,222.09
2017-10-15,3.4,4.21,3.4,4.21,65.1,221.34
2017-10-16,3.38,3.38,3.38,3.38,49.05,165.79
2017-10-17,3.16,3.16,3.11,3.16,151.5,478.74
2017-10-18,2.76,4.07,2.48,2.48,167.05,461.06
2017-10-19,2.95,3.95,2.71,2.71,1617.28,4770.98
2017-10-20,3.06,3.76,2.91,2.91,4591.22,14049.13
2017-10-21,4.19,4.19,3.0,3.03,1408.28,5900.69
2017-10-22,4.06,4.37,2.95,4.11,2428.23,9858.61
2017-10-23,3.57,3.94,2.88,3.94,2635.44,9408.52
2017-10-24,4.0,4.0,3.02,3.71,502.54,2010.16
2017-10-25,3.85,4.0,3.12,4.0,230.63,887.93
2017-10-26,3.25,3.84,3.25,3.84,150.84,490.23
2017-10-27,2.96,3.62,2.96,3.26,1042.91,3087.01
2017-10-28,2.26,3.6,2.11,2.93,878.98,1986.49
2017-10-29,2.89,3.5,2.19,2.34,1099.47,3177.47
2017-10-30,3.16,3.16,2.91,2.91,20.22,63.9
2017-10-31,2.28,3.34,2.28,3.13,15.07,34.36
2017-11-01,2.08,2.17,2.08,2.17,111.28,231.46
