time,close,high,low,open,volumefrom,volumeto
2018-12-27,0.9336,0.9336,0.8651,0.8969,101.94,95.17
2018-12-28,1.03,1.19,0.9235,1.12,150.92,155.45
2018-12-29,0.7244,1.01,0.7244,1.01,129.45,93.77
2018-12-30,0.9995,1.14,0.7457,0.7457,474.06,473.82
2018-12-31,0.9745,0.9745,0.9408,0.944,102.1,99.5
2019-01-01,0.9416,1.04,0.9416,1.04,4.91,4.62
2019-01-02,0.9864,1.03,0.9864,1.03,228.36,225.25
2019-01-03,0.9863,0.9863,0.8282,0.9415,271.9,268.17
2019-01-04,0.9189,1.04,0.9189,1.03,1142.98,1050.28
2019-01-05,0.9989,1.0,0.92,0.92,1062.76,1061.59
2019-01-06,1.01,1.05,0.8478,1.01,1285.2,1298.05
2019-01-07,0.943,0.9916,0.943,0.9697,28.06,26.46
2019-01-08,0.9852,0.9852,0.9368,0.9368,7.76,7.65
2019-01-09,0.9439,0.9856,0.9179,0.9856,3.6,3.4
2019-01-10,0.9982,1.03,0.799,0.799,558.01,557.01
2019-01-11,0.9976,1.27,0.9685,0.992,1058.28,1055.74
2019-01-12,1.0,1.0,0.6375,0.9871,1410.43,1410.43
2019-01-13,0.9957,1.0,0.92,0.9289,1598.89,1592.01
2019-01-14,0.9924,1.11,0.9881,1.11,1330.2,1320.09
2019-01-15,1.01,1.01,0.9191,0.9272,4400.21,4444.21
2019-01-16,1.0,1.02,0.9752,1.02,577.72,577.72
2019-01-17,1.0,1.03,0.964,1.01,1408.14,1408.14
2019-01-18,0.9865,0.9911,0.9777,0.9777,20.56,20.28
2019-01-19,1.0,1.03,0.9615,1.02,504.73,504.73
2019-01-20,0.9896,0.9896,0.9508,0.9508,4.44,4.39
2019-01-21,0.9959,0.9959,0.9376,0.9754,1186.19,1181.33
2019-01-22,0.9958,1.04,0.9714,1.02,2510.45,2499.91
2019-01-23,1.0,1.02,0.9707,0.9829,1385.32,1385.32
2019-01-24,0.98,1.0,0.98,1.0,397.27,389.32
2019-01-25,0.9682,0.9682,0.9651,0.9651,4.64,4.49
2019-01-26,1.0,1.0,0.9653,0.9716,184.79,184.79
2019-01-27,0.9814,0.9872,0.9656,0.9656,247.49,242.89
2019-01-28,1.06,1.06,0.5688,0.9297,37.46,39.71
2019-01-29,0.9882,1.05,0.9337,1.05,156.98,155.13
2019-01-30,0.9951,1.04,0.5893,1.03,14.22,14.15
2019-01-31,0.9951,1.07,0.6883,0.9755,57.95,57.67
2019-02-01,0.8621,0.9964,0.8621,0.9964,24.08,20.76
2019-02-02,0.8954,1.03,0.8941,0.8941,2.08,1.86
2019-02-03,0.9981,0.9981,0.8649,0.8649,1.0,0.9981
2019-02-04,0.9952,0.9952,0.9952,0.9952,0.0,0.0
2019-02-05,0.9955,0.9955,0.9955,0.9955,0.0,0.0
2019-02-06,0.9716,0.9729,0.9332,0.9729,210.43,204.45
2019-02-07,0.9395,0.9698,0.9356,0.9698,2.92,2.74
2019-02-08,0.9721,1.11,0.9721,1.08,159.11,154.67
2019-02-09,1.01,1.19,0.7883,0.9718,48.86,49.35
2019-02-10,1.23,1.23,1.06,1.06,20.0,24.6
2019-02-11,0.8553,1.19,0.8319,1.19,31.28,26.75
2019-02-12,1.01,1.01,0.8686,0.8686,1.0,1.01
2019-02-13,0.8967,1.01,0.8967,1.01,15.61,14.0
2019-02-14,0.984,1.01,0.886,0.886,2.16,2.13
2019-02-15,0.8894,0.9935,0.81,0.9935,57.14,50.82
2019-02-16,0.8984,0.8984,0.8984,0.8984,0.0,0.0
2019-02-17,0.9499,0.9902,0.9499,0.9788,194.2,184.47
2019-02-18,1.04,1.04,1.04,1.04,0.0,0.0
2019-02-19,1.44,1.44,1.02,1.02,28.22,40.64
2019-02-20,1.04,1.49,1.03,1.49,35.37,36.78
2019-02-21,1.0,1.02,0.9986,1.02,155.57,155.57
2019-02-22,0.9999,1.02,0.001341,1.02,5022.38,5021.88
2019-02-23,1.0,1.09,1.0,1.07,130.08,130.08
2019-02-24,0.9125,0.9139,0.8029,0.8405,197.65,180.36
2019-02-25,1.0,1.0,0.6951,0.9508,152.83,152.83
2019-02-26,0.9977,1.03,0.8671,0.9892,5020.48,5008.93
2019-02-27,1.02,1.02,0.8673,0.9891,475.13,484.63
2019-02-28,0.985,1.02,0.8912,1.02,9.75,9.6
2019-03-01,0.8489,1.02,0.8489,0.984,7052.33,5986.72
2019-03-02,1.0,1.0,0.8343,0.8343,2249.56,2249.56
2019-03-03,0.9828,0.9972,0.9316,0.9834,275.26,270.53
2019-03-04,1.03,1.03,0.9103,0.947,51.0,52.53
2019-03-05,1.01,1.12,0.8276,1.12,351.07,354.58
2019-03-06,1.0,1.02,0.9769,1.01,1009.03,1009.03
2019-03-07,0.9977,2216.17,0.8534,0.9987,1518.26,1514.77
2019-03-08,1.0,1.09,0.8428,0.9743,1355.36,1355.36
2019-03-09,1.0,1.03,0.9953,1.03,296.64,296.64
2019-03-10,1.0,1.09,0.8457,0.9905,522.95,522.95
