time,close,high,low,open,volumefrom,volumeto
2017-04-30,1.02,1.64,0.2112,0.2126,3814.88,3891.18
2017-05-01,1.06,1.24,0.9839,0.9947,8847.02,9377.84
2017-05-02,1.02,1.13,0.9394,1.06,13651.02,13924.04
2017-05-03,0.958,1.13,0.917,1.06,23579.29,22588.96
2017-05-04,0.8826,1.2,0.8574,1.13,31330.72,27652.49
2017-05-05,0.8664,1.09,0.7984,0.8475,23951.76,20751.8
2017-05-06,0.8951,0.9311,0.6462,0.9049,30100.52,26942.98
2017-05-07,0.8306,0.8849,0.7664,0.8539,26116.85,21692.66
2017-05-08,0.8324,0.8574,0.7863,0.8116,33410.47,27810.88
2017-05-09,0.8519,0.9723,0.7986,0.8124,34787.04,29635.08
2017-05-10,0.9732,0.9995,0.808,0.8673,34089.42,33175.82
2017-05-11,0.9861,1.04,0.9155,0.9773,30403.7,29981.09
2017-05-12,0.969,1.04,0.9324,0.952,28388.42,27508.38
2017-05-13,1.02,1.05,0.8796,1.0,26382.62,26910.27
2017-05-14,0.9875,1.06,0.8872,1.03,25407.93,25090.33
2017-05-15,0.9113,1.01,0.84,1.01,31062.49,28307.25
2017-05-16,0.8541,0.9026,0.7927,0.8859,34475.8,29445.78
2017-05-17,0.9803,0.9803,0.8264,0.8461,29200.75,28625.5
2017-05-18,0.9413,1.09,0.9145,1.08,25010.35,23542.24
2017-05-19,1.08,1.25,1.03,1.22,34437.28,37192.26
2017-05-20,1.06,1.1,1.03,1.07,27145.62,28774.36
2017-05-21,1.14,1.33,1.11,1.27,29124.17,33201.55
2017-05-22,1.18,1.25,1.02,1.23,31581.2,37265.82
2017-05-23,1.34,1.36,0.01695,1.25,21985.46,29460.52
2017-05-24,1.57,1.93,1.4,1.52,28285.89,44408.85
2017-05-25,1.51,1.77,1.36,1.44,28761.66,43430.11
2017-05-26,1.43,1.51,1.29,1.39,20350.16,29100.73
2017-05-27,1.32,1.5,1.21,1.38,23875.5,31515.66
2017-05-28,1.37,1.46,1.34,1.46,19814.59,27145.99
2017-05-29,1.47,1.58,1.42,1.54,20458.06,30073.35
2017-05-30,1.72,1.93,1.46,1.73,32565.12,56012.01
2017-05-31,1.6,1.86,1.49,1.72,39162.15,62659.44
2017-06-01,1.73,1.9,0.2075,1.54,35172.64,60848.67
2017-06-02,2.03,2.09,1.68,1.74,32375.59,65722.45
2017-06-03,2.51,2.58,1.97,2.05,35489.22,89077.94
2017-06-04,2.98,19.59,2.7,2.74,42565.3,126844.59
2017-06-05,2.97,3.21,2.43,3.01,24262.64,72060.04
2017-06-06,2.91,3.27,2.54,3.17,37680.94,109651.54
2017-06-07,2.83,3.07,2.56,2.82,18858.33,53369.07
2017-06-08,2.57,3.11,2.5,2.87,28872.78,74203.04
2017-06-09,2.89,2.95,2.67,2.76,23061.98,66649.12
2017-06-10,3.1,3.73,3.03,3.48,19467.79,60350.15
2017-06-11,2.93,3.57,2.8,3.14,25722.23,75366.13
2017-06-12,2.82,3.42,2.62,3.4,20848.38,58792.43
2017-06-13,2.92,3.21,2.72,2.78,20170.53,58897.95
2017-06-14,2.75,3.05,2.54,2.59,19028.04,52327.11
2017-06-15,2.82,3.1,2.73,2.76,18461.66,52061.88
2017-06-16,3.03,3.11,2.87,2.89,14672.93,44458.98
2017-06-17,3.21,3.31,3.04,3.15,9765.93,31348.64
2017-06-18,2.85,3.08,2.79,3.07,12522.72,35689.75
2017-06-19,2.81,2.95,2.69,2.9,17721.36,49797.02
2017-06-20,2.61,2.98,2.54,2.75,20527.28,53576.2
2017-06-21,2.97,2.99,2.29,2.42,28016.46,83208.89
2017-06-22,2.73,3.05,2.6,2.93,28284.0,77215.32
2017-06-23,2.76,2.8,2.64,2.78,24413.13,67380.24
2017-06-24,2.66,3.03,2.42,2.57,28288.75,75248.08
