time,close,high,low,open,volumefrom,volumeto
2018-04-24,0.4694,0.5049,0.435,0.5008,43441.95,20391.65
2018-04-25,0.3817,0.4149,0.2737,0.4118,94136.36,35931.85
2018-04-26,0.4184,0.4196,0.3389,0.4084,220434.47,92229.78
2018-04-27,0.3785,0.4072,0.3552,0.4071,210359.47,79621.06
2018-04-28,0.3732,0.502,0.3688,0.4019,273893.98,102217.23
2018-04-29,0.3705,0.4133,0.3065,0.4028,202384.3,74983.38
2018-04-30,0.3758,0.4414,0.3506,0.3776,211958.63,79654.05
2018-05-01,0.3964,0.3973,0.363,0.3762,198733.14,78777.82
2018-05-02,0.5012,0.5048,0.3852,0.4057,211172.82,105839.82
2018-05-03,0.3168,0.5673,0.311,0.5672,150200.81,47583.62
2018-05-04,0.4348,0.7058,0.298,0.3036,128687.89,55953.49
2018-05-05,0.4419,0.5695,0.4049,0.4545,76330.35,33730.38
2018-05-06,0.44,0.4734,0.3169,0.4314,69653.56,30647.57
2018-05-07,0.3014,0.4398,0.27,0.4142,75912.69,22880.08
2018-05-08,0.288,0.3125,0.2685,0.3085,69317.79,19963.52
2018-05-09,0.3013,0.3536,0.2696,0.2894,72813.37,21938.67
2018-05-10,0.2495,0.3159,0.2412,0.2954,75720.19,18892.19
2018-05-11,0.2068,0.2563,0.2068,0.2311,98617.63,20394.13
2018-05-12,0.1877,0.2216,0.1808,0.2085,106696.98,20027.02
2018-05-13,0.1562,0.2111,0.147,0.2111,111777.59,17459.66
2018-05-14,0.1738,0.1949,0.1557,0.1563,103633.26,18011.46
2018-05-15,0.1555,0.2254,0.1363,0.1534,108050.9,16801.91
2018-05-16,0.1705,0.2191,0.1374,0.1621,130652.72,22276.29
2018-05-17,0.1473,0.1715,0.146,0.1709,170380.17,25097.0
2018-05-18,0.135,0.1588,0.1321,0.1573,193412.66,26110.71
2018-05-19,0.1333,0.1455,0.1325,0.1388,162206.05,21622.07
2018-05-20,0.138,0.144,0.136,0.1363,160010.84,22081.5
2018-05-21,0.1236,0.2159,0.09824,0.14,171985.56,21257.42
2018-05-22,0.1116,0.128,0.1002,0.1135,190821.74,21295.71
2018-05-23,0.08828,0.1455,0.08597,0.1005,161222.29,14232.7
2018-05-24,0.09949,0.1023,0.09105,0.0922,189587.21,18862.03
2018-05-25,0.1068,0.1709,0.08859,0.0966,203982.42,21785.32
2018-05-26,0.1037,0.1091,0.1037,0.1046,180174.78,18684.12
2018-05-27,0.1013,0.1056,0.09906,0.09906,143018.49,14487.77
2018-05-28,0.08705,0.09426,0.08034,0.09135,187879.06,16354.87
2018-05-29,0.09536,0.1543,0.08669,0.09842,189799.84,18099.31
2018-05-30,0.1059,0.1228,0.09192,0.09883,180719.37,19138.18
2018-05-31,0.1537,0.1622,0.09449,0.1097,213105.51,32754.32
2018-06-01,0.1676,0.1677,0.1431,0.1541,160633.39,26922.16
2018-06-02,0.1579,0.1713,0.1528,0.1672,185713.22,29324.12
2018-06-03,0.1622,0.1669,0.1599,0.1657,176039.26,28553.57
2018-06-04,0.1789,0.1927,0.1527,0.1554,197748.25,35377.16
2018-06-05,0.1804,0.1903,0.1701,0.1863,170339.13,30729.18
2018-06-06,0.1699,0.191,0.1645,0.1836,145924.21,24792.52
2018-06-07,0.1711,0.1777,0.1656,0.17,127979.14,21897.23
2018-06-08,0.1873,0.189,0.1685,0.1697,188905.35,35381.97
2018-06-09,0.1888,0.1917,0.1688,0.1838,154680.17,29203.62
2018-06-10,0.1638,0.171,0.1575,0.1687,293441.21,48065.67
2018-06-11,0.168,0.1713,0.1626,0.1664,183681.05,30858.42
2018-06-12,0.1851,0.2205,0.1427,0.1568,143912.2,26638.15
2018-06-13,0.2132,0.3096,0.1494,0.1749,241986.6,51591.54
2018-06-14,0.1792,0.3119,0.1616,0.2378,191670.16,34347.29
2018-06-15,0.1502,0.1692,0.1438,0.1668,78206.66,11746.64
2018-06-16,0.116,0.1536,0.1104,0.1462,97795.66,11344.3
2018-06-17,0.1207,0.1268,0.1143,0.1214,86661.6,10460.06
2018-06-18,0.118,0.1362,0.1094,0.1268,98459.79,11618.26
2018-06-19,0.1157,0.1244,0.1127,0.1213,108268.38,12526.65
2018-06-20,0.09651,0.1168,0.09222,0.1151,135684.35,13094.9
2018-06-21,0.09537,0.1075,0.09049,0.09296,112928.42,10769.98
2018-06-22,0.08684,0.09451,0.08069,0.08319,91390.15,7936.32
2018-06-23,0.08583,0.09365,0.0836,0.08649,82696.2,7097.81
2018-06-24,0.07598,0.08504,0.07252,0.08163,70301.57,5341.51
2018-06-25,0.06823,0.09176,0.05506,0.07557,72345.59,4936.14
2018-06-26,0.05129,0.06427,0.04846,0.05924,131784.29,6759.22
2018-06-27,0.05429,0.06065,0.05279,0.05283,68364.34,3711.5
2018-06-28,0.04687,0.05465,0.04489,0.05099,119095.98,5582.03
2018-06-29,0.04086,0.04971,0.04069,0.04749,61818.17,2525.89
2018-06-30,0.04198,0.04625,0.04134,0.04407,113299.44,4756.31
2018-07-01,0.04095,0.04286,0.04081,0.0421,60397.16,2473.26
2018-07-02,0.04216,0.04385,0.04216,0.04344,7285.72,307.17
2018-07-03,0.04128,0.04133,0.03745,0.04086,4135.57,170.72
2018-07-04,0.0365,0.04174,0.03644,0.04174,2794.47,102.0
2018-07-05,0.03607,0.03654,0.03509,0.03653,8821.56,318.19
2018-07-06,0.03696,0.03907,0.03234,0.03626,12421.55,459.1
2018-07-07,0.03165,0.0404,0.02872,0.03635,59288.97,1876.5
2018-07-08,0.03402,0.03506,0.03119,0.03189,175077.79,5956.15
2018-07-09,0.03049,0.03418,0.02885,0.03305,78147.52,2382.72
2018-07-10,0.03874,0.04457,0.02608,0.02811,190674.08,7386.71
2018-07-11,0.03234,0.0411,0.0322,0.04061,73024.87,2361.62
2018-07-12,0.03521,0.0408,0.02954,0.03293,101480.26,3573.12
2018-07-13,0.03608,0.03649,0.03487,0.03544,27677.91,998.62
2018-07-14,0.05053,0.0586,0.03535,0.03535,85991.4,4345.15
2018-07-15,0.0491,0.05719,0.04739,0.05274,42808.84,2101.91
2018-07-16,0.04358,0.05228,0.04056,0.05204,100113.94,4362.97
2018-07-17,0.04398,0.05031,0.04027,0.04641,46090.22,2027.05
2018-07-18,0.04707,0.04939,0.04122,0.04172,83762.54,3942.7
2018-07-19,0.04121,0.05,0.03898,0.04605,14331.57,590.6
2018-07-20,0.0461,0.05386,0.03947,0.03947,806421.4,37176.03
2018-07-21,0.04219,0.05094,0.04089,0.04735,255842.18,10793.98
2018-07-22,0.0443,0.04499,0.04087,0.04311,823585.91,36484.86
2018-07-23,0.04393,0.04694,0.03912,0.04352,1309095.17,57508.55
2018-07-24,0.04291,0.05773,0.04128,0.04617,3352121.38,143839.53
2018-07-25,0.04157,0.04355,0.03963,0.04218,726255.74,30190.45
2018-07-26,0.04121,0.04486,0.03918,0.04107,2496492.89,102880.47
2018-07-27,0.03922,0.04232,0.03922,0.0419,803738.17,31522.61
2018-07-28,0.03987,0.04475,0.03589,0.03912,188894.22,7531.21
2018-07-29,0.04373,0.051,0.03786,0.03967,360857.44,15780.3
2018-07-30,0.05022,0.05059,0.04159,0.04365,1041839.73,52321.19
2018-07-31,0.04354,0.04808,0.04104,0.04752,558580.52,24320.6
2018-08-01,0.04014,0.04253,0.03791,0.04232,1489301.68,59780.57
2018-08-02,0.0394,0.04264,0.03845,0.03928,1489057.0,58668.85
2018-08-03,0.04093,0.04477,0.03988,0.04005,2158400.0,88343.31
2018-08-04,0.04016,0.04252,0.03874,0.03988,669193.2,26874.8
2018-08-05,0.0397,0.04235,0.039,0.04002,475700.0,18885.29
2018-08-06,0.03997,0.0407,0.03847,0.03932,544100.0,21747.68
2018-08-07,0.03677,0.03798,0.03485,0.0373,554614.13,20393.16
2018-08-08,0.03239,0.03847,0.03239,0.03509,174039.06,5637.13
2018-08-09,0.03159,0.03435,0.03079,0.03312,350555.93,11074.06
2018-08-10,0.02948,0.02948,0.02762,0.02881,69064.28,2036.01
2018-08-11,0.02808,0.02935,0.02709,0.02859,48900.0,1373.11
2018-08-12,0.02695,0.02877,0.02673,0.0281,230700.0,6217.37
2018-08-13,0.0263,0.02641,0.02386,0.02477,239100.0,6288.33
2018-08-14,0.02421,0.02972,0.02368,0.02577,210763.0,5102.57
2018-08-15,0.02185,0.02534,0.02146,0.02447,150500.0,3288.43
2018-08-16,0.0216,0.0228,0.0216,0.02228,25244.67,545.28
2018-08-17,0.02388,0.0281,0.02388,0.02391,46510.0,1110.66
2018-08-18,0.02338,0.02338,0.02217,0.02217,10137.38,237.01
2018-08-19,0.02253,0.02376,0.02253,0.02376,7171.64,161.58
2018-08-20,0.02172,0.02223,0.02036,0.02036,148516.33,3225.77
2018-08-21,0.02317,0.02952,0.0212,0.02255,64700.0,1499.1
2018-08-22,0.0222,0.0236,0.02082,0.02204,234200.0,5199.24
2018-08-23,0.02265,0.02265,0.02265,0.02265,5985.92,135.58
2018-08-24,0.02285,0.02777,0.02279,0.0231,992478.01,22678.12
2018-08-25,0.02165,0.02914,0.02098,0.02254,1807198.9,39125.86
2018-08-26,0.02109,0.02386,0.0209,0.0214,3069609.0,64738.05
2018-08-27,0.02264,0.02823,0.02137,0.02215,4340700.0,98273.45
2018-08-28,0.02228,0.02601,0.02155,0.02317,3150301.93,70188.73
2018-08-29,0.0213,0.02223,0.02116,0.02177,9652645.96,205601.36
2018-08-30,0.01901,0.02128,0.01867,0.02108,4585488.0,87170.13
2018-08-31,0.01924,0.02003,0.01836,0.01884,2111362.36,40622.61
2018-09-01,0.02026,0.02029,0.02008,0.02017,154000.0,3120.04
2018-09-02,0.01838,0.02115,0.01814,0.02024,2400543.6,44121.99
2018-09-03,0.01745,0.01965,0.01737,0.01806,2196300.0,38325.44
2018-09-04,0.01783,0.01825,0.01649,0.01723,841708.86,15007.67
2018-09-05,0.0136,0.01541,0.01342,0.01427,1067000.0,14511.2
2018-09-06,0.01311,0.01444,0.01278,0.01368,818800.0,10734.47
2018-09-07,0.01345,0.01377,0.01188,0.01228,1059200.0,14246.24
2018-09-08,0.0112,0.01234,0.01031,0.0123,3734453.16,41825.88
2018-09-09,0.0108,0.01162,0.01051,0.01115,514800.0,5559.84
2018-09-10,0.008359,0.0113,0.008142,0.01086,6501806.86,54348.6
