time,close,high,low,open,volumefrom,volumeto
2017-12-28,0.05644,0.1011,0.002592,0.002592,158540.05,8948.0
2017-12-29,0.06721,0.06923,0.04203,0.05642,667525.15,44864.37
2017-12-30,0.1127,0.1128,0.05013,0.05827,537814.42,60611.69
2017-12-31,0.133,0.1409,0.09903,0.1245,317286.56,42199.11
2018-01-01,0.08954,0.1291,0.08712,0.1291,577081.61,51671.89
2018-01-02,0.1387,0.1387,0.08705,0.09826,375002.43,52012.84
2018-01-03,0.1375,0.1425,0.109,0.1425,395033.79,54317.15
2018-01-04,0.1328,0.1441,0.123,0.1377,294497.16,39109.22
2018-01-05,0.1465,0.1604,0.1465,0.1484,111892.43,16392.24
2018-01-06,0.1467,0.1475,0.1393,0.1393,194345.95,28510.55
2018-01-07,0.1462,0.1482,0.1272,0.1386,355202.37,51930.59
2018-01-08,0.1797,0.2267,0.1349,0.1349,415301.22,74629.63
2018-01-09,0.2895,0.2895,0.1736,0.1736,123190.36,35663.61
2018-01-10,0.6668,0.6684,0.2502,0.2985,648299.71,432286.25
2018-01-11,0.547,0.5949,0.4857,0.5947,60968.43,33349.73
2018-01-12,0.5793,0.6003,0.5258,0.5689,126028.9,73008.54
2018-01-13,0.6191,0.6207,0.5716,0.5961,117834.58,72951.39
2018-01-14,0.5592,0.5929,0.5592,0.5929,113069.15,63228.27
2018-01-15,0.6093,0.6093,0.5447,0.5589,165082.07,100584.51
2018-01-16,0.5043,0.5043,0.4119,0.5043,87221.14,43985.62
2018-01-17,0.4105,0.499,0.3597,0.499,167040.22,68570.01
2018-01-18,0.4526,0.4917,0.3914,0.4109,174353.08,78912.2
2018-01-19,0.5066,0.515,0.4173,0.4666,124402.79,63022.45
2018-01-20,0.4673,0.5621,0.4347,0.5621,167291.95,78175.53
2018-01-21,0.4156,0.4272,0.3589,0.4221,148843.6,61859.4
2018-01-22,0.3621,0.3935,0.3282,0.3891,157772.19,57129.31
2018-01-23,0.2861,0.3644,0.2172,0.3635,122027.61,34912.1
2018-01-24,0.2751,0.3455,0.2286,0.3012,279372.59,76855.4
2018-01-25,0.2364,0.2769,0.2242,0.269,216497.28,51179.96
2018-01-26,0.305,0.3331,0.2347,0.2349,281486.25,85853.31
2018-01-27,0.2865,0.3148,0.2442,0.3148,269863.9,77316.01
2018-01-28,0.3207,0.3529,0.2517,0.2942,227444.94,72941.59
2018-01-29,0.2597,0.3061,0.2471,0.3061,3383.52,878.7
2018-01-30,0.2316,0.2482,0.2108,0.2337,309252.64,71622.91
2018-01-31,0.2252,0.2511,0.225,0.2343,150095.18,33801.43
2018-02-01,0.2027,0.2104,0.2005,0.2007,254214.04,51529.19
2018-02-02,0.2015,0.2173,0.1952,0.1973,236991.9,47753.87
2018-02-03,0.2104,0.2137,0.2028,0.2102,98294.11,20681.08
2018-02-04,0.1862,0.2001,0.1808,0.1869,171523.06,31937.59
2018-02-05,0.1571,0.1651,0.1478,0.1572,254453.95,39974.72
2018-02-06,0.1754,0.1779,0.1579,0.1744,366183.76,64228.63
2018-02-07,0.1821,0.1848,0.1519,0.173,115013.24,20943.91
2018-02-08,0.1923,0.1982,0.1773,0.1982,241096.49,46362.86
2018-02-09,0.2011,0.2025,0.1911,0.2025,203375.99,40898.91
2018-02-10,0.1962,0.2014,0.191,0.1981,345499.76,67787.05
2018-02-11,0.1801,0.2425,0.1767,0.1851,293738.06,52902.22
2018-02-12,0.187,0.1992,0.1853,0.1985,306856.61,57382.19
2018-02-13,0.1832,0.1845,0.1769,0.1793,365665.31,66989.88
2018-02-14,0.2001,0.2044,0.1964,0.2034,344953.97,69025.29
2018-02-15,0.212,0.2285,0.2086,0.2117,292304.32,61968.52
2018-02-16,0.212,0.221,0.2084,0.2153,293678.89,62259.92
2018-02-17,0.206,0.2309,0.2052,0.2309,316189.22,65134.98
2018-02-18,0.1962,0.199,0.1907,0.1933,303597.12,59565.75
2018-02-19,0.2055,0.212,0.2044,0.2106,265392.33,54538.12
2018-02-20,0.191,0.2069,0.1907,0.2069,354798.62,67766.54
2018-02-21,0.1761,0.1845,0.1741,0.1779,381251.63,67138.41
2018-02-22,0.1646,0.1673,0.1627,0.1654,355267.89,58477.09
2018-02-23,0.807,0.9877,0.17,0.17,510534.79,412001.58
2018-02-24,0.6481,0.8946,0.5533,0.7698,131311.84,85103.2
2018-02-25,0.7717,0.7881,0.6353,0.6418,138352.13,106766.34
2018-02-26,0.8558,0.9518,0.7859,0.8292,134094.1,114757.73
2018-02-27,0.8269,0.9017,0.7592,0.878,100358.43,82986.39
2018-02-28,0.7553,0.8078,0.7146,0.8066,91779.27,69320.88
2018-03-01,0.7879,0.8087,0.7651,0.7988,99157.05,78125.84
2018-03-02,0.759,0.805,0.7178,0.7961,95464.22,72457.34
2018-03-03,0.7404,0.7991,0.7206,0.788,81649.78,60453.5
2018-03-04,0.7104,0.743,0.6935,0.743,98163.17,69735.12
2018-03-05,0.6104,0.7065,0.5375,0.7065,73808.31,45052.59
2018-03-06,0.4889,0.5745,0.453,0.5727,86359.57,42221.19
2018-03-07,0.4276,0.4521,0.3986,0.4521,137388.93,58747.51
2018-03-08,0.3938,0.4286,0.3854,0.4013,165336.37,65109.46
2018-03-09,0.3593,0.3917,0.3562,0.3911,167806.88,60293.01
2018-03-10,0.3345,0.3519,0.3329,0.3416,193161.57,64612.55
2018-03-11,0.3596,0.3818,0.3316,0.3629,158117.39,56859.01
2018-03-12,0.3497,0.3682,0.3445,0.3445,149294.86,52208.41
2018-03-13,0.2664,0.3562,0.2659,0.3504,164222.86,43748.97
2018-03-14,0.256,0.2724,0.2386,0.239,141443.26,36209.47
2018-03-15,0.2633,0.2729,0.2425,0.2576,179905.56,47369.13
2018-03-16,0.4462,0.5715,0.2605,0.2638,667974.97,298050.43
2018-03-17,0.5555,0.5834,0.3671,0.4247,228727.31,127058.02
2018-03-18,0.5651,0.6079,0.524,0.5787,84343.27,47662.38
2018-03-19,0.5972,0.6381,0.55,0.5932,235847.99,140848.42
2018-03-20,0.5426,0.6601,0.4014,0.6178,1292089.33,701087.67
2018-03-21,0.5055,0.6149,0.499,0.5421,5326864.16,2692729.83
2018-03-22,0.3188,0.506,0.253,0.495,5698998.72,1816840.79
2018-03-23,0.2025,0.3274,0.1787,0.3265,12356548.65,2502201.1
2018-03-24,0.2107,0.2346,0.1881,0.1937,1181253.32,248890.07
2018-03-25,0.2132,0.2286,0.1971,0.2089,319141.67,68041.0
2018-03-26,0.1994,0.2107,0.1929,0.2051,247497.78,49351.06
2018-03-27,0.1827,0.1929,0.1819,0.191,282154.02,51549.54
2018-03-28,0.1807,0.1878,0.1803,0.1863,245561.44,44372.95
2018-03-29,0.1681,0.199,0.1344,0.1613,377432.85,63446.46
2018-03-30,0.1585,0.1774,0.1543,0.1622,181480.89,28764.72
2018-03-31,0.1616,0.1631,0.1564,0.1605,156914.17,25357.33
2018-04-01,0.1496,0.1606,0.1416,0.1591,157628.22,23581.18
2018-04-02,0.1466,0.1558,0.1406,0.1548,151406.39,22196.18
2018-04-03,0.1514,0.1566,0.1493,0.154,147353.98,22309.39
2018-04-04,0.1341,0.1407,0.1317,0.1388,165656.46,22214.53
2018-04-05,0.1318,0.1475,0.1313,0.1336,191334.79,25217.93
2018-04-06,0.1312,0.1336,0.1285,0.1288,135559.63,17785.42
2018-04-07,0.1344,0.1379,0.1319,0.1368,142152.87,19105.35
2018-04-08,0.1387,0.1404,0.1363,0.137,123397.35,17115.21
2018-04-09,0.1389,0.1401,0.1336,0.1336,158578.43,22026.54
2018-04-10,0.158,0.1624,0.1402,0.1406,150069.14,23710.92
2018-04-11,0.1637,0.1721,0.1578,0.1604,125413.25,20530.15
2018-04-12,0.1832,0.1881,0.1586,0.186,159795.78,29274.59
2018-04-13,0.1807,0.1874,0.1778,0.1825,151082.53,27300.61
2018-04-14,0.177,0.1839,0.1762,0.1836,152263.48,26950.64
2018-04-15,0.1851,0.1864,0.1644,0.1848,132438.84,24514.43
2018-04-16,0.1798,0.1815,0.1705,0.1786,142260.02,25578.35
2018-04-17,0.1742,0.1769,0.1735,0.1763,131703.76,22942.79
2018-04-18,0.1697,0.1801,0.165,0.1801,156976.37,26638.89
2018-04-19,0.1703,0.1747,0.1668,0.172,155972.84,26562.17
2018-04-20,0.1822,0.2107,0.1527,0.1821,191096.22,34817.73
2018-04-21,0.1739,0.1835,0.1732,0.1835,148845.42,25884.22
2018-04-22,0.1721,0.1765,0.1619,0.1717,187752.87,32312.27
2018-04-23,0.173,0.1787,0.1721,0.175,134895.51,23336.92
2018-04-24,0.1775,0.1863,0.1763,0.1863,153304.14,27211.48
2018-04-25,0.1591,0.1631,0.1514,0.1631,151840.2,24157.78
2018-04-26,0.1607,0.1717,0.1584,0.1664,172753.04,27761.41
2018-04-27,0.1649,0.166,0.1166,0.1547,201389.58,33209.14
2018-04-28,0.1914,0.1964,0.1635,0.1725,177904.0,34050.83
2018-04-29,0.2665,0.2714,0.1913,0.1926,256415.14,68334.63
2018-04-30,0.2785,0.2961,0.261,0.262,227055.92,63235.07
2018-05-01,0.2799,0.2864,0.2391,0.2733,133249.37,37296.5
2018-05-02,0.2491,0.2876,0.2173,0.284,137410.34,34228.92
2018-05-03,0.2681,0.274,0.2561,0.2629,99740.07,26740.31
2018-05-04,0.2514,0.2686,0.2473,0.2668,98565.83,24779.45
2018-05-05,0.2585,0.2613,0.2499,0.2552,101754.28,26303.48
2018-05-06,0.2391,0.2574,0.2322,0.2532,114309.13,27331.31
2018-05-07,0.22,0.2503,0.1844,0.2325,122701.93,26994.42
2018-05-08,0.1934,0.2179,0.1664,0.2157,149419.34,28897.7
2018-05-09,0.1953,0.213,0.1825,0.196,119896.73,23415.83
2018-05-10,0.1853,0.1902,0.175,0.1892,109417.36,20275.04
2018-05-11,0.1684,0.1742,0.1632,0.1727,106397.51,17917.34
2018-05-12,0.1708,0.1735,0.1628,0.1697,107888.76,18427.4
2018-05-13,0.1831,0.1908,0.1739,0.1753,122811.2,22486.73
2018-05-14,0.1839,0.1878,0.1794,0.1823,101526.05,18670.64
2018-05-15,0.1768,0.1816,0.1737,0.1798,100705.74,17804.77
2018-05-16,0.172,0.1752,0.159,0.174,96212.76,16548.59
2018-05-17,0.1663,0.1675,0.1467,0.1663,106607.6,17728.84
2018-05-18,0.1602,0.173,0.1593,0.17,88502.75,14178.14
2018-05-19,0.1577,0.1619,0.1527,0.1602,104187.56,16430.38
2018-05-20,0.1612,0.1667,0.1581,0.1632,106620.7,17187.26
2018-05-21,0.1646,0.1819,0.156,0.159,275210.15,45299.59
2018-05-22,0.1477,0.1936,0.04987,0.1563,156497.95,23114.75
2018-05-23,0.1403,0.1425,0.1383,0.1387,80573.05,11304.4
2018-05-24,0.1421,0.1431,0.1399,0.1418,38841.64,5519.4
2018-05-25,0.135,0.1411,0.1346,0.1401,52944.39,7147.49
2018-05-26,0.1329,0.1333,0.1325,0.1328,37457.76,4978.14
2018-05-27,0.1316,0.1334,0.1291,0.133,40123.49,5280.25
2018-05-28,0.1226,0.1277,0.1214,0.1273,41366.0,5071.47
2018-05-29,0.1283,0.1309,0.1264,0.1287,50495.36,6478.55
2018-05-30,0.1272,0.1313,0.1263,0.1269,87373.77,11113.94
2018-05-31,0.1262,0.134,0.1215,0.1294,93005.65,11737.31
2018-06-01,0.1273,0.1285,0.1251,0.1267,114329.57,14554.15
2018-06-02,0.1325,0.1528,0.127,0.1292,80275.31,10636.48
2018-06-03,0.131,0.1359,0.1278,0.1339,82415.51,10796.43
2018-06-04,0.1248,0.1351,0.1241,0.1273,91608.33,11432.72
2018-06-05,0.1353,0.1368,0.1232,0.1269,89989.74,12175.61
2018-06-06,0.1319,0.1358,0.1311,0.1358,70034.68,9237.57
2018-06-07,0.1301,0.1371,0.1285,0.1326,99228.43,12909.62
2018-06-08,0.1255,0.1322,0.1187,0.1289,103507.27,12990.16
2018-06-09,0.1272,0.1282,0.1223,0.1237,81200.88,10328.75
