time,close,high,low,open,volumefrom,volumeto
2017-06-02,1869.45,1869.45,249.26,249.26,112.84,210948.74
2017-06-03,2364.7,2392.7,1781.8,1909.07,59.35,140344.95
2017-06-04,2322.14,2344.85,2322.14,2344.85,4.94,11471.37
2017-06-05,2488.29,2488.56,2163.97,2488.56,4.99,12416.57
2017-06-06,2296.4,2640.57,2296.4,2640.57,0.2076,476.73
2017-06-07,2153.21,2153.21,2153.21,2153.21,0.0003904,0.8406
2017-06-08,2239.02,2239.02,2239.02,2239.02,0.001187,2.66
2017-06-09,2249.14,2249.14,1968.0,2249.14,0.05031,113.15
2017-06-10,2320.2,2320.2,2320.2,2320.2,0.0002188,0.5077
2017-06-11,2378.76,2378.76,2378.76,2378.76,6.25e-05,0.1487
2017-06-12,2470.8,2470.8,1859.74,2125.42,24.61,60806.39
2017-06-13,1899.09,2523.08,1899.09,2523.08,0.12,227.89
2017-06-14,2294.56,2294.56,1727.09,1727.09,2.581e-05,0.05922
2017-06-15,2271.49,2271.49,2271.49,2271.49,0.0,0.0
2017-06-16,2332.98,2332.98,2332.98,2332.98,0.000201,0.4689
2017-06-17,2469.24,2469.24,2469.24,2469.24,0.0,0.0
2017-06-18,2361.79,2361.79,2361.79,2361.79,0.001357,3.2
2017-06-19,2433.64,2433.64,2433.64,2433.64,0.0,0.0
2017-06-20,2561.57,2561.57,2520.26,2561.57,1.62,4149.74
2017-06-21,2490.19,2490.19,2490.19,2490.19,1.075e-05,0.02677
2017-06-22,2532.24,2532.24,2532.24,2532.24,0.0118,29.88
2017-06-23,2520.64,2520.64,2520.64,2520.64,0.0002151,0.5422
2017-06-24,2408.75,2408.75,2408.75,2408.75,0.0006239,1.5
2017-06-25,2363.71,2363.71,2363.71,2363.71,0.0,0.0
2017-06-26,1981.3,2274.83,1712.24,2274.83,0.1318,261.14
2017-06-27,2092.84,2092.84,1627.76,2092.84,0.008867,18.56
2017-06-28,2087.97,2087.97,2087.97,2087.97,0.0,0.0
2017-06-29,2072.28,2072.28,2072.28,2072.28,0.0003704,0.7676
2017-06-30,2009.29,2009.29,2009.29,2009.29,0.0001234,0.2479
2017-07-01,1527.5,1963.93,1527.5,1963.93,0.0001262,0.1928
2017-07-02,1597.97,1597.97,1597.97,1597.97,0.0,0.0
2017-07-03,2083.7,2083.7,3.6,1620.66,0.06582,137.15
2017-07-04,2098.83,2120.03,2098.83,2120.03,0.0009976,2.09
2017-07-05,1445.59,2107.28,1445.59,2107.28,0.03563,51.51
2017-07-06,1437.57,1438.09,1409.34,1438.09,0.003261,4.69
2017-07-07,1382.38,1382.38,1382.38,1382.38,0.0,0.0
2017-07-08,2056.76,2056.76,620.7,1410.42,0.126,259.15
2017-07-09,1934.3,2034.26,1934.3,2013.92,0.03022,58.45
2017-07-10,1805.36,1806.3,1805.36,1805.36,0.02542,45.89
2017-07-11,1789.47,1790.17,1754.37,1790.17,0.0009197,1.65
2017-07-12,1850.14,1850.14,1850.14,1850.14,0.0,0.0
2017-07-13,1913.58,1913.58,800.16,1818.84,0.1668,319.19
2017-07-14,7819.6,7819.6,1773.48,1809.68,86.25,674440.5
2017-07-15,4641.44,9223.62,966.21,6912.78,26.28,121977.04
2017-07-16,4593.82,7656.36,1626.98,4498.11,47.18,216736.43
2017-07-17,2680.07,8710.22,2233.39,5360.14,25.17,67457.36
2017-07-18,2082.64,3712.37,1185.64,2784.28,18.42,38362.23
2017-07-19,1973.06,3286.92,1166.4,2048.84,7.21,14225.76
2017-07-20,1678.05,2477.39,1464.54,2477.39,0.5367,900.61
2017-07-21,1469.96,1566.26,1366.97,1566.26,0.07709,113.32
2017-07-22,1596.97,1596.97,1449.47,1558.67,0.05612,89.62
2017-07-23,1612.34,1612.34,1408.63,1551.97,0.1025,165.26
2017-07-24,2164.03,2763.42,1616.32,1616.32,140.09,303158.96
2017-07-25,1890.71,2453.45,1520.36,2022.42,14.33,27093.87
2017-07-26,1689.08,2341.68,1639.69,1873.6,51.7,87325.44
2017-07-27,1668.97,2045.83,1601.67,1776.64,27.52,45930.05
2017-07-28,1375.31,1740.19,1375.31,1740.19,0.5429,746.66
2017-07-29,1530.76,1530.76,254.95,1339.42,0.7844,1200.73
2017-07-30,525.63,1549.23,277.48,1549.23,0.07863,41.33
2017-07-31,864.98,1441.64,547.82,547.82,30.74,26589.49
2017-08-01,576.87,824.1,412.05,824.1,45.6,26305.27
2017-08-02,571.31,718.22,544.11,571.31,2.22,1268.31
2017-08-03,624.38,842.72,519.85,590.1,6.65,4152.13
2017-08-04,639.6,639.6,639.6,639.6,0.3156,201.86
2017-08-05,652.23,724.99,554.68,724.99,0.4668,304.46
2017-08-06,568.84,646.08,517.12,646.08,0.1428,81.23
2017-08-07,510.29,598.74,510.29,598.74,0.08225,41.97
2017-08-08,514.41,1028.47,417.7,514.41,9.9,5092.66
2017-08-09,372.05,552.55,337.56,502.32,63.88,23766.55
2017-08-10,380.93,471.37,342.57,380.59,9.9,3771.21
2017-08-11,347.17,406.37,347.17,406.37,0.7344,254.96
2017-08-12,280.73,367.8,77.43,367.8,0.2813,78.97
2017-08-13,292.1,294.58,292.1,294.58,1.0,292.1
2017-08-14,822.31,822.31,210.38,311.18,509.95,419336.98
2017-08-15,230.97,790.72,202.3,790.72,362.1,83634.24
2017-08-16,131.62,243.5,131.62,243.5,238.96,31451.92
2017-08-17,72.74,155.67,42.79,128.37,553.48,40260.14
2017-08-18,61.7,346.86,57.48,69.79,55.62,3431.75
2017-08-19,49.85,383.34,49.85,62.38,17.44,869.38
2017-08-20,75.23,116.39,40.75,48.84,603.5,45401.31
2017-08-21,52.87,80.14,51.27,74.09,665.0,35158.55
2017-08-22,46.21,54.39,46.21,53.98,201.26,9300.22
2017-08-23,29.01,51.93,20.71,46.79,721.05,20917.66
2017-08-24,41.46,62.62,23.75,30.25,2701.25,111993.83
2017-08-25,46.26,46.7,30.55,41.9,952.77,44075.14
2017-08-26,46.0,46.13,45.7,46.13,23.65,1087.9
2017-08-27,47.8,47.8,43.89,45.93,907.7,43388.06
2017-08-28,41.71,87.76,41.7,48.29,1052.67,43906.87
2017-08-29,36.95,50.43,32.28,43.68,112.87,4170.55
2017-08-30,32.21,61.14,32.21,36.83,47.05,1515.48
2017-08-31,42.92,42.95,27.05,33.28,18.16,779.43
2017-09-01,39.26,44.61,39.19,44.61,2.81,110.32
2017-09-02,36.09,36.59,22.87,36.59,14.37,518.61
2017-09-03,23.48,43.82,19.48,36.4,11.22,263.45
2017-09-04,29.86,29.86,21.72,21.72,1.27,37.92
2017-09-05,30.86,30.86,30.86,30.86,0.04296,1.33
2017-09-06,23.1,27.71,23.1,27.71,0.1195,2.76
2017-09-07,14.99,23.19,14.99,23.19,0.9072,13.6
2017-09-08,21.65,25.65,13.99,13.99,1.54,33.34
2017-09-09,21.7,21.7,21.69,21.69,0.3151,6.84
2017-09-10,22.04,22.04,17.62,21.25,18.54,408.62
2017-09-11,25.31,25.31,25.31,25.31,1.03,26.07
2017-09-12,24.95,39.48,23.75,33.2,15.14,377.74
2017-09-13,34.72,68.23,23.22,23.22,50.45,1751.62
2017-09-14,30.23,38.85,28.84,29.09,44.11,1333.45
2017-09-15,30.09,44.53,30.09,40.48,7.51,225.98
2017-09-16,37.84,37.84,24.45,29.96,0.3508,13.27
2017-09-17,34.31,37.74,24.39,37.74,0.7774,26.67
2017-09-18,27.9,38.13,27.43,38.13,12.97,361.86
2017-09-19,26.14,27.64,26.14,26.59,21.46,560.96
2017-09-20,25.98,28.57,25.97,25.97,0.8804,22.87
2017-09-21,10.86,31.47,10.85,24.2,69.92,759.33
2017-09-22,11.19,17.65,10.81,10.81,3.64,40.73
2017-09-23,22.26,26.89,11.78,11.78,170.89,3804.01
2017-09-24,13.2,21.55,11.52,21.55,17.13,226.12
2017-09-25,11.8,14.16,11.8,14.15,131.34,1549.81
