time,close,high,low,open,volumefrom,volumeto
2018-01-30,0.2157,0.2175,0.2066,0.2127,5125589.75,1105589.71
2018-01-31,0.218,0.2505,0.1979,0.2168,33176067.44,7232382.7
2018-02-01,0.191,0.2153,0.169,0.1947,38009604.73,7259834.5
2018-02-02,0.1724,0.1894,0.1522,0.1859,25217289.94,4347460.79
2018-02-03,0.1886,0.2014,0.174,0.1803,38821814.74,7321794.26
2018-02-04,0.151,0.1714,0.1488,0.168,37608384.23,5678866.02
2018-02-05,0.1181,0.1349,0.1145,0.1274,31949161.93,3773196.02
2018-02-06,0.1368,0.138,0.1191,0.1313,34181977.23,4676094.49
2018-02-07,0.1222,0.1359,0.1197,0.1343,38158066.23,4662915.69
2018-02-08,0.1295,0.1413,0.124,0.133,35383354.66,4582144.43
2018-02-09,0.1416,0.1546,0.1305,0.1372,37491888.42,5308851.4
2018-02-10,0.1305,0.1446,0.1286,0.1396,18130997.82,2366095.22
2018-02-11,0.1167,0.1263,0.1094,0.1234,21871594.51,2552415.08
2018-02-12,0.1173,0.1296,0.1123,0.1287,22884591.54,2684362.59
2018-02-13,0.1147,0.1167,0.1106,0.1119,17511753.12,2008598.08
2018-02-14,0.1297,0.134,0.1262,0.1273,21469346.3,2784574.22
2018-02-15,0.1406,0.169,0.124,0.1375,32540825.28,4575240.03
2018-02-16,0.1409,0.1466,0.1362,0.1429,20946279.74,2951330.82
2018-02-17,0.1679,0.1996,0.152,0.1534,27765386.42,4661808.38
2018-02-18,0.1674,0.1819,0.1506,0.1576,27159997.28,4546583.54
2018-02-19,0.1703,0.1879,0.169,0.1795,18253028.71,3108490.79
2018-02-20,0.1457,0.1724,0.1432,0.1714,19290810.16,2810671.04
2018-02-21,0.1275,0.1419,0.1253,0.1344,21385376.77,2726635.54
2018-02-22,0.1304,0.1347,0.1192,0.1201,19007483.22,2478575.81
2018-02-23,0.1311,0.1381,0.1296,0.1339,17632477.65,2311617.82
2018-02-24,0.126,0.1321,0.1219,0.1262,17220651.37,2169802.07
