time,close,high,low,open,volumefrom,volumeto
2017-02-28,8.04,8.04,0.1607,0.1607,0.1,0.804
2017-03-01,8.78,8.78,8.78,8.78,0.0,0.0
2017-03-02,11.45,11.45,9.54,9.54,0.129,1.48
2017-03-03,2.14,11.69,2.14,11.69,0.1,0.214
2017-03-04,10.98,10.98,2.05,2.05,0.1,1.1
2017-03-05,11.34,11.34,11.34,11.34,0.0,0.0
2017-03-06,4.94,11.65,4.94,11.65,0.1,0.494
2017-03-07,4.73,4.73,4.73,4.73,0.0,0.0
2017-03-08,4.14,4.14,4.14,4.14,0.0,0.0
2017-03-09,4.43,4.43,4.43,4.43,0.0,0.0
2017-03-10,4.78,4.78,4.78,4.78,0.0,0.0
2017-03-11,10.73,10.73,5.36,5.36,1.0,10.73
2017-03-12,11.66,11.66,11.66,11.66,0.0,0.0
2017-03-13,6.01,14.23,6.01,14.23,0.1,0.601
2017-03-14,6.03,6.03,6.03,6.03,0.0,0.0
2017-03-15,7.43,7.43,7.43,7.43,0.0,0.0
2017-03-16,13.65,13.65,9.56,9.61,10.0,136.5
2017-03-17,9.39,13.34,9.39,13.34,0.004,0.03756
2017-03-18,7.18,7.18,7.18,7.18,0.0,0.0
2017-03-19,9.1,9.1,9.1,9.1,0.0,0.0
2017-03-20,8.97,8.97,8.97,8.97,0.0,0.0
2017-03-21,9.01,9.01,9.01,9.01,0.0,0.0
2017-03-22,12.5,12.5,9.25,8.79,2.23,27.88
2017-03-23,12.96,12.96,12.96,12.96,0.0,0.0
2017-03-24,15.96,15.96,15.96,15.96,0.0,0.0
2017-03-25,15.19,15.19,15.19,15.19,0.0,0.0
2017-03-26,11.25,15.19,11.25,15.19,0.1,1.13
2017-03-27,14.72,14.72,10.9,10.9,0.664,9.77
2017-03-28,15.08,15.08,15.08,15.08,0.0,0.0
2017-03-29,15.92,15.92,15.92,15.92,0.0,0.0
2017-03-30,19.92,19.92,8.83,15.57,4.96,98.8
2017-03-31,8.9,58.39,8.02,19.16,52.44,466.72
2017-04-01,8.91,9.78,8.46,9.02,1179.41,10508.54
2017-04-02,8.52,9.58,8.37,8.54,1590.38,13550.04
2017-04-03,7.82,8.24,7.22,7.74,2050.06,16031.47
2017-04-04,7.32,8.18,7.28,7.87,1515.55,11093.83
2017-04-05,7.42,7.45,6.88,7.4,2876.72,21345.26
2017-04-06,6.95,7.48,6.69,7.15,5604.82,38953.5
2017-04-07,7.47,8.01,6.64,6.8,4513.77,33717.86
2017-04-08,7.87,8.87,7.41,7.84,4726.93,37200.94
2017-04-09,8.13,8.21,7.56,7.75,4522.28,36766.14
2017-04-10,8.16,8.33,7.45,8.13,2870.51,23423.36
2017-04-11,7.59,8.22,7.51,8.16,4309.24,32707.13
2017-04-12,7.43,8.19,7.37,8.05,4667.1,34676.55
2017-04-13,7.65,8.05,7.08,8.01,1731.1,13242.92
2017-04-14,8.0,8.13,7.24,7.24,3022.58,24180.64
2017-04-15,8.67,9.33,7.61,8.26,3053.08,26470.2
2017-04-16,9.02,9.25,8.27,8.55,3922.35,35379.6
