time,close,high,low,open,volumefrom,volumeto
2017-08-03,2.24e-06,4.49e-06,2.24e-06,2.24e-06,2592040.0,5.81
2017-08-04,2.21e-06,2.21e-06,2.21e-06,2.21e-06,0.0,0.0
2017-08-05,2.53e-06,2.53e-06,2.53e-06,2.53e-06,0.0,0.0
2017-08-06,2.65e-06,2.65e-06,2.65e-06,2.65e-06,0.0,0.0
2017-08-07,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2017-08-08,2.97e-06,2.97e-06,2.97e-06,2.97e-06,0.0,0.0
2017-08-09,2.95e-06,2.95e-06,2.95e-06,2.95e-06,0.0,0.0
2017-08-10,2.98e-06,2.98e-06,2.98e-06,2.98e-06,0.0,0.0
2017-08-11,3.09e-06,3.09e-06,3.09e-06,3.09e-06,0.0,0.0
2017-08-12,3.08e-06,3.08e-06,3.08e-06,3.08e-06,0.0,0.0
2017-08-13,2.97e-06,2.97e-06,2.97e-06,2.97e-06,0.0,0.0
2017-08-14,2.99e-06,2.99e-06,2.99e-06,2.99e-06,0.0,0.0
2017-08-15,2.87e-06,2.87e-06,2.87e-06,2.87e-06,0.0,0.0
2017-08-16,3.01e-06,3.01e-06,3.01e-06,3.01e-06,0.0,0.0
2017-08-17,3e-06,3e-06,3e-06,3e-06,0.0,0.0
2017-08-18,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0
2017-08-19,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0
2017-08-20,2.98e-06,2.98e-06,2.98e-06,2.98e-06,0.0,0.0
2017-08-21,3.22e-06,3.22e-06,3.22e-06,3.22e-06,0.0,0.0
2017-08-22,3.13e-06,3.13e-06,3.13e-06,3.13e-06,0.0,0.0
2017-08-23,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0,0.0
2017-08-24,3.25e-06,3.25e-06,3.25e-06,3.25e-06,0.0,0.0
2017-08-25,3.3e-06,3.3e-06,3.3e-06,3.3e-06,0.0,0.0
2017-08-26,3.33e-06,3.33e-06,3.33e-06,3.33e-06,0.0,0.0
2017-08-27,3.48e-06,3.48e-06,3.48e-06,3.48e-06,0.0,0.0
2017-08-28,3.48e-06,3.48e-06,3.48e-06,3.48e-06,0.0,0.0
2017-08-29,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2017-08-30,3.84e-06,3.84e-06,3.84e-06,3.84e-06,0.0,0.0
2017-08-31,3.88e-06,3.88e-06,3.88e-06,3.88e-06,0.0,0.0
2017-09-01,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
