time,close,high,low,open,volumefrom,volumeto
2018-01-24,0.09768,0.1274,0.09556,0.1115,905419.75,88441.4
2018-01-25,0.2405,20927400.0,0.1047,0.136,10600184.85,2549344.46
2018-01-26,0.2924,5242900.0,0.0,0.2464,6093830.27,1781835.97
2018-01-27,0.4059,3.19,0.2884,0.2896,5019686.42,2037490.72
2018-01-28,0.4514,1280843.2,0.399,0.4372,3558247.76,1606193.04
2018-01-29,0.3627,0.427,0.31,0.4125,2722072.05,987295.53
2018-01-30,0.3819,5318750.0,0.04255,0.342,4659082.3,1779303.53
2018-01-31,0.3812,0.4223,0.3334,0.3778,2594054.62,988853.62
2018-02-01,0.3335,153928.5,0.2976,0.3386,1388850.02,463181.48
2018-02-02,0.289,6110.35,0.2518,0.3036,1359019.16,392756.54
2018-02-03,0.294,9038799.7,0.2816,0.3058,1775694.42,522054.16
2018-02-04,0.2474,0.3048,0.2196,0.2566,1926672.01,476658.66
2018-02-05,0.1465,0.2278,0.1289,0.2078,1636393.11,239731.59
2018-02-06,0.2236,2341582.78,0.1466,0.1655,1652924.7,369593.96
2018-02-07,0.1974,0.2324,0.02062,0.2127,559866.78,110517.7
2018-02-08,0.2027,0.2603,0.1887,0.2115,598454.41,121306.71
2018-02-09,0.2188,0.2188,0.2188,0.2188,0.0,0.0
2018-02-10,0.212,0.212,0.212,0.212,0.0,0.0
2018-02-11,0.2022,0.2022,0.2022,0.2022,0.0,0.0
2018-02-12,0.2156,0.2156,0.2156,0.2156,0.0,0.0
2018-02-13,0.2096,0.2096,0.2096,0.2096,0.0,0.0
2018-02-14,0.2293,0.2293,0.2293,0.2293,0.0,0.0
2018-02-15,0.2312,0.2312,0.2312,0.2312,0.0,0.0
2018-02-16,0.2338,0.2338,0.2338,0.2338,0.0,0.0
2018-02-17,0.2429,0.2429,0.2429,0.2429,0.0,0.0
2018-02-18,0.2277,0.2277,0.2277,0.2277,0.0,0.0
2018-02-19,0.2342,0.2342,0.2342,0.2342,0.0,0.0
2018-02-20,0.2207,0.2207,0.2207,0.2207,0.0,0.0
2018-02-21,0.2094,0.2094,0.2094,0.2094,0.0,0.0
