time,close,high,low,open,volumefrom,volumeto
2017-09-28,0.9579,0.9583,0.9579,0.9583,28.85,27.64
2017-09-29,1.92,2.92,0.9526,0.9526,42224.91,81071.83
2017-09-30,2.18,2.96,1.7,2.01,74620.18,162671.99
2017-10-01,2.16,2.25,1.94,2.2,172503.31,372607.15
2017-10-02,2.12,2.24,1.85,2.16,95189.43,201801.59
2017-10-03,2.11,2.16,1.68,2.08,26397.17,55698.03
2017-10-04,1.9,2.06,1.73,2.06,13904.86,26419.23
2017-10-05,2.1,2.12,1.95,1.95,9330.46,19593.97
2017-10-06,1.97,2.12,1.93,2.12,17638.84,34748.51
2017-10-07,1.98,2.04,1.96,2.0,11372.67,22517.89
2017-10-08,2.02,2.1,2.02,2.06,9042.29,18265.43
2017-10-09,1.91,2.15,1.91,2.09,16505.08,31524.7
2017-10-10,1.95,2.05,1.86,1.91,15078.28,29402.65
2017-10-11,1.88,1.98,1.58,1.98,16927.97,31824.58
2017-10-12,1.86,2.12,1.81,2.12,13352.51,24835.67
2017-10-13,1.69,1.93,1.63,1.93,6837.53,11555.43
2017-10-14,1.55,1.81,1.46,1.75,9202.37,14263.67
2017-10-15,1.54,1.59,1.2,1.51,10342.98,15928.19
2017-10-16,1.76,1.79,1.5,1.56,10010.11,17617.79
2017-10-17,1.4,1.68,1.36,1.62,7181.06,10053.48
2017-10-18,1.34,1.53,1.23,1.39,11868.78,15904.17
2017-10-19,1.93,2.08,1.2,1.37,46206.43,89178.41
2017-10-20,1.96,2.1,1.89,2.03,33102.58,64881.06
2017-10-21,1.8,2.0,1.62,1.96,20434.43,36781.97
2017-10-22,1.5,1.81,1.5,1.79,19658.83,29488.25
2017-10-23,1.44,1.56,0.7084,1.48,27854.21,40110.06
2017-10-24,1.32,1.46,1.32,1.35,19401.87,25610.47
2017-10-25,1.44,1.55,1.38,1.38,39474.98,56843.97
2017-10-26,1.47,1.53,1.3,1.48,23853.41,35064.51
2017-10-27,1.41,1.44,1.31,1.44,18070.21,25479.0
2017-10-28,1.37,1.4,1.35,1.4,9625.51,13186.95
2017-10-29,1.38,1.48,1.35,1.47,16528.85,22809.81
2017-10-30,1.3,1.44,0.9493,1.38,11288.66,14675.26
2017-10-31,1.3,1.38,1.3,1.37,15235.72,19806.44
2017-11-01,1.21,1.39,0.977,1.36,21444.24,25947.53
2017-11-02,1.08,1.29,0.843,1.26,33711.17,36408.06
2017-11-03,1.02,1.18,1.0,1.1,22207.52,22651.67
2017-11-04,1.04,1.11,1.04,1.05,14887.01,15482.49
2017-11-05,0.968,1.06,0.9614,1.04,15396.89,14904.19
2017-11-06,0.9381,0.9395,0.8421,0.9117,15302.57,14355.34
2017-11-07,0.939,0.9816,0.9383,0.9575,20002.5,18782.35
2017-11-08,0.9514,1.01,0.9492,0.9841,18865.37,17948.51
2017-11-09,0.7935,0.9126,0.713,0.9112,21864.04,17349.12
2017-11-10,0.8023,0.8023,0.7308,0.7308,24513.62,19667.28
2017-11-11,0.7621,0.7925,0.7253,0.7747,9143.71,6968.42
2017-11-12,0.7318,0.7348,0.7054,0.7066,17839.39,13054.87
2017-11-13,0.8088,0.812,0.7827,0.812,12377.59,10010.99
2017-11-14,0.8042,0.818,0.7916,0.818,16730.4,13454.59
2017-11-15,0.8623,0.8886,0.8303,0.8878,13912.57,11996.81
