time,close,high,low,open,volumefrom,volumeto
2016-04-12,0.02123,0.02442,0.01104,0.02039,21296.32,452.12
2016-04-13,0.03621,0.03917,0.01525,0.02117,335884.27,12162.37
2016-04-14,0.04234,0.05271,0.02757,0.03625,335169.88,14191.09
2016-04-15,0.04497,0.05573,0.03334,0.04281,188795.02,8490.11
2016-04-16,0.04924,0.05376,0.04043,0.04511,127942.17,6299.87
2016-04-17,0.04041,0.04881,0.02557,0.04881,160129.91,6470.85
2016-04-18,0.03934,0.04176,0.02224,0.04055,89840.84,3534.34
2016-04-19,0.02998,0.04001,0.004349,0.04001,73701.32,2209.57
2016-04-20,0.0375,0.04088,0.02619,0.03041,116779.94,4379.25
2016-04-21,0.04067,0.04084,0.02787,0.03819,55185.91,2244.41
2016-04-22,0.03117,0.0403,0.02763,0.0403,61375.81,1913.08
2016-04-23,0.0243,0.03376,0.02028,0.03151,42633.5,1035.99
2016-04-24,0.02604,0.03431,0.02604,0.02745,26589.74,692.4
2016-04-25,0.02267,0.03278,0.01864,0.02627,46050.75,1043.97
2016-04-26,0.01865,0.0261,0.01864,0.0261,52912.53,986.82
2016-04-27,0.02235,0.0306,0.01346,0.01789,89965.73,2010.73
2016-04-28,0.01548,0.02242,0.0139,0.02242,36020.8,557.6
2016-04-29,0.01495,0.01626,0.008872,0.0157,54444.51,813.95
2016-04-30,0.01141,0.01476,0.007185,0.01473,70403.01,803.3
2016-05-01,0.01514,0.01515,0.006883,0.0115,110225.58,1668.82
2016-05-02,0.008022,0.01487,0.007556,0.01487,14390.04,115.44
2016-05-03,0.01801,0.01801,0.008132,0.008132,46046.78,829.3
2016-05-04,0.02051,0.02987,0.01115,0.01783,154708.32,3173.07
2016-05-05,0.02499,0.02629,0.01479,0.02061,42730.38,1067.83
2016-05-06,0.02023,0.02563,0.01838,0.02563,16481.15,333.41
2016-05-07,0.02108,0.02198,0.01857,0.01866,7392.69,155.84
2016-05-08,0.01877,0.02106,0.01664,0.02106,13211.64,247.98
2016-05-09,0.01227,0.01888,0.01198,0.0175,7920.1,97.18
2016-05-10,0.01842,0.01842,0.01217,0.01729,28685.69,528.39
2016-05-11,0.0172,0.02217,0.01471,0.01855,21754.31,374.17
2016-05-12,0.01818,0.0194,0.01596,0.01597,3233.4,58.78
2016-05-13,0.01366,0.01988,0.01366,0.01822,8065.29,110.17
2016-05-14,0.01811,0.01811,0.01461,0.01598,3807.51,68.95
2016-05-15,0.01814,0.01818,0.01374,0.01818,2913.0,52.84
2016-05-16,0.01456,0.018,0.01366,0.018,126.91,1.85
2016-05-17,0.01802,0.01802,0.01405,0.01405,2778.66,50.07
2016-05-18,0.01806,0.01806,0.01806,0.01806,0.0,0.0
2016-05-19,0.007968,0.01462,0.007968,0.01462,14172.01,112.92
2016-05-20,0.01636,0.01636,0.01547,0.01547,56.0,0.9162
2016-05-21,0.01552,0.0173,0.01552,0.01641,372.38,5.78
2016-05-22,0.01747,0.01747,0.01712,0.01714,562.86,9.83
2016-05-23,0.01763,0.01763,0.01763,0.01763,0.0,0.0
2016-05-24,0.01585,0.01585,0.0116,0.0145,11997.91,190.17
2016-05-25,0.01417,0.01484,0.01396,0.01484,1482.57,21.01
2016-05-26,0.01181,0.01635,0.01181,0.01635,3576.33,42.24
2016-05-27,0.0237,0.0237,0.0109,0.01328,42274.64,1001.91
2016-05-28,0.02155,0.03066,0.02155,0.02674,10996.46,236.97
2016-05-29,0.0191,0.03076,0.01806,0.02121,21523.69,411.1
2016-05-30,0.01925,0.02924,0.01925,0.02924,8034.96,154.67
2016-05-31,0.01645,0.02692,0.01612,0.01915,38862.37,639.29
2016-06-01,0.01935,0.02254,0.01671,0.01671,26288.07,508.67
2016-06-02,0.02283,0.02283,0.01934,0.01934,6467.69,147.66
2016-06-03,0.01953,0.02323,0.01759,0.0183,8818.87,172.23
2016-06-04,0.01945,0.02631,0.01945,0.02192,8009.38,155.78
2016-06-05,0.0224,0.02357,0.01956,0.0207,3430.62,76.85
2016-06-06,0.02421,0.02421,0.01989,0.02247,14224.97,344.39
2016-06-07,0.03837,0.03837,0.02388,0.02388,54799.44,2102.65
2016-06-08,0.03947,0.04643,0.018,0.0387,62174.02,2454.01
2016-06-09,0.03894,0.04244,0.02471,0.03908,19317.61,752.23
2016-06-10,0.0364,0.03916,0.03063,0.03916,6821.36,248.3
2016-06-11,0.0309,0.03668,0.0309,0.03668,13330.69,411.92
2016-06-12,0.02732,0.04007,0.02732,0.03481,12019.83,328.38
2016-06-13,0.03234,0.0385,0.0161,0.0287,32466.29,1049.96
2016-06-14,0.03082,0.0315,0.02124,0.0315,4029.9,124.2
2016-06-15,0.03143,0.0442,0.0228,0.03108,52415.23,1647.41
2016-06-16,0.0353,0.03578,0.02437,0.03464,29891.92,1055.18
2016-06-17,0.02976,0.03449,0.02481,0.03449,16623.93,494.73
2016-06-18,0.03224,0.0324,0.02789,0.0324,7149.01,230.48
2016-06-19,0.02892,0.03424,0.02892,0.03255,10591.61,306.31
2016-06-20,0.02936,0.02936,0.02349,0.02789,9680.54,284.22
2016-06-21,0.02589,0.02969,0.02298,0.0267,9105.36,235.74
2016-06-22,0.0251,0.02657,0.02185,0.02185,51167.62,1284.31
2016-06-23,0.02244,0.02639,0.02244,0.02639,7612.35,170.82
2016-06-24,0.02411,0.02692,0.02375,0.02375,8900.17,214.58
2016-06-25,0.0305,0.03649,0.02458,0.02501,63625.79,1940.59
2016-06-26,0.02875,0.0344,0.02875,0.02875,55023.3,1581.92
2016-06-27,0.03738,0.03933,0.03062,0.0339,92444.78,3455.59
2016-06-28,0.05048,0.05667,0.03354,0.0374,140989.55,7117.15
2016-06-29,0.05355,0.08351,0.04931,0.04982,133820.02,7166.06
2016-06-30,0.1662,0.1662,0.05211,0.05637,138821.25,23072.09
2016-07-01,0.1295,0.1997,0.09174,0.1673,239238.18,30981.34
2016-07-02,0.07609,0.1396,0.03629,0.134,252904.28,19243.49
2016-07-03,0.04632,0.07212,0.02647,0.07212,300211.42,13905.79
2016-07-04,0.03646,0.04733,0.02971,0.04727,112726.15,4110.0
2016-07-05,0.04384,0.05097,0.03353,0.03584,66628.06,2920.97
2016-07-06,0.05967,0.06269,0.0434,0.04443,146036.91,8714.02
2016-07-07,0.05273,0.06307,0.03812,0.05635,104633.98,5517.35
2016-07-08,0.05435,0.05567,0.0464,0.05501,18359.89,997.86
2016-07-09,0.04563,0.05364,0.03912,0.05345,60409.6,2756.49
2016-07-10,0.03817,0.05176,0.03817,0.0453,68101.59,2599.44
2016-07-11,0.05108,0.05108,0.03815,0.03815,51454.91,2628.32
2016-07-12,0.04766,0.0637,0.04766,0.05296,26078.55,1242.9
2016-07-13,0.05355,0.05949,0.04699,0.04699,45364.68,2429.28
2016-07-14,0.05324,0.05577,0.04739,0.05324,9382.13,499.5
2016-07-15,0.04821,0.05512,0.04818,0.04981,4570.36,220.34
2016-07-16,0.04756,0.05351,0.037,0.04796,67783.87,3223.8
2016-07-17,0.04734,0.05404,0.04464,0.04869,17138.11,811.32
2016-07-18,0.04892,0.05094,0.03425,0.0476,61328.03,3000.17
2016-07-19,0.04696,0.04898,0.03366,0.04898,12177.07,571.84
2016-07-20,0.04631,0.05049,0.04499,0.04651,9431.66,436.78
2016-07-21,0.04858,0.05011,0.04587,0.05011,5472.38,265.85
2016-07-22,0.04786,0.04946,0.0476,0.04909,13956.31,667.95
2016-07-23,0.04973,0.04973,0.038,0.04815,14681.26,730.1
2016-07-24,0.05471,0.05471,0.05004,0.05004,2436.22,133.29
2016-07-25,0.05755,0.05755,0.04927,0.05428,50001.64,2877.59
2016-07-26,0.07192,0.08703,0.05575,0.05759,132592.33,9536.04
2016-07-27,0.07887,0.0792,0.05989,0.07193,31035.39,2447.76
2016-07-28,0.08085,0.08177,0.06019,0.07882,54704.83,4422.89
2016-07-29,0.07701,0.08835,0.06653,0.08101,40013.03,3081.4
2016-07-30,0.08649,0.08649,0.07634,0.07693,20404.02,1764.74
2016-07-31,0.08078,0.08084,0.06598,0.074,25650.94,2072.08
2016-08-01,0.07169,0.08164,0.0607,0.07885,50813.71,3642.83
2016-08-02,0.05365,0.06464,0.05355,0.06064,12425.45,666.63
2016-08-03,0.06225,0.06231,0.05325,0.05948,82563.77,5139.59
2016-08-04,0.06799,0.06799,0.05474,0.06333,31683.44,2154.16
2016-08-05,0.07068,0.07068,0.06321,0.06781,8418.96,595.05
2016-08-06,0.06457,0.07331,0.06451,0.07213,44740.94,2888.92
2016-08-07,0.05938,0.07581,0.05914,0.06505,37362.57,2218.59
2016-08-08,0.04714,0.07071,0.04714,0.05928,91485.04,4312.6
2016-08-09,0.04916,0.06426,0.04272,0.04682,21421.47,1053.08
2016-08-10,0.04645,0.05791,0.04612,0.04964,32227.25,1496.96
2016-08-11,0.04689,0.05825,0.04607,0.0462,30380.58,1424.55
2016-08-12,0.05015,0.05487,0.04647,0.05487,3477.24,174.38
2016-08-13,0.05787,0.05787,0.04684,0.04993,14588.92,844.26
2016-08-14,0.05118,0.05504,0.04942,0.05008,7670.26,392.56
