time,close,high,low,open,volumefrom,volumeto
2018-04-29,0.04032,0.04032,0.04026,0.04026,51204.74,2064.58
2018-04-30,0.0392,0.0392,0.0392,0.0392,0.0,0.0
2018-05-01,0.03924,0.03924,0.03924,0.03924,0.0,0.0
2018-05-02,0.04017,0.04017,0.04017,0.04017,0.0,0.0
2018-05-03,0.04549,0.04549,0.04549,0.04549,0.0,0.0
2018-05-04,0.03839,0.04588,0.03839,0.04588,85000.0,3263.15
2018-05-05,0.03997,0.03997,0.03997,0.03997,0.0,0.0
2018-05-06,0.03869,0.03869,0.03869,0.03869,0.0,0.0
2018-05-07,0.03683,0.03683,0.03683,0.03683,0.0,0.0
2018-05-08,0.0366,0.0366,0.0366,0.0366,0.0,0.0
2018-05-09,0.03677,0.03677,0.03677,0.03677,0.0,0.0
2018-05-10,0.03901,0.03901,0.03542,0.03542,82664.78,3224.75
2018-05-11,0.03654,0.03654,0.03654,0.03654,0.0,0.0
2018-05-12,0.03686,0.03686,0.03686,0.03686,0.0,0.0
2018-05-13,0.03932,0.03932,0.03932,0.03932,0.0,0.0
2018-05-14,0.03921,0.03921,0.03921,0.03921,0.0,0.0
2018-05-15,0.03804,0.03804,0.03804,0.03804,0.0,0.0
2018-05-16,0.03276,0.03382,0.003753,0.003753,4159.0,136.25
2018-05-17,0.03099,0.03099,0.03099,0.03099,0.0,0.0
2018-05-18,0.03208,0.03215,0.03208,0.03215,13801.65,442.76
2018-05-19,0.0322,0.0322,0.0322,0.0322,0.0,0.0
2018-05-20,0.03308,0.03308,0.03308,0.03308,0.0,0.0
2018-05-21,0.02974,0.03223,0.02974,0.03223,2220.0,66.02
2018-05-22,0.02735,0.02735,0.02735,0.02735,0.0,0.0
2018-05-23,0.02463,0.02463,0.02463,0.02463,0.0,0.0
2018-05-24,0.02572,0.02572,0.02572,0.02572,0.0,0.0
2018-05-25,0.02496,0.02496,0.02496,0.02496,0.0,0.0
2018-05-26,0.025,0.025,0.025,0.025,0.0,0.0
2018-05-27,0.02431,0.02431,0.02431,0.02431,0.0,0.0
2018-05-28,0.02185,0.02185,0.02185,0.02185,0.0,0.0
2018-05-29,0.02169,0.02418,0.003609,0.02418,16100.0,349.21
2018-05-30,0.02139,0.02139,0.02133,0.02133,9799.0,209.6
2018-05-31,0.02216,0.02216,0.02216,0.02216,5000.0,110.8
2018-06-01,0.02223,0.02223,0.02223,0.02223,0.0,0.0
2018-06-02,0.02267,0.02267,0.02267,0.02267,0.0,0.0
2018-06-03,0.02376,0.02376,0.02376,0.02376,0.0,0.0
2018-06-04,0.0227,0.0227,0.0227,0.0227,0.0,0.0
2018-06-05,0.02335,0.02335,0.02335,0.02335,0.0,0.0
2018-06-06,0.02328,0.02328,0.02328,0.02328,0.0,0.0
2018-06-07,0.0232,0.0232,0.0232,0.0232,0.0,0.0
2018-06-08,0.02302,0.02302,0.02302,0.02302,0.0,0.0
2018-06-09,0.02278,0.02278,0.02278,0.02278,0.0,0.0
2018-06-10,0.02014,0.02014,0.02014,0.02014,0.0,0.0
2018-06-11,0.02039,0.02039,0.02039,0.02039,0.0,0.0
2018-06-12,0.01899,0.01899,0.01899,0.01899,0.0,0.0
2018-06-13,0.01829,0.01829,0.01829,0.01829,0.0,0.0
2018-06-14,0.01996,0.01996,0.01996,0.01996,0.0,0.0
2018-06-15,0.01872,0.01872,0.01872,0.01872,0.0,0.0
2018-06-16,0.01909,0.01909,0.01909,0.01909,0.0,0.0
2018-06-17,0.01907,0.01907,0.01907,0.01907,0.0,0.0
2018-06-18,0.01987,0.01987,0.01987,0.01987,0.0,0.0
2018-06-19,0.02067,0.02067,0.02067,0.02067,0.0,0.0
2018-06-20,0.02058,0.02058,0.02058,0.02058,0.0,0.0
2018-06-21,0.02018,0.02018,0.02018,0.02018,0.0,0.0
2018-06-22,0.01774,0.01774,0.01774,0.01774,0.0,0.0
2018-06-23,0.0182,0.0182,0.0182,0.0182,0.0,0.0
2018-06-24,0.01748,0.01748,0.01748,0.01748,0.0,0.0
2018-06-25,0.01761,0.01761,0.01761,0.01761,0.0,0.0
2018-06-26,0.01649,0.01649,0.01649,0.01649,0.0,0.0
2018-06-27,0.01696,0.01696,0.01696,0.01696,0.0,0.0
2018-06-28,0.01615,0.01615,0.01615,0.01615,0.0,0.0
2018-06-29,0.01671,0.01671,0.01671,0.01671,0.0,0.0
2018-06-30,0.01741,0.01741,0.01741,0.01741,0.0,0.0
2018-07-01,0.01735,0.01735,0.01735,0.01735,0.0,0.0
2018-07-02,0.0183,0.0183,0.0183,0.0183,0.0,0.0
2018-07-03,0.01773,0.01773,0.01773,0.01773,0.0,0.0
2018-07-04,0.01794,0.01794,0.01794,0.01794,0.0,0.0
2018-07-05,0.01795,0.01795,0.01795,0.01795,0.0,0.0
2018-07-06,0.01804,0.01804,0.01804,0.01804,0.0,0.0
2018-07-07,0.01865,0.01865,0.01865,0.01865,0.0,0.0
2018-07-08,0.01866,0.01866,0.01866,0.01866,0.0,0.0
2018-07-09,0.0181,0.0181,0.0181,0.0181,0.0,0.0
2018-07-10,0.01034,0.01661,0.01034,0.01661,6300.0,65.14
2018-07-11,0.005347,0.01065,0.005347,0.01065,15300.0,81.81
2018-07-12,0.005171,0.005171,0.005171,0.005171,0.0,0.0
2018-07-13,0.005622,0.005622,0.00519,0.00519,17476.25,98.25
2018-07-14,0.005639,0.005639,0.005639,0.005639,0.0,0.0
2018-07-15,0.005845,0.005845,0.005845,0.005845,0.0,0.0
2018-07-16,0.006224,0.006224,0.006224,0.006224,0.0,0.0
