time,close,high,low,open,volumefrom,volumeto
2017-08-20,0.02037,0.02037,0.02037,0.02037,39.96,0.814
2017-08-21,0.02007,0.02007,0.02007,0.02007,0.0,0.0
2017-08-22,0.02049,0.02049,0.02049,0.02049,0.0,0.0
2017-08-23,0.02075,0.02075,0.02075,0.02075,0.0,0.0
2017-08-24,0.02163,0.02163,0.02163,0.02163,0.0,0.0
2017-08-25,0.02187,0.02187,0.02187,0.02187,204.0,4.46
2017-08-26,0.01745,0.02181,0.01745,0.02181,119.98,2.09
2017-08-27,0.02177,0.02177,0.01743,0.01743,100.98,2.2
2017-08-28,0.022,0.022,0.022,0.022,0.0,0.0
2017-08-29,0.02303,0.02303,0.02303,0.02303,0.0,0.0
2017-08-30,0.02296,0.02296,0.02296,0.02296,0.0,0.0
2017-08-31,0.02372,0.02372,0.02372,0.02372,0.0,0.0
2017-09-01,0.02466,0.02466,0.02466,0.02466,0.0,0.0
2017-09-02,0.02291,0.02291,0.02291,0.02291,161.46,3.7
2017-09-03,0.02311,0.02311,0.02311,0.02311,0.0,0.0
2017-09-04,0.02138,0.02138,0.02138,0.02138,0.0,0.0
2017-09-05,0.02209,0.02209,0.02209,0.02209,0.0,0.0
2017-09-06,0.02314,0.02314,0.02314,0.02314,0.0,0.0
2017-09-07,0.02322,0.02322,0.02322,0.02322,0.0,0.0
2017-09-08,0.02168,0.02168,0.02168,0.02168,0.0,0.0
2017-09-09,0.02172,0.02172,0.02172,0.02172,0.0,0.0
2017-09-10,0.02127,0.02127,0.02127,0.02127,0.0,0.0
2017-09-11,0.02113,0.02113,0.02113,0.02113,0.0,0.0
2017-09-12,0.02084,0.02084,0.02084,0.02084,0.0,0.0
2017-09-13,0.01939,0.01939,0.01939,0.01939,0.0,0.0
2017-09-14,0.01625,0.01625,0.01625,0.01625,0.0,0.0
2017-09-15,0.01861,0.01861,0.01861,0.01861,0.0,0.0
2017-09-16,0.01853,0.01853,0.01853,0.01853,0.0,0.0
2017-09-17,0.01848,0.01848,0.01848,0.01848,0.0,0.0
2017-09-18,0.02054,0.02054,0.02054,0.02054,0.0,0.0
2017-09-19,0.01958,0.01958,0.01958,0.01958,0.0,0.0
2017-09-20,0.01945,0.01945,0.01945,0.01945,0.0,0.0
2017-09-21,0.01812,0.01812,0.01812,0.01812,0.0,0.0
2017-09-22,0.01804,0.01804,0.01804,0.01804,0.0,0.0
2017-09-23,0.01898,0.01898,0.01898,0.01898,0.0,0.0
2017-09-24,0.01837,0.01837,0.01837,0.01837,0.0,0.0
2017-09-25,0.0197,0.0197,0.0197,0.0197,0.0,0.0
2017-09-26,0.0195,0.0195,0.0195,0.0195,0.0,0.0
2017-09-27,0.0211,0.0211,0.0211,0.0211,0.0,0.0
2017-09-28,0.06713,0.06713,0.06713,0.06713,12.5,0.8391
2017-09-29,0.06676,0.06676,0.06676,0.06676,0.0,0.0
