time,close,high,low,open,volumefrom,volumeto
2019-01-30,1.01,1.01,1.0,1.0,176.12,177.21
2019-01-31,1.01,1.01,1.01,1.01,461.66,465.89
2019-02-01,1.01,1.01,1.01,1.01,835.05,843.44
2019-02-02,1.01,1.01,1.0,1.01,658.34,664.88
2019-02-03,1.02,1.02,1.01,1.01,1241.45,1259.33
2019-02-04,1.02,1.02,1.01,1.02,85.02,86.17
2019-02-05,1.01,1.02,1.01,1.02,503.21,508.56
2019-02-06,1.02,1.02,1.01,1.01,669.13,679.47
2019-02-07,1.01,1.02,1.01,1.02,50.62,51.4
2019-02-08,1.01,1.02,1.01,1.01,4605.94,4653.86
2019-02-09,1.01,1.01,1.01,1.01,1427.39,1443.08
2019-02-10,1.01,1.02,1.01,1.01,1601.45,1618.14
2019-02-11,1.02,1.03,1.01,1.01,59209.65,60569.53
2019-02-12,1.02,1.02,1.01,1.02,245.41,249.03
2019-02-13,1.01,1.02,1.01,1.02,924.14,935.5
2019-02-14,1.01,1.01,1.01,1.01,399.92,404.96
2019-02-15,1.01,1.02,1.01,1.01,1504.85,1521.55
2019-02-16,1.01,1.01,1.01,1.01,208049.43,209142.73
2019-02-17,1.01,1.02,1.01,1.01,15152.98,15291.18
2019-02-18,1.01,1.02,1.0,1.01,15918.15,16043.86
2019-02-19,1.01,1.01,1.0,1.01,11913.18,11975.55
2019-02-20,1.01,1.02,1.0,1.01,18795.66,19032.94
2019-02-21,1.01,1.02,1.01,1.01,10969.36,11078.15
2019-02-22,1.01,1.02,1.0,1.01,2860.14,2882.26
2019-02-23,1.0,1.01,1.0,1.01,4303.16,4333.23
2019-02-24,1.01,1.01,1.0,1.0,19065.6,19120.91
2019-02-25,1.0,1.01,1.0,1.01,4947.4,4977.31
2019-02-26,1.01,1.01,1.0,1.0,1109.59,1115.84
2019-02-27,1.01,1.01,1.0,1.01,5734.01,5763.0
2019-02-28,1.0,1.01,1.0,1.01,235.1,236.11
2019-03-01,1.0,1.0,1.0,1.0,0.0,0.0
2019-03-02,1.01,1.01,1.0,1.0,70.14,70.51
2019-03-03,1.01,1.01,1.0,1.01,1660.9,1669.24
2019-03-04,1.01,1.01,1.0,1.01,4063.83,4076.34
2019-03-05,1.0,1.01,1.0,1.01,18737.1,18736.11
2019-03-06,1.0,1.01,1.0,1.0,6929.65,6948.26
2019-03-07,1.0,1.01,1.0,1.0,18336.18,18384.63
2019-03-08,1.01,1.01,1.0,1.0,7925.07,7982.05
2019-03-09,1.01,1.01,1.0,1.01,7371.41,7423.71
2019-03-10,1.01,1.01,1.01,1.01,1.36,1.37
2019-03-11,1.01,1.02,1.01,1.01,14628.55,14834.68
2019-03-12,1.01,1.01,1.01,1.01,3108.87,3135.86
2019-03-13,1.01,1.01,1.0,1.01,20193.16,20239.8
2019-03-14,1.01,1.01,1.0,1.01,6394.71,6447.57
2019-03-15,1.01,1.01,1.01,1.01,952.51,958.5
2019-03-16,1.0,1.01,1.0,1.01,340.14,342.36
2019-03-17,1.01,1.01,1.0,1.0,2558.1,2583.53
2019-03-18,1.0,1.01,1.0,1.01,1348.76,1356.74
2019-03-19,1.01,1.01,1.0,1.0,406.32,408.52
