time,close,high,low,open,volumefrom,volumeto
2017-12-26,146.57,228.15,111.87,118.8,832.47,122015.13
2017-12-27,123.33,200.11,120.4,143.41,414.02,51061.09
2017-12-28,122.56,158.39,98.63,136.64,170.8,20933.25
2017-12-29,138.38,158.32,122.37,122.51,120.44,16666.49
2017-12-30,121.44,169.18,120.49,120.49,89.08,10817.88
2017-12-31,137.53,178.67,134.21,134.22,156.57,21533.07
2018-01-01,132.24,141.84,129.27,133.51,32.41,4285.9
2018-01-02,142.82,155.51,141.88,145.12,73.27,10464.42
2018-01-03,136.41,156.11,121.25,146.72,49.95,6813.68
2018-01-04,134.5,156.35,130.85,136.62,149.07,20049.92
2018-01-05,154.29,167.17,150.22,150.22,330.6,51008.27
2018-01-06,158.0,168.19,156.27,156.27,122.79,19400.82
2018-01-07,149.3,158.86,149.3,149.32,126.66,18910.34
2018-01-08,142.27,163.69,128.81,137.78,172.98,24609.86
2018-01-09,139.62,175.21,137.45,137.45,82.98,11585.67
2018-01-10,144.03,233.94,143.97,143.97,35.48,5110.18
2018-01-11,144.39,5190.14,22.34,128.48,120.53,17403.33
2018-01-12,128.96,151.84,128.96,150.18,9.1,1173.54
2018-01-13,123.93,134.46,123.92,132.7,35.68,4421.82
2018-01-14,122.88,127.04,118.67,118.67,19.3,2371.58
2018-01-15,118.8,126.78,118.8,122.82,43.23,5135.72
2018-01-16,79.54,104.93,79.54,98.33,88.6,7047.24
2018-01-17,78.86,89.3,78.7,78.7,9.34,736.55
2018-01-18,86.83,89.39,78.23,85.68,18.95,1645.43
2018-01-19,82.03,89.52,65.1,81.61,36.67,3008.04
2018-01-20,83.1,91.02,74.4,91.02,3.23,268.41
2018-01-21,68.14,76.11,68.14,75.07,47.66,3247.55
2018-01-22,63.81,63.81,63.81,63.81,0.0,0.0
2018-01-23,61.35,63.59,61.35,61.35,1.21,74.23
2018-01-24,64.57,74.06,64.57,64.57,7.04,454.57
2018-01-25,62.92,69.23,62.92,63.14,11.02,693.38
2018-01-26,82.17,82.17,56.63,62.52,46.1,3788.04
2018-01-27,63.02,84.8,59.59,59.59,10.01,630.83
2018-01-28,68.25,82.37,63.56,67.9,14.16,966.42
2018-01-29,65.83,71.34,65.16,65.16,13.89,914.38
2018-01-30,52.56,64.17,52.56,59.23,161.99,8514.19
2018-01-31,54.82,64.39,52.25,53.18,967.25,53024.65
2018-02-01,46.69,54.69,46.69,48.85,624.47,29156.5
2018-02-02,45.51,56.32,45.42,45.44,1735.76,78994.44
2018-02-03,47.52,56.83,47.26,47.46,450.37,21401.58
2018-02-04,58.34,59.98,42.05,42.22,1508.66,88015.22
2018-02-05,39.54,49.25,36.41,49.25,984.68,38934.25
2018-02-06,44.67,53.91,43.9,43.9,1232.86,55071.86
2018-02-07,40.24,44.04,40.24,44.04,15252.94,613778.31
2018-02-08,73.23,97.81,43.37,43.78,5614.97,411184.25
2018-02-09,99.23,104.19,71.64,80.43,3667.46,363922.06
2018-02-10,76.48,98.03,76.47,97.78,4022.85,307667.57
2018-02-11,75.78,88.53,64.85,71.81,4181.5,316874.07
2018-02-12,73.54,97.04,67.13,82.67,6384.8,469538.19
2018-02-13,80.83,87.84,58.44,70.13,5740.44,463999.77
2018-02-14,95.71,99.79,77.03,89.34,3387.37,324205.18
2018-02-15,82.5,102.75,9.85,101.44,3961.4,326815.5
2018-02-16,89.94,93.17,79.27,83.24,4269.98,384042.0
2018-02-17,73.72,99.23,33.69,97.73,7293.43,537671.66
2018-02-18,78.97,87.41,59.72,68.92,3589.32,283448.6
2018-02-19,79.34,87.49,76.41,84.76,3239.67,257035.42
2018-02-20,78.65,81.55,65.32,79.86,2646.91,208179.47
2018-02-21,75.05,75.47,61.25,73.24,3444.26,258491.71
2018-02-22,81.07,91.24,66.09,70.6,3011.69,244157.71
2018-02-23,80.97,83.86,64.33,83.76,3906.13,316279.35
2018-02-24,77.05,78.33,60.74,77.22,3845.17,296270.35
2018-02-25,77.78,81.65,61.19,76.29,2911.99,226494.58
2018-02-26,77.99,83.76,69.39,83.48,2970.07,231635.76
2018-02-27,63.01,80.53,63.01,80.01,3314.95,208875.0
2018-02-28,57.85,71.7,23.84,61.2,2513.53,145407.71
2018-03-01,59.3,61.78,54.82,61.18,2983.19,176903.17
2018-03-02,55.5,60.15,51.06,59.92,3890.22,215907.21
2018-03-03,51.72,57.75,43.88,57.62,4298.45,222315.83
2018-03-04,49.8,53.27,43.22,50.06,2953.34,147076.33
2018-03-05,44.57,52.5,41.52,49.64,3682.09,164110.75
2018-03-06,42.18,42.95,31.81,41.83,5788.37,244153.45
2018-03-07,26.63,39.1,3.15,39.1,5368.0,142949.84
2018-03-08,27.42,31.83,22.42,25.03,3834.39,105138.97
2018-03-09,23.68,32.53,18.6,27.23,3167.78,75013.03
2018-03-10,32.72,32.81,14.87,22.51,2664.41,87179.5
2018-03-11,17.3,35.96,17.05,35.5,5376.8,93018.64
2018-03-12,23.56,32.26,15.5,17.16,3601.58,84853.22
2018-03-13,27.0,29.83,9.48,23.61,3105.64,83852.28
2018-03-14,22.35,24.72,18.79,21.35,4355.2,97338.72
2018-03-15,17.1,22.82,15.43,22.49,3210.05,54891.86
2018-03-16,19.62,22.16,9.95,17.38,2701.3,52999.51
2018-03-17,19.6,20.57,16.22,18.68,3461.67,67848.73
2018-03-18,14.19,21.41,10.2,19.12,4151.9,58915.46
2018-03-19,13.8,16.04,12.96,15.06,2909.58,40152.2
2018-03-20,13.11,16.49,12.52,15.97,5196.09,68120.74
2018-03-21,14.88,16.55,13.1,13.1,4021.43,59838.88
2018-03-22,17.0,18.48,13.0,14.48,5074.87,86272.79
2018-03-23,16.86,19.19,15.14,17.24,4541.56,76570.7
2018-03-24,18.77,20.55,14.95,16.09,5867.9,110140.48
2018-03-25,18.46,20.32,15.65,18.58,3533.54,65229.15
2018-03-26,17.99,18.33,14.33,17.85,4451.65,80085.18
2018-03-27,15.54,17.47,15.03,16.54,2717.17,42224.82
2018-03-28,14.18,17.19,5.98,16.64,2839.87,40269.36
2018-03-29,8.89,14.23,7.11,10.67,3055.95,27167.4
2018-03-30,8.16,10.38,6.86,7.82,3036.23,24775.64
2018-03-31,9.73,14.23,7.71,7.92,3406.72,33147.39
2018-04-01,8.89,15.24,8.54,11.07,3121.27,27748.09
2018-04-02,12.25,13.83,7.08,9.2,3854.12,47212.97
2018-04-03,9.29,16.21,8.92,12.88,2926.44,27186.63
2018-04-04,8.94,9.49,8.45,8.45,3412.44,30507.21
2018-04-05,9.57,12.83,8.43,8.76,3234.94,30958.38
2018-04-06,10.75,12.92,8.29,9.09,3532.09,37969.97
2018-04-07,8.92,13.4,8.23,11.21,3962.92,35349.25
2018-04-08,11.12,13.71,8.16,9.09,5476.6,60899.79
2018-04-09,12.89,14.59,8.89,10.71,3043.33,39228.52
2018-04-10,11.75,14.98,9.07,13.39,2922.3,34337.03
2018-04-11,8.59,15.2,8.38,11.58,3056.49,26255.25
2018-04-12,11.1,16.47,9.6,9.76,3457.09,38373.7
2018-04-13,12.56,15.79,10.27,11.06,4232.5,53160.2
2018-04-14,13.48,15.63,12.52,14.51,3028.25,40820.81
2018-04-15,14.55,14.99,11.82,13.99,5176.04,75311.38
2018-04-16,11.8,14.37,10.76,13.95,5014.96,59176.53
2018-04-17,12.98,14.18,10.54,11.1,2668.93,34642.71
2018-04-18,11.99,14.58,10.89,12.69,3186.15,38201.94
2018-04-19,13.38,14.33,11.46,12.15,5373.8,71901.44
2018-04-20,13.07,16.84,12.29,14.4,6536.65,85434.02
2018-04-21,13.81,16.5,12.37,12.37,8420.69,116289.73
2018-04-22,14.06,15.73,13.34,13.38,5204.23,73171.47
2018-04-23,14.46,16.06,13.46,14.2,9443.36,136550.99
2018-04-24,15.51,15.72,12.75,15.66,15492.51,240288.83
2018-04-25,12.59,14.33,12.07,14.25,6546.33,82418.29
2018-04-26,13.75,15.23,11.66,13.36,11130.62,153046.03
2018-04-27,14.16,14.65,12.09,13.26,11390.73,161292.74
2018-04-28,15.02,16.17,13.4,14.81,8184.58,122932.39
2018-04-29,14.2,15.23,13.58,15.11,6599.52,93713.18
2018-04-30,11.03,13.96,9.35,13.96,6146.85,67799.76
2018-05-01,12.74,13.61,9.4,10.83,4113.59,52407.14
2018-05-02,11.82,13.38,10.53,12.95,5348.33,63217.26
2018-05-03,12.47,14.4,9.87,12.47,5025.7,62670.48
2018-05-04,13.07,14.12,9.83,12.42,8898.79,116307.19
2018-05-05,14.8,17.15,11.31,13.38,12085.35,178863.18
2018-05-06,15.11,16.67,13.38,14.5,6549.53,98963.4
2018-05-07,14.54,15.92,10.69,14.7,2844.07,41352.78
2018-05-08,14.24,14.71,10.48,14.25,3305.89,47075.87
2018-05-09,14.91,15.38,13.87,14.44,3096.46,46168.22
2018-05-10,14.09,15.26,11.68,14.45,3433.39,48376.47
2018-05-11,11.57,14.05,11.01,13.83,14627.16,169236.24
2018-05-12,12.01,13.15,11.03,11.66,3975.47,47745.39
2018-05-13,10.54,13.4,8.81,12.32,4651.77,49029.66
2018-05-14,10.58,12.74,9.64,11.38,3217.28,34038.82
2018-05-15,9.68,12.46,9.41,11.87,3294.17,31887.57
2018-05-16,12.77,13.94,9.26,9.52,2849.68,36390.41
2018-05-17,12.74,18.06,8.48,12.27,3881.54,49450.82
2018-05-18,11.86,14.84,8.92,11.88,3677.25,43612.19
2018-05-19,12.87,14.59,10.97,11.86,2794.49,35965.09
2018-05-20,14.48,15.1,13.12,13.31,5646.0,81754.08
2018-05-21,13.29,14.45,12.84,14.36,6046.53,80358.38
2018-05-22,12.31,12.76,11.81,12.62,4989.74,61423.7
2018-05-23,10.36,11.63,10.36,11.48,2954.76,30611.31
2018-05-24,11.07,11.38,9.88,10.47,3477.73,38498.47
2018-05-25,14.13,14.95,10.78,10.91,2657.21,37546.38
2018-05-26,12.83,14.27,12.71,14.12,3338.26,42829.88
2018-05-27,11.17,13.83,9.05,12.85,2896.62,32355.25
2018-05-28,10.67,13.01,8.61,10.8,3122.03,33312.06
2018-05-29,15.02,15.02,7.85,9.87,2586.18,38844.42
2018-05-30,10.5,16.78,8.87,14.86,2746.34,28836.57
2018-05-31,15.75,15.83,10.02,10.65,2738.11,43125.23
2018-06-01,13.33,15.81,12.95,15.81,2828.55,37704.57
2018-06-02,9.26,13.61,9.25,13.45,3193.59,29572.64
2018-06-03,9.96,15.12,9.34,9.62,3989.98,39740.2
2018-06-04,9.45,10.05,9.3,9.68,2692.16,25440.91
2018-06-05,10.76,11.52,9.38,9.84,2767.34,29776.58
2018-06-06,10.8,10.96,10.37,10.8,3319.32,35848.66
2018-06-07,10.93,11.01,10.56,10.85,2623.93,28679.55
2018-06-08,9.92,12.74,9.13,10.83,2551.89,25314.75
2018-06-09,9.6,12.47,8.94,9.77,2789.2,26776.32
2018-06-10,9.81,10.03,7.73,8.66,2775.41,27226.77
2018-06-11,10.12,10.19,9.31,10.03,4080.09,41290.51
2018-06-12,9.53,9.7,9.13,9.63,3961.86,37756.53
2018-06-13,8.52,9.34,7.72,9.17,3808.23,32446.12
2018-06-14,8.73,9.1,7.73,8.97,4121.69,35982.35
2018-06-15,8.31,10.3,7.64,8.41,4309.98,35815.93
2018-06-16,7.8,8.84,7.76,8.45,3839.43,29947.55
2018-06-17,7.56,7.81,6.91,7.75,3939.79,29784.81
2018-06-18,9.27,10.54,7.18,7.86,3262.94,30247.45
2018-06-19,8.09,11.53,7.08,9.3,4023.66,32551.41
2018-06-20,7.51,8.99,7.48,8.11,3696.3,27759.21
2018-06-21,7.39,7.59,7.06,7.46,3097.15,22887.94
2018-06-22,6.12,6.84,4.21,6.66,14245.77,87184.11
2018-06-23,6.35,6.65,4.66,6.24,4341.65,27569.48
2018-06-24,6.39,6.65,5.3,6.34,5421.02,34640.32
2018-06-25,6.64,6.76,5.81,6.5,3829.75,25429.54
2018-06-26,6.45,6.58,5.96,6.45,3232.26,20848.08
2018-06-27,6.28,6.63,5.76,6.51,4271.03,26822.07
2018-06-28,5.9,6.06,5.43,5.85,4013.45,23679.36
2018-06-29,6.05,6.69,5.96,6.24,3826.2,23148.51
2018-06-30,4.66,6.51,4.5,6.23,1865.51,8693.28
2018-07-01,5.61,5.8,4.59,4.63,1126.73,6320.96
2018-07-02,5.98,5.99,5.56,5.85,1696.12,10142.8
2018-07-03,5.01,5.89,4.96,5.89,154.94,776.25
2018-07-04,5.05,6.7,4.96,5.07,243457.96,1229462.7
2018-07-05,6.52,7.09,3.87,5.02,2477.16,16151.08
2018-07-06,4.68,6.59,4.11,6.58,8520.05,39873.83
2018-07-07,6.07,6.74,3.95,4.79,3691.72,22408.74
2018-07-08,6.03,6.7,4.62,5.36,2454.3,14799.43
2018-07-09,6.14,7.06,5.69,6.0,3147.97,19328.54
2018-07-10,6.11,6.43,3.98,5.8,8208.98,50156.87
2018-07-11,4.74,6.22,3.89,6.19,4604.79,21826.7
2018-07-12,5.78,5.89,3.98,4.56,4602.87,26604.59
2018-07-13,5.87,6.09,4.36,5.75,4160.47,24421.96
2018-07-14,5.27,6.25,4.75,5.9,2819.3,14857.71
2018-07-15,5.07,6.29,4.75,5.35,5642.67,28608.34
2018-07-16,5.61,6.54,4.64,5.37,2874.81,16127.68
2018-07-17,6.69,7.29,4.36,6.09,3631.35,24293.73
2018-07-18,6.03,6.96,5.51,6.31,5697.52,34356.05
2018-07-19,6.35,7.32,5.56,6.11,3421.59,21727.1
2018-07-20,6.19,7.11,5.71,6.82,3612.85,22363.54
2018-07-21,6.13,6.81,5.67,6.25,3605.73,22103.12
2018-07-22,5.51,6.47,4.2,6.11,5641.77,31086.15
2018-07-23,5.76,5.91,4.78,5.74,3952.45,22766.11
2018-07-24,6.25,6.83,5.8,6.26,4308.03,26925.19
2018-07-25,6.15,6.69,5.67,6.09,3561.57,21903.66
