time,close,high,low,open,volumefrom,volumeto
2018-05-11,0.135,0.1423,0.1223,0.1402,9187802.15,1240353.29
2018-05-12,0.1234,0.1518,0.1193,0.1361,16458416.25,2030968.57
2018-05-13,0.1393,0.1497,0.1281,0.1314,15982667.73,2226385.61
2018-05-14,0.1278,0.1432,0.1146,0.1392,15838624.93,2024176.27
2018-05-15,0.1461,0.1512,0.1216,0.124,19242370.31,2811310.3
2018-05-16,0.1569,0.1582,0.1206,0.1464,17918194.07,2811364.65
2018-05-17,0.1503,0.1551,0.1337,0.1484,15956147.68,2398209.0
2018-05-18,0.1476,0.1566,0.1457,0.1561,15925906.19,2350663.75
2018-05-19,0.1487,0.1515,0.1322,0.1483,14035707.44,2087109.7
2018-05-20,0.1939,0.2625,0.1452,0.1528,19283272.4,3739026.52
2018-05-21,0.1771,0.1892,0.1602,0.1887,14632530.71,2591421.19
2018-05-22,0.1619,0.173,0.141,0.1634,16106617.59,2607661.39
2018-05-23,0.125,0.1488,0.1217,0.1458,15925059.44,1990632.43
2018-05-24,0.1389,0.1458,0.1298,0.1308,14439940.31,2005707.71
2018-05-25,0.1464,0.1571,0.1251,0.1348,17216649.58,2520517.5
2018-05-26,0.1449,0.1582,0.1338,0.147,16502866.99,2391265.43
2018-05-27,0.1403,0.1445,0.1355,0.1409,15032926.73,2109119.62
2018-05-28,0.1271,0.1326,0.1147,0.1261,15716005.67,1997504.32
2018-05-29,0.1439,0.1458,0.1303,0.1406,15405408.47,2216838.28
2018-05-30,0.1399,0.1429,0.1226,0.1411,15700339.45,2196477.49
2018-05-31,0.1436,0.1539,0.1328,0.1469,16882641.05,2424347.25
2018-06-01,0.1388,0.1478,0.1332,0.1459,15482157.3,2148923.43
2018-06-02,0.1369,0.1424,0.1319,0.1418,17479893.48,2392997.42
2018-06-03,0.1461,0.1493,0.13,0.1436,16719995.75,2442791.38
2018-06-04,0.1307,0.1414,0.1248,0.1384,17096856.61,2234559.16
2018-06-05,0.1292,0.1344,0.1134,0.1344,16307892.87,2106979.76
2018-06-06,0.1235,0.1336,0.1158,0.1286,16088554.65,1986936.5
2018-06-07,0.1211,0.1309,0.1161,0.1227,15698322.81,1901066.89
2018-06-08,0.1199,0.1273,0.1115,0.1199,15420067.97,1848866.15
2018-06-09,0.114,0.1232,0.1055,0.1186,15058138.01,1716627.73
2018-06-10,0.09388,0.1084,0.09183,0.09986,16314065.92,1531564.51
2018-06-11,0.09784,0.1002,0.09003,0.09577,15539026.41,1520338.34
2018-06-12,0.08981,0.09441,0.08382,0.09104,15521917.51,1394023.41
2018-06-13,0.08378,0.08988,0.08007,0.08769,15855622.01,1328384.01
2018-06-14,0.09144,0.09617,0.08421,0.09144,15705073.33,1436071.91
2018-06-15,0.08239,0.09214,0.07556,0.08483,16858456.34,1388968.22
2018-06-16,0.0897,0.09159,0.07359,0.08358,16693666.21,1497421.86
2018-06-17,0.09269,0.09274,0.08862,0.08961,15381069.54,1425671.34
2018-06-18,0.09675,0.09876,0.0926,0.09659,15607844.13,1510058.92
2018-06-19,0.09606,0.1016,0.08782,0.1006,16329327.97,1568595.24
2018-06-20,0.09528,0.09651,0.09115,0.09533,15857968.27,1510947.22
2018-06-21,0.09311,0.09369,0.07897,0.09343,15869925.33,1477648.75
2018-06-22,0.07945,0.08217,0.06239,0.08185,16112938.54,1280172.97
2018-06-23,0.07938,0.08274,0.06876,0.08151,16274014.78,1291831.29
2018-06-24,0.07503,0.07716,0.06601,0.07607,16813051.76,1261483.27
2018-06-25,0.07451,0.07681,0.05873,0.07566,18091885.91,1348026.42
2018-06-26,0.0686,0.07324,0.06427,0.06985,17244338.12,1182961.6
2018-06-27,0.06988,0.07466,0.06242,0.07055,16478902.15,1151545.68
2018-06-28,0.06361,0.06816,0.0568,0.06656,17209444.01,1094692.73
2018-06-29,0.06511,0.07116,0.06311,0.06585,13529959.18,880935.64
2018-06-30,0.06838,0.06969,0.06348,0.06788,14263405.9,975331.7
2018-07-01,0.06793,0.06824,0.06377,0.06788,14894269.42,1011767.72
2018-07-02,0.07182,0.07196,0.06834,0.07144,13948055.25,1001749.33
2018-07-03,0.06952,0.06975,0.06624,0.06962,15368024.15,1068385.04
2018-07-04,0.06989,0.07055,0.06709,0.07031,13164311.25,920053.71
2018-07-05,0.07041,0.07055,0.06831,0.06995,14119551.49,994157.62
2018-07-06,0.07232,0.07307,0.06109,0.07077,14712297.17,1063993.33
2018-07-07,0.07734,0.08254,0.07239,0.07501,16031338.06,1239863.69
2018-07-08,0.07468,0.07915,0.07458,0.0774,14645852.96,1093752.3
2018-07-09,0.07261,0.0735,0.0653,0.07242,15400061.38,1118198.46
2018-07-10,0.05924,0.06663,0.05629,0.06663,14756010.83,874146.08
2018-07-11,0.05481,0.06167,0.05347,0.06105,14386808.7,788540.98
2018-07-12,0.05218,0.05348,0.04955,0.05348,14633926.61,763598.29
2018-07-13,0.05527,0.05899,0.04852,0.05233,14503194.19,801591.54
2018-07-14,0.05456,0.05769,0.03304,0.05543,16730929.59,912839.52
2018-07-15,0.05467,0.05841,0.04059,0.05656,15550241.81,850131.72
2018-07-16,0.04955,0.05855,0.0433,0.0585,16168096.13,801129.16
2018-07-17,0.0506,0.05579,0.04692,0.05165,15095504.89,763832.55
2018-07-18,0.04948,0.06131,0.04131,0.04867,15815988.4,782575.11
2018-07-19,0.04616,0.05624,0.0452,0.04869,16563113.97,764553.34
2018-07-20,0.04556,0.05588,0.0424,0.04426,16922269.79,770978.61
2018-07-21,0.04657,0.05007,0.04399,0.04652,14869275.42,692462.16
2018-07-22,0.04542,0.04814,0.0442,0.04663,15450205.53,701748.34
2018-07-23,0.04789,0.04946,0.04421,0.04519,14465219.22,692739.35
2018-07-24,0.0525,0.05691,0.05063,0.05102,10003227.69,525169.45
2018-07-25,0.05024,0.05222,0.04807,0.05161,14546989.25,730840.74
2018-07-26,0.04934,0.05484,0.04907,0.04939,14149615.87,698142.05
2018-07-27,0.04702,0.05068,0.04599,0.05016,15681053.54,737323.14
2018-07-28,0.04831,0.05149,0.04642,0.04683,14263728.08,689080.7
2018-07-29,0.05958,0.06448,0.04538,0.0483,16811253.95,1001614.51
2018-07-30,0.05155,0.05935,0.04949,0.05839,16416429.74,846266.95
2018-07-31,0.04653,0.05136,0.04402,0.04873,13485564.85,627483.33
2018-08-01,0.04232,0.0474,0.04232,0.04514,2368393.56,100230.42
2018-08-02,0.04425,0.04794,0.03894,0.04141,577818.95,25568.49
2018-08-03,0.04581,0.04974,0.03959,0.04498,3324137.22,152278.73
2018-08-04,0.04155,0.04488,0.0327,0.04464,17495849.47,726952.55
2018-08-05,0.04012,0.04436,0.03791,0.04174,15045816.8,603638.17
2018-08-06,0.04183,0.0428,0.03834,0.03973,13865510.85,579994.32
2018-08-07,0.04169,0.04267,0.03897,0.03904,15373717.06,640930.26
2018-08-08,0.0363,0.03975,0.0354,0.03922,16166581.36,586846.9
2018-08-09,0.03578,0.04042,0.03276,0.03704,16007049.84,572732.24
2018-08-10,0.03362,0.03382,0.03112,0.03264,14690297.86,493887.81
2018-08-11,0.03013,0.03291,0.0283,0.03225,15530860.36,467944.82
2018-08-12,0.02938,0.03022,0.02864,0.0302,15434265.69,453458.73
2018-08-13,0.02634,0.02651,0.02499,0.02622,16103426.8,424164.26
2018-08-14,0.02559,0.02718,0.02366,0.02577,16311621.54,417414.4
2018-08-15,0.0252,0.02759,0.02363,0.02586,16282199.19,410311.42
2018-08-16,0.0269,0.02801,0.02496,0.02563,15685168.75,421931.04
2018-08-17,0.03211,0.03544,0.02953,0.02978,16645696.66,534493.32
2018-08-18,0.02999,0.03055,0.02865,0.0301,16128849.32,483704.19
2018-08-19,0.02917,0.03092,0.02715,0.03047,16141902.91,470859.31
2018-08-20,0.02578,0.02661,0.02533,0.02635,15773913.58,406651.49
2018-08-21,0.02682,0.02704,0.02548,0.02678,15392150.38,412817.47
2018-08-22,0.02522,0.02588,0.0246,0.0258,15838685.96,399451.66
2018-08-23,0.02577,0.02751,0.0251,0.02573,15891263.9,409517.87
2018-08-24,0.02599,0.02651,0.02562,0.02631,16200165.53,421042.3
2018-08-25,0.02601,0.02615,0.02553,0.02564,15391822.03,400341.29
2018-08-26,0.02612,0.02776,0.0253,0.02574,15863317.87,414349.86
2018-08-27,0.02539,0.0278,0.02539,0.02743,15674210.2,397968.2
2018-08-28,0.02719,0.02921,0.02588,0.02606,16367394.92,445029.47
2018-08-29,0.02748,0.02792,0.02604,0.02659,15287426.07,420098.47
2018-08-30,0.02752,0.02835,0.02685,0.02705,14895093.72,409912.98
2018-08-31,0.02848,0.0291,0.02728,0.02728,15330547.01,436613.98
2018-09-01,0.02953,0.03042,0.02867,0.02989,15966944.43,471503.87
2018-09-02,0.03015,0.0303,0.02938,0.02949,15778747.36,475729.23
2018-09-03,0.02898,0.02965,0.02853,0.02953,7535838.19,218388.59
2018-09-04,0.02938,0.02955,0.02789,0.02861,5213565.92,153174.57
2018-09-05,0.0247,0.02504,0.02224,0.02351,4998694.42,123467.75
2018-09-06,0.02403,0.0255,0.0225,0.02483,2175495.49,52277.16
2018-09-07,0.02158,0.02706,0.01936,0.02253,1475630.35,31844.1
2018-09-08,0.0195,0.02033,0.0194,0.01974,423849.25,8265.06
2018-09-09,0.02017,0.02058,0.01917,0.01942,453168.23,9140.4
2018-09-10,0.02027,0.021,0.01981,0.02029,308450.78,6252.3
2018-09-11,0.0207,0.02094,0.01903,0.01903,262810.81,5440.18
2018-09-12,0.02242,0.02273,0.02022,0.02046,1854677.83,41581.88
2018-09-13,0.02364,0.02618,0.02292,0.02588,2196127.88,51916.46
2018-09-14,0.02022,0.02536,0.01672,0.02337,2662957.49,53845.0
2018-09-15,0.02165,0.02347,0.01795,0.02149,1759603.83,38095.42
2018-09-16,0.01991,0.02183,0.01927,0.02145,967652.23,19265.96
2018-09-17,0.01876,0.02039,0.01725,0.01773,978134.5,18349.8
2018-09-18,0.0204,0.02071,0.01849,0.01995,417708.58,8521.26
2018-09-19,0.02086,0.02121,0.01884,0.02053,525514.69,10962.24
2018-09-20,0.02057,0.02235,0.0205,0.02235,292029.27,6007.04
2018-09-21,0.02119,0.02455,0.02031,0.02267,1362685.55,28875.31
2018-09-22,0.02104,0.02301,0.02001,0.0206,397751.65,8368.69
2018-09-23,0.02184,0.02248,0.02072,0.02137,377142.1,8236.78
2018-09-24,0.02069,0.02112,0.01982,0.02035,330936.67,6847.08
2018-09-25,0.01967,0.02067,0.01949,0.0199,151544.82,2980.89
2018-09-26,0.02187,0.02189,0.01886,0.01922,399207.15,8730.66
2018-09-27,0.02153,0.02339,0.02062,0.02339,78610.76,1692.49
2018-09-28,0.02074,0.02127,0.02043,0.02082,10966832.56,227452.11
2018-09-29,0.02114,0.02203,0.02084,0.02166,15523163.77,328159.68
2018-09-30,0.02104,0.02133,0.02096,0.02124,15804958.44,332536.33
2018-10-01,0.02022,0.0209,0.01972,0.02088,15359803.44,310575.23
2018-10-02,0.02058,0.02347,0.01973,0.01975,15584347.88,320725.88
2018-10-03,0.02037,0.02066,0.01992,0.02011,15970402.23,325317.09
2018-10-04,0.02072,0.02151,0.02032,0.02054,15862410.22,328669.14
2018-10-05,0.02115,0.02143,0.02094,0.02129,15585896.45,329641.71
2018-10-06,0.02056,0.02089,0.0204,0.02086,15822315.73,325306.81
2018-10-07,0.01981,0.02076,0.01962,0.0207,15884588.76,314673.7
2018-10-08,0.02001,0.02037,0.01952,0.02012,7255086.37,145174.28
2018-10-09,0.01857,0.0202,0.01829,0.01988,961789.42,17860.43
2018-10-10,0.01811,0.0187,0.0181,0.0185,779930.96,14124.55
2018-10-11,0.01548,0.01571,0.01526,0.01526,846974.57,13111.17
2018-10-12,0.01678,0.01694,0.01596,0.01598,865500.28,14523.09
2018-10-13,0.01702,0.01725,0.01688,0.0171,754054.45,12834.01
2018-10-14,0.01612,0.01681,0.01605,0.0167,4388255.49,70738.68
2018-10-15,0.01631,0.01754,0.01483,0.01743,5851645.15,95440.33
2018-10-16,0.01615,0.01649,0.01601,0.01626,5934675.95,95845.02
2018-10-17,0.01667,0.01683,0.01592,0.01596,5657810.86,94315.71
2018-10-18,0.01606,0.01643,0.01601,0.01628,5820986.24,93485.04
2018-10-19,0.01635,0.01639,0.01588,0.01612,6175530.22,100969.92
2018-10-20,0.01663,0.01672,0.01651,0.01653,6122886.43,101823.6
2018-10-21,0.01622,0.01706,0.01618,0.0166,6368843.08,103302.63
2018-10-22,0.01675,0.01704,0.01609,0.01614,6098272.96,102146.07
2018-10-23,0.01662,0.0171,0.0166,0.01678,6288306.98,104511.66
2018-10-24,0.01499,0.01738,0.01429,0.01658,6331945.24,94915.86
2018-10-25,0.01678,0.01693,0.01475,0.01513,13146414.61,220596.84
2018-10-26,0.01524,0.01717,0.01432,0.01696,18948146.08,288769.75
2018-10-27,0.01597,0.01598,0.01515,0.01518,15980773.81,255212.96
2018-10-28,0.01608,0.01616,0.016,0.01604,14525920.17,233576.8
2018-10-29,0.01559,0.01605,0.01455,0.01543,15807530.72,246439.4
2018-10-30,0.01534,0.01573,0.01437,0.01564,16899229.62,259234.18
2018-10-31,0.01536,0.01548,0.01475,0.01546,17051852.35,261916.45
2018-11-01,0.01462,0.01548,0.01398,0.01542,16069680.44,234938.73
2018-11-02,0.01477,0.01494,0.01467,0.01479,13381957.5,197651.51
2018-11-03,0.014,0.01474,0.01318,0.01465,17847851.31,249869.92
2018-11-04,0.01492,0.01663,0.01387,0.01485,17139957.69,255728.17
2018-11-05,0.01448,0.01497,0.01409,0.01488,18706888.5,270875.75
2018-11-06,0.01517,0.01626,0.01381,0.01516,17598299.22,266966.2
2018-11-07,0.01466,0.01571,0.01386,0.01506,14284849.68,209415.9
2018-11-08,0.0149,0.01631,0.01359,0.01421,17932604.98,267195.81
2018-11-09,0.01392,0.01498,0.01358,0.0148,16593233.67,230977.81
2018-11-10,0.01396,0.01453,0.01373,0.01409,17690763.23,246963.05
2018-11-11,0.01397,0.01451,0.01363,0.01396,17832755.74,249123.6
2018-11-12,0.0132,0.01458,0.01314,0.01391,14552208.7,192089.15
2018-11-13,0.01176,0.01292,0.01065,0.01292,14360280.28,168876.9
2018-11-14,0.01063,0.01115,0.01036,0.01041,14278806.78,151783.72
2018-11-15,0.01119,0.01162,0.009518,0.01057,15155892.3,169594.43
2018-11-16,0.01026,0.01087,0.01014,0.01078,14220854.38,145905.97
2018-11-17,0.01045,0.01097,0.01021,0.01023,14403403.71,150515.57
2018-11-18,0.0105,0.011,0.0104,0.01065,14229207.77,149406.68
2018-11-19,0.009476,0.00982,0.008755,0.008764,14580796.73,138167.63
2018-11-20,0.008441,0.008604,0.007744,0.008358,14591450.65,123166.43
2018-11-21,0.008803,0.008915,0.008619,0.008771,14440689.9,127121.39
2018-11-22,0.007962,0.008238,0.007365,0.00805,14781157.71,117687.58
2018-11-23,0.007906,0.008001,0.007671,0.007869,14080261.3,111318.55
2018-11-24,0.007454,0.007944,0.007217,0.007225,14644464.98,109159.84
2018-11-25,0.00747,0.008208,0.006921,0.007718,15762680.64,117747.22
2018-11-26,0.007133,0.007265,0.006642,0.006966,18238791.95,130097.3
2018-11-27,0.007154,0.007449,0.007069,0.00722,17225521.65,123231.38
2018-11-28,0.007856,0.00804,0.007405,0.007977,17400033.25,136694.66
2018-11-29,0.007632,0.008596,0.007426,0.00751,18129697.03,138365.85
2018-11-30,0.007341,0.007477,0.006513,0.007332,17922605.41,131569.85
2018-12-01,0.007508,0.007845,0.006809,0.007702,17561143.14,131849.06
2018-12-02,0.00731,0.007597,0.007192,0.007347,17643953.53,128977.3
2018-12-03,0.006694,0.006926,0.005628,0.006823,17061616.2,114210.46
2018-12-04,0.006803,0.006937,0.00673,0.006792,18089056.67,123059.85
2018-12-05,0.006411,0.006561,0.006216,0.006292,17779753.58,113986.0
2018-12-06,0.005424,0.00572,0.005073,0.005708,17620354.81,95572.8
2018-12-07,0.005496,0.005918,0.005022,0.005615,17683886.32,97190.64
2018-12-08,0.005497,0.005729,0.005065,0.005368,17918774.48,98499.5
2018-12-09,0.005609,0.005728,0.005556,0.005677,17271604.21,96876.43
2018-12-10,0.005037,0.005522,0.003388,0.005388,18483700.03,93102.4
2018-12-11,0.004462,0.005504,0.003671,0.004889,18806964.31,83916.67
2018-12-12,0.004921,0.005027,0.004348,0.004588,17567483.1,86449.58
2018-12-13,0.004602,0.004726,0.004281,0.004696,17903781.43,82393.2
2018-12-14,0.004481,0.004564,0.004096,0.004469,18009692.83,80701.43
2018-12-15,0.004564,0.004675,0.00424,0.004501,18030297.03,82290.28
2018-12-16,0.004666,0.004718,0.004543,0.004625,17716136.92,82663.49
2018-12-17,0.005165,0.005247,0.005075,0.005215,17974002.18,92835.72
2018-12-18,0.005441,0.005557,0.005307,0.005544,17974204.25,97797.65
2018-12-19,0.005578,0.005702,0.004958,0.005344,17036433.93,95029.23
2018-12-20,0.006248,0.006854,0.005894,0.006454,18464019.53,115363.19
2018-12-21,0.006228,0.006274,0.005628,0.005873,17926786.19,111648.02
2018-12-22,0.006296,0.006857,0.005698,0.006736,28698402.56,180685.14
2018-12-23,0.006742,0.007795,0.006365,0.006998,32318400.51,217890.66
2018-12-24,0.008058,0.008468,0.00519,0.00722,35606089.37,286913.87
2018-12-25,0.007875,0.008166,0.007229,0.007493,27637918.93,217648.61
