time,close,high,low,open,volumefrom,volumeto
2017-12-30,1.39,1.39,1.18,1.25,7127.5,9907.22
2017-12-31,1.41,1.56,1.33,1.48,9088.6,12814.93
2018-01-01,1.59,2.04,1.44,1.44,21560.5,34281.2
2018-01-02,1.72,3.28,1.12,1.81,56677.2,97484.78
2018-01-03,1.51,2.82,1.51,1.88,38258.4,57770.18
2018-01-04,1.51,1.7,1.42,1.51,3187.2,4812.67
2018-01-05,1.93,2.42,1.45,1.55,7008.2,13525.83
2018-01-06,2.31,2.52,1.91,2.11,16670.9,38509.78
2018-01-07,2.57,2.79,2.01,2.57,9403.3,24166.48
2018-01-08,2.27,2.61,1.93,2.61,23166.9,52588.86
2018-01-09,2.45,2.84,2.19,2.58,3983.1,9758.6
2018-01-10,2.12,2.37,1.87,2.37,10762.8,22817.14
2018-01-11,2.05,2.05,1.48,1.94,26897.5,55139.87
2018-01-12,2.4,2.4,1.64,2.27,60727.5,145746.0
2018-01-13,2.22,2.63,1.66,2.63,51737.0,114856.14
2018-01-14,1.77,2.31,1.63,2.18,38422.8,68008.36
2018-01-15,1.53,1.92,1.28,1.66,27654.1,42310.77
2018-01-16,1.05,1.37,0.9452,1.26,56658.2,59491.11
2018-01-17,1.02,1.13,0.8198,1.02,60821.2,62037.62
2018-01-18,1.01,1.11,0.8104,1.01,28308.3,28591.38
2018-01-19,1.24,1.35,0.9336,1.04,35406.4,43903.94
2018-01-20,1.38,1.61,1.27,1.38,36574.8,50473.22
2018-01-21,1.15,1.36,1.05,1.26,7411.3,8522.99
2018-01-22,1.1,1.2,0.9996,1.1,4350.6,4785.66
2018-01-23,1.08,1.08,0.9845,1.08,13977.4,15095.59
2018-01-24,1.06,1.17,0.9556,1.17,3818.0,4047.08
2018-01-25,0.8371,1.05,0.8371,1.05,3508.1,2936.63
2018-01-26,0.8389,1.05,0.8389,0.8389,2877.4,2413.85
2018-01-27,1.11,1.22,0.7764,0.8873,24077.6,26726.14
2018-01-28,0.9853,1.23,0.8621,1.23,2476.7,2440.29
2018-01-29,0.936,1.05,0.819,0.936,4288.0,4013.57
2018-01-30,0.9574,0.9574,0.851,0.851,217.6,208.33
2018-01-31,0.889,1.0,0.889,1.0,3702.6,3291.61
2018-02-01,0.821,0.9236,0.7183,0.821,7874.9,6465.29
2018-02-02,0.734,0.8257,0.734,0.734,4017.3,2948.7
2018-02-03,0.7767,0.8738,0.7766,0.7767,3151.5,2447.77
2018-02-04,0.7448,0.7448,0.6621,0.6621,1217.2,906.57
2018-02-05,0.6945,0.6945,0.6227,0.6227,2184.06,1516.83
2018-02-06,0.7065,0.785,0.706,0.7843,787.7,556.51
2018-02-07,0.6766,0.7518,0.6014,0.6766,9688.8,6555.44
2018-02-08,0.7322,0.8135,0.6507,0.7322,1398.65,1024.09
2018-02-09,0.7901,0.8779,0.7023,0.7901,3455.1,2729.87
2018-02-10,0.7657,0.7657,0.6806,0.7657,3711.2,2841.67
2018-02-11,0.7301,0.7301,0.649,0.7301,787.4,574.88
2018-02-12,0.6057,0.7787,0.6057,0.7787,1943.2,1177.0
2018-02-13,0.5887,0.7569,0.5887,0.5887,2432.6,1432.07
2018-02-14,0.7361,0.7361,0.6441,0.6441,14219.8,10467.19
2018-02-15,0.7424,0.7424,0.6496,0.7424,3401.6,2525.35
2018-02-16,0.6566,0.7504,0.6566,0.7504,1061.4,696.92
2018-02-17,1.07,1.46,0.6823,0.6823,120131.5,128540.71
2018-02-18,1.01,1.1,0.9139,1.01,14958.6,15108.19
2018-02-19,0.9398,1.13,0.9398,1.03,9234.6,8678.68
2018-02-20,0.797,0.9741,0.797,0.8855,17471.3,13924.63
2018-02-21,0.8401,0.8401,0.7561,0.7561,746.7,627.3
2018-02-22,0.7242,0.8851,0.7242,0.8046,1784.2,1292.12
2018-02-23,0.8547,0.8547,0.7692,0.7692,46.7,39.91
2018-02-24,0.8335,0.8335,0.6668,0.8335,1803.5,1503.22
2018-02-25,0.6722,0.8403,0.6722,0.8403,1962.0,1318.86
2018-02-26,0.7809,0.7809,0.6941,0.6941,1274.0,994.87
2018-02-27,0.7844,0.8716,0.6973,0.7844,433.6,340.12
2018-02-28,0.8515,0.9367,0.7663,0.7663,1730.1,1473.18
2018-03-01,0.6959,0.8699,0.6959,0.8699,2200.9,1531.61
2018-03-02,0.77,0.77,0.6845,0.6845,4843.3,3729.34
2018-03-03,0.8557,0.8557,0.7701,0.7701,999.4,855.19
2018-03-04,0.8648,0.8648,0.7783,0.8648,609.9,527.44
2018-03-05,0.7645,0.8494,0.6795,0.8494,1227.6,938.5
2018-03-06,0.6526,0.7341,0.6526,0.7341,1471.5,960.3
2018-03-07,0.6009,0.676,0.6009,0.6009,868.0,521.58
2018-03-08,0.5591,0.6289,0.5591,0.5591,682.6,381.64
2018-03-09,0.6542,0.6542,0.5815,0.5815,2165.1,1416.41
2018-03-10,0.6141,0.6141,0.5458,0.6141,2968.8,1823.14
2018-03-11,0.5763,0.6483,0.5763,0.6483,2463.4,1419.66
2018-03-12,0.6273,0.6273,0.5576,0.5576,3855.0,2418.24
2018-03-13,0.4828,0.621,0.4684,0.621,1472.71,711.02
2018-03-14,0.4292,0.4292,0.429,0.429,400.0,171.68
2018-03-15,0.5495,0.5495,0.4274,0.4274,3649.8,2005.57
2018-03-16,0.5405,0.6005,0.4804,0.5405,3604.3,1948.12
2018-03-17,0.4948,0.4948,0.4398,0.4948,2055.3,1016.96
2018-03-18,0.4836,0.5374,0.4836,0.4836,8265.33,3997.11
2018-03-19,0.5555,0.5555,0.5,0.5,2.8,1.56
2018-03-20,0.4461,0.5576,0.3524,0.5576,10189.29,4545.44
2018-03-21,0.4315,0.448,0.3919,0.448,3940.66,1700.39
2018-03-22,0.3777,0.4161,0.3777,0.4161,1107.6,418.34
2018-03-23,0.4351,0.4351,0.3805,0.3805,103.2,44.9
2018-03-24,0.3641,0.4161,0.3641,0.4161,11113.4,4046.39
2018-03-25,0.4184,0.4184,0.3661,0.3661,3012.4,1260.39
2018-03-26,0.389,0.389,0.3404,0.389,1992.1,774.93
2018-03-27,0.4038,0.4038,0.3141,0.359,2137.07,862.95
2018-03-28,0.3567,0.4012,0.3567,0.4012,3991.6,1423.8
2018-03-29,0.3071,0.3071,0.2687,0.3071,3879.1,1191.27
2018-03-30,0.2756,0.3151,0.2643,0.3151,2115.65,583.07
2018-03-31,0.2758,0.2758,0.2758,0.2758,0.0,0.0
2018-04-01,0.3031,0.3031,0.2652,0.2652,18629.6,5646.63
2018-04-02,0.2693,0.3077,0.2693,0.3077,2125.2,572.32
2018-04-03,0.2912,0.3327,0.2912,0.2912,52641.3,15329.15
2018-04-04,0.2651,0.3029,0.2272,0.2651,1811.9,480.33
2018-04-05,0.267,0.267,0.267,0.267,1725.7,460.76
2018-04-06,0.2963,0.2963,0.2592,0.2592,2646.0,784.01
