time,close,high,low,open,volumefrom,volumeto
2018-08-17,0.01872,0.023,0.01523,0.01944,17256994.05,323050.93
2018-08-18,0.01755,0.02095,0.01409,0.01819,14639905.23,256930.34
2018-08-19,0.01866,0.01951,0.01756,0.01782,7912833.2,147653.47
2018-08-20,0.01655,0.01843,0.01379,0.01799,13897905.5,230010.34
2018-08-21,0.01668,0.01727,0.01506,0.01714,6435182.19,107338.84
2018-08-22,0.0156,0.01763,0.01502,0.01636,9207170.34,143631.86
2018-08-23,0.01615,0.01654,0.01537,0.01602,6837342.07,110423.07
2018-08-24,0.0155,0.01657,0.01543,0.01657,4833262.99,74915.58
2018-08-25,0.01417,0.01559,0.01357,0.01559,4625019.6,65536.53
2018-08-26,0.01109,0.01411,0.01008,0.01411,12101356.17,134204.04
2018-08-27,0.0112,0.01162,0.008783,0.01141,9929037.28,111205.22
2018-08-28,0.01369,0.01475,0.01142,0.01149,9333223.42,127771.83
2018-08-29,0.01312,0.01361,0.01206,0.01361,4821840.48,63262.55
2018-08-30,0.0126,0.01344,0.01155,0.01302,4777243.92,60193.27
2018-08-31,0.01328,0.0137,0.01244,0.01265,8007055.0,106333.69
2018-09-01,0.01369,0.01433,0.01325,0.01361,5526609.89,75659.29
2018-09-02,0.01329,0.01402,0.013,0.01387,2820706.17,37487.18
2018-09-03,0.0128,0.01323,0.0125,0.01323,3994069.76,51124.09
2018-09-04,0.0126,0.01312,0.01179,0.01297,8152678.81,102723.75
2018-09-05,0.011,0.01147,0.01039,0.01147,3441502.68,37856.53
2018-09-06,0.009773,0.01069,0.009382,0.01069,3368940.0,32924.65
2018-09-07,0.008015,0.009618,0.008015,0.009618,8844287.73,70886.97
2018-09-08,0.008804,0.01042,0.00744,0.00775,5582050.4,49144.37
2018-09-09,0.008374,0.009249,0.007686,0.008874,1649506.48,13812.97
2018-09-10,0.007969,0.008728,0.007906,0.008475,1749890.04,13944.87
2018-09-11,0.009254,0.009506,0.007932,0.007932,6952692.81,64340.22
2018-09-12,0.008809,0.009316,0.008365,0.009316,3378604.02,29762.12
2018-09-13,0.009089,0.009348,0.008505,0.009024,2374415.28,21581.06
2018-09-14,0.008821,0.00908,0.008497,0.00908,1633440.57,14408.58
2018-09-15,0.008413,0.00887,0.008348,0.00887,1919981.18,16152.8
2018-09-16,0.008518,0.008778,0.007868,0.008388,2642367.9,22507.69
2018-09-17,0.008015,0.008203,0.007639,0.008203,1660786.61,13311.2
2018-09-18,0.008568,0.008885,0.007806,0.008123,5847914.24,50104.93
2018-09-19,0.009406,0.01056,0.008318,0.008638,9001110.05,84664.44
2018-09-20,0.009368,0.009694,0.008978,0.009564,2227662.95,20868.75
2018-09-21,0.009535,0.009737,0.00852,0.009737,9123363.64,86991.27
2018-09-22,0.009672,0.009672,0.009,0.00947,2142929.19,20726.41
2018-09-23,0.009451,0.009652,0.009049,0.009652,2006085.82,18959.52
2018-09-24,0.009217,0.009283,0.008954,0.009283,1199380.16,11054.69
