time,close,high,low,open,volumefrom,volumeto
2018-04-18,0.02917,0.03259,0.02917,0.03045,45000.0,1312.65
2018-04-19,0.02837,0.03517,0.02837,0.03147,90000.0,2553.3
2018-04-20,0.03271,0.03323,0.02778,0.03086,41000.0,1341.11
2018-04-21,0.02763,0.03327,0.02754,0.03207,74000.0,2044.62
2018-04-22,0.02995,0.03416,0.02837,0.02837,25000.0,748.75
2018-04-23,0.02838,0.03105,0.0231,0.03105,72000.0,2043.36
2018-04-24,0.03113,0.04712,0.02813,0.03062,139000.0,4327.07
2018-04-25,0.02589,0.03459,0.02471,0.02734,145000.0,3754.05
2018-04-26,0.04299,0.04299,0.02646,0.02772,153000.0,6577.47
2018-04-27,0.03974,0.04181,0.02972,0.04181,138000.0,5484.12
2018-04-28,0.03483,0.04219,0.02391,0.04219,204000.0,7105.32
2018-04-29,0.03457,0.04203,0.02881,0.03515,176000.0,6084.32
2018-04-30,0.03208,0.0352,0.03021,0.0336,72000.0,2309.76
2018-05-01,0.03122,0.04023,0.02603,0.03212,464000.0,14486.08
2018-05-02,0.02898,0.03258,0.02884,0.03196,107000.0,3100.86
2018-05-03,0.02936,0.03576,0.02824,0.03282,121000.0,3552.56
2018-05-04,0.0236,0.03411,0.02204,0.0304,517000.0,12201.2
2018-05-05,0.02321,0.02647,0.02139,0.02457,314000.0,7287.94
2018-05-06,0.02049,0.02419,0.02049,0.02246,109000.0,2233.41
2018-05-07,0.0228,0.0263,0.0195,0.0195,48000.0,1094.4
2018-05-08,0.02102,0.02406,0.0179,0.02266,213000.0,4477.26
2018-05-09,0.01964,0.02112,0.01816,0.02112,100000.0,1964.0
2018-05-10,0.01634,0.01892,0.01628,0.01874,39000.0,637.26
2018-05-11,0.01575,0.02033,0.0153,0.0153,80000.0,1260.0
2018-05-12,0.01542,0.01836,0.01536,0.01588,619000.0,9544.98
2018-05-13,0.01639,0.0171,0.01639,0.01645,65000.0,1065.35
2018-05-14,0.01833,0.01963,0.01634,0.01634,340000.0,6232.2
2018-05-15,0.01771,0.01909,0.01738,0.01778,288000.0,5100.48
2018-05-16,0.0171,0.02098,0.01592,0.01774,205000.0,3505.5
2018-05-17,0.01556,0.01658,0.01547,0.01617,59000.0,918.04
2018-05-18,0.01631,0.01718,0.01489,0.01615,147000.0,2397.57
2018-05-19,0.01651,0.01747,0.01413,0.01637,82000.0,1353.82
2018-05-20,0.01503,0.0171,0.0144,0.01696,117000.0,1758.51
2018-05-21,0.01403,0.01581,0.01403,0.01465,40000.0,561.2
2018-05-22,0.01349,0.01439,0.0129,0.0129,51000.0,687.99
2018-05-23,0.0186,0.02018,0.01167,0.01215,529000.0,9839.4
2018-05-24,0.01773,0.02874,0.01507,0.01942,951000.0,16861.23
2018-05-25,0.02384,0.02628,0.01682,0.01721,336000.0,8010.24
2018-05-26,0.02226,0.02694,0.02045,0.02388,206000.0,4585.56
2018-05-27,0.01823,0.02278,0.01769,0.02165,282000.0,5140.86
2018-05-28,0.01837,0.02048,0.01638,0.01638,159000.0,2920.83
2018-05-29,0.02058,0.02442,0.01893,0.02033,7904000.0,162664.32
2018-05-30,0.0234,0.02475,0.01858,0.02024,572000.0,13384.8
2018-05-31,0.02286,0.02671,0.01963,0.02424,466000.0,10652.76
2018-06-01,0.02602,0.02602,0.01998,0.02293,129000.0,3356.58
2018-06-02,0.02412,0.02655,0.02079,0.02654,69000.0,1664.28
2018-06-03,0.02237,0.02777,0.02136,0.02528,201000.0,4496.37
2018-06-04,0.02208,0.0226,0.01937,0.02137,81000.0,1788.48
2018-06-05,0.0239,0.02634,0.01929,0.02271,189000.0,4517.1
2018-06-06,0.02471,0.02623,0.0201,0.02382,547000.0,13516.37
2018-06-07,0.02365,0.02474,0.0216,0.02464,103000.0,2435.95
2018-06-08,0.02338,0.02346,0.02098,0.02345,111000.0,2595.18
2018-06-09,0.02179,0.02314,0.01964,0.02314,149000.0,3246.71
2018-06-10,0.01998,0.02099,0.0179,0.01927,166000.0,3316.68
2018-06-11,0.01992,0.0204,0.01806,0.02023,131000.0,2609.52
2018-06-12,0.01869,0.02079,0.01662,0.01855,531000.0,9924.39
2018-06-13,0.01631,0.02048,0.01519,0.018,796000.0,12982.76
2018-06-14,0.01759,0.02083,0.0169,0.0178,540000.0,9498.6
2018-06-15,0.01718,0.01778,0.01536,0.01649,324000.0,5566.32
2018-06-16,0.01438,0.01711,0.01434,0.01636,297000.0,4270.86
2018-06-17,0.01391,0.01692,0.01142,0.01437,403000.0,5605.73
2018-06-18,0.01625,0.01799,0.01278,0.01449,627000.0,10188.75
2018-06-19,0.01486,0.01692,0.01346,0.01691,1138000.0,16910.68
2018-06-20,0.01528,0.01531,0.01346,0.01479,237000.0,3621.36
2018-06-21,0.01322,0.01543,0.01322,0.01498,574000.0,7588.28
2018-06-22,0.0142,0.01478,0.01162,0.01162,360000.0,5112.0
2018-06-23,0.01488,0.01488,0.01323,0.01457,64000.0,952.32
2018-06-24,0.01426,0.01537,0.01295,0.01429,78000.0,1112.28
2018-06-25,0.01398,0.01474,0.01287,0.01437,193000.0,2698.14
2018-06-26,0.01278,0.01527,0.01248,0.01309,408000.0,5214.24
2018-06-27,0.01325,0.01467,0.01237,0.01315,196000.0,2597.0
2018-06-28,0.01385,0.01611,0.0121,0.01272,717000.0,9930.45
2018-06-29,0.01349,0.01493,0.01095,0.01432,614000.0,8282.86
2018-06-30,0.01179,0.01432,0.0114,0.01406,332000.0,3914.28
2018-07-01,0.01146,0.01354,0.01139,0.01175,299000.0,3426.54
2018-07-02,0.01262,0.01283,0.01191,0.01209,243000.0,3066.66
