time,close,high,low,open,volumefrom,volumeto
2018-03-27,3.37,3.51,3.27,3.3,1134640.0,3823736.8
2018-03-28,3.46,3.5,3.28,3.43,1826696.0,6320368.16
2018-03-29,2.95,3.23,2.83,3.08,3368946.0,9938390.7
2018-03-30,3.27,3.4,2.8,2.85,3077633.0,10063859.91
2018-03-31,3.26,3.44,3.23,3.3,2312294.0,7538078.44
2018-04-01,3.09,3.22,3.01,3.21,1452623.0,4488605.07
2018-04-02,3.17,3.32,3.14,3.2,1126466.0,3570897.22
2018-04-03,3.54,3.55,3.28,3.33,1482912.0,5249508.48
2018-04-04,3.04,3.25,3.0,3.24,1525337.0,4637024.48
2018-04-05,3.15,3.17,3.01,3.03,1046996.0,3298037.4
2018-04-06,3.03,3.15,3.02,3.08,1161754.0,3520114.62
2018-04-07,3.59,3.82,3.15,3.16,4879764.0,17518352.76
2018-04-08,3.92,3.98,3.64,3.66,2866556.0,11236899.52
2018-04-09,3.71,3.84,3.53,3.78,2514200.0,9327682.0
2018-04-10,4.5,4.51,3.74,3.75,4857100.0,21856950.0
2018-04-11,4.38,4.8,4.3,4.58,4693299.67,20556652.55
2018-04-12,6.03,6.26,4.92,4.96,5509883.85,33224599.62
2018-04-13,5.73,6.75,5.6,6.0,7703023.01,44138321.85
2018-04-14,5.65,6.26,5.46,5.82,3958253.72,22364133.52
2018-04-15,6.01,6.41,5.86,5.9,2490621.29,14968633.95
2018-04-16,5.7,6.11,5.55,5.79,2883959.32,16438568.12
2018-04-17,5.39,5.6,5.26,5.58,2873646.21,15488953.07
2018-04-18,5.97,6.09,5.53,5.57,1965389.16,11733373.29
2018-04-19,6.58,6.75,5.94,6.06,3268420.58,21506207.42
2018-04-20,6.67,7.04,6.49,7.04,2340425.34,15610637.02
2018-04-21,6.21,6.72,6.16,6.72,1712596.24,10635222.65
2018-04-22,6.34,6.63,6.12,6.13,1227514.69,7782443.13
2018-04-23,6.65,6.71,6.42,6.44,1255173.17,8346901.58
2018-04-24,7.66,8.06,7.04,7.13,3514170.53,26918546.26
2018-04-25,7.36,7.76,6.48,7.04,4532746.62,33361015.12
2018-04-26,8.23,8.43,7.66,7.7,4143414.03,34100297.47
2018-04-27,7.99,8.15,7.56,7.93,2322415.56,18556100.32
2018-04-28,8.74,8.74,8.27,8.36,1831170.3,16004428.42
2018-04-29,8.5,8.8,8.36,8.79,1759882.84,14959004.14
2018-04-30,8.22,8.73,7.98,8.36,1863361.94,15316835.15
2018-05-01,8.19,8.23,7.74,8.07,1265955.88,10368178.66
2018-05-02,8.85,8.91,8.31,8.33,2048960.39,18133299.45
2018-05-03,9.8,10.33,9.13,9.35,5159945.36,50567464.53
2018-05-04,9.3,9.98,8.73,9.76,2561755.32,23824324.48
2018-05-05,8.66,9.45,8.42,9.45,1848191.09,16005334.84
2018-05-06,8.36,8.75,8.06,8.46,1311901.74,10967498.55
2018-05-07,8.11,8.43,7.66,8.11,1805301.1,14640991.92
2018-05-08,7.78,8.19,7.73,7.94,1243220.72,9672257.2
2018-05-09,7.8,8.05,7.47,7.89,1521138.41,11864879.6
2018-05-10,7.35,7.94,7.33,7.56,1622076.5,11922262.27
2018-05-11,6.75,6.99,6.23,6.86,2384014.44,16092097.47
2018-05-12,7.02,7.21,6.42,6.81,1415282.33,9935281.96
2018-05-13,7.35,7.38,6.82,7.23,1500783.93,11030761.89
2018-05-14,6.95,7.32,6.78,7.32,1205089.58,8375372.58
