time,close,high,low,open,volumefrom,volumeto
2017-05-05,0.9876,0.9876,0.9558,0.9558,1512.59,1493.83
2017-05-06,1.55,1.55,1.01,1.01,1765.34,2736.28
2017-05-07,1.5,1.55,1.04,1.55,1086.52,1629.78
2017-05-08,1.5,1.61,1.48,1.61,1123.38,1685.07
2017-05-09,0.8572,1.53,0.8572,1.53,1435.0,1230.08
2017-05-10,1.53,1.53,0.8849,0.8849,130.44,199.57
2017-05-11,1.59,1.59,1.59,1.59,221.96,352.92
2017-05-12,1.47,1.47,1.47,1.47,95.16,139.89
2017-05-13,1.58,1.59,1.07,1.54,4432.68,7003.63
2017-05-14,1.59,1.59,1.59,1.59,20.0,31.8
2017-05-15,1.51,1.53,1.03,1.53,2122.56,3205.07
2017-05-16,0.8647,1.53,0.8647,1.53,2483.35,2147.35
2017-05-17,1.11,1.44,0.9006,0.9006,1724.72,1914.44
2017-05-18,1.16,1.16,1.16,1.16,0.0,0.0
2017-05-19,1.21,1.21,1.21,1.21,0.0,0.0
2017-05-20,1.25,1.25,1.25,1.25,0.0,0.0
2017-05-21,1.26,1.26,1.26,1.26,0.0,0.0
2017-05-22,1.14,1.14,1.1,1.31,255.06,290.77
2017-05-23,1.77,1.77,1.22,1.22,557.5,986.78
2017-05-24,1.91,1.91,1.91,1.91,0.0,0.0
2017-05-25,2.01,2.01,1.8,1.8,97.58,196.14
2017-05-26,1.35,2.24,1.35,1.96,937.37,1265.45
2017-05-27,1.23,1.23,1.23,1.23,0.0,0.0
2017-05-28,1.95,1.95,1.32,1.32,0.3,0.585
2017-05-29,2.02,2.02,2.02,2.02,0.0,0.0
2017-05-30,2.19,2.19,1.86,1.95,96.44,211.2
2017-05-31,2.3,2.3,2.3,2.3,0.0,0.0
2017-06-01,7.24,7.24,2.41,2.41,195.87,1418.1
2017-06-02,4.74,6.84,3.37,6.84,126.76,600.84
2017-06-03,4.79,4.84,2.04,4.84,122.47,586.63
2017-06-04,4.75,4.75,4.75,4.75,0.0,0.0
2017-06-05,2.3,5.09,2.3,5.09,5.29,12.17
2017-06-06,2.58,4.26,2.44,2.44,37.66,97.16
2017-06-07,2.42,2.42,2.42,2.42,0.0,0.0
2017-06-08,6.44,6.44,2.52,2.52,208.71,1344.09
2017-06-09,6.47,6.47,6.47,6.47,0.0,0.0
2017-06-10,1.78,6.67,1.78,6.67,1060.23,1887.21
2017-06-11,5.05,5.2,1.82,1.82,9.93,50.15
2017-06-12,4.52,4.52,4.52,4.52,0.0,0.0
2017-06-13,2.58,4.61,2.58,4.61,17.46,45.05
2017-06-14,2.74,2.74,2.34,2.34,111.0,304.14
2017-06-15,2.71,2.71,2.71,2.71,0.0,0.0
2017-06-16,2.31,2.79,2.31,2.79,64.82,149.73
2017-06-17,1.71,2.44,1.71,2.44,738.13,1262.2
2017-06-18,1.63,1.63,1.63,1.63,0.0,0.0
2017-06-19,2.09,2.17,1.68,1.68,625.68,1307.67
2017-06-20,2.2,2.2,2.2,2.2,145.59,320.3
2017-06-21,2.14,2.14,2.14,2.14,22.91,49.03
2017-06-22,2.18,2.18,2.18,2.18,0.0,0.0
2017-06-23,2.17,2.17,2.17,2.17,691.51,1500.58
2017-06-24,1.89,3.11,1.89,2.07,381.4,720.85
2017-06-25,1.86,1.86,1.86,1.86,0.0,0.0
2017-06-26,1.96,1.96,1.79,1.79,5.0,9.8
2017-06-27,2.07,2.07,2.07,2.07,2.4,4.97
2017-06-28,2.06,2.06,2.06,2.06,5.72,11.78
2017-06-29,1.92,2.05,1.92,2.05,517.64,993.87
2017-06-30,1.86,1.86,1.86,1.86,156.0,290.16
2017-07-01,1.82,1.82,1.82,1.82,52.6,95.73
2017-07-02,1.9,1.9,1.9,1.9,0.0,0.0
2017-07-03,1.93,1.93,1.93,1.93,228.64,441.28
2017-07-04,1.96,1.96,1.96,1.96,0.0,0.0
2017-07-05,1.31,1.97,1.31,1.97,1193.18,1563.07
2017-07-06,2.14,2.19,1.31,1.31,2243.15,4800.34
2017-07-07,1.51,2.09,1.51,2.06,611.31,923.08
2017-07-08,1.75,1.8,1.15,1.54,1665.62,2914.84
2017-07-09,2.03,2.03,1.38,1.71,4533.39,9202.78
2017-07-10,1.29,1.9,1.29,1.9,1322.97,1706.63
2017-07-11,0.9762,1.28,0.9762,1.28,278.9,272.26
2017-07-12,1.01,1.01,1.01,1.01,1.1,1.11
2017-07-13,0.9922,0.9922,0.9922,0.9922,9.0,8.93
2017-07-14,0.9384,0.9384,0.9384,0.9384,0.0,0.0
2017-07-15,0.8295,0.8295,0.8295,0.8295,0.0,0.0
2017-07-16,0.8039,0.8613,0.8039,0.8039,6.73,5.41
2017-07-17,0.938,0.938,0.938,0.938,81.0,75.98
2017-07-18,0.9745,0.9745,0.9745,0.9745,0.0,0.0
2017-07-19,0.9587,0.9587,0.9587,0.9587,0.0,0.0
2017-07-20,1.2,1.2,1.2,1.2,0.0,0.0
2017-07-21,1.12,1.12,1.12,1.12,0.0,0.0
2017-07-22,1.19,1.19,1.19,1.19,0.0,0.0
2017-07-23,1.16,1.16,1.16,1.16,0.0,0.0
2017-07-24,1.16,1.16,1.16,1.16,0.0,0.0
2017-07-25,1.08,1.08,1.08,1.08,0.0,0.0
2017-07-26,0.7652,1.28,0.7652,1.07,39.94,30.56
2017-07-27,0.8049,0.8049,0.8049,0.8049,0.0,0.0
2017-07-28,0.8392,0.8392,0.8392,0.8392,10.0,8.39
2017-07-29,0.8173,0.8173,0.8173,0.8173,0.0,0.0
2017-07-30,0.8272,0.8272,0.8272,0.8272,0.0,0.0
2017-07-31,0.8621,0.8621,0.8621,0.8621,0.0,0.0
2017-08-01,0.8214,0.8214,0.8214,0.8214,0.0,0.0
2017-08-02,1.55,1.6,0.8134,0.8134,412.56,639.47
2017-08-03,1.6,1.64,1.55,1.61,268.05,428.88
2017-08-04,1.3,1.64,1.3,1.64,872.24,1133.91
2017-08-05,1.53,2.1,1.47,1.48,16583.17,25372.25
2017-08-06,1.67,2.23,1.45,1.46,14436.07,24108.24
2017-08-07,1.91,2.31,1.64,1.76,19107.7,36495.71
2017-08-08,1.73,2.23,1.66,1.92,1417.17,2451.7
2017-08-09,1.56,1.84,0.8707,1.69,41494.27,64731.06
2017-08-10,1.53,1.84,1.23,1.6,730.15,1117.13
2017-08-11,1.65,1.79,1.32,1.64,194.57,321.04
2017-08-12,1.52,1.88,1.36,1.75,4085.46,6209.9
2017-08-13,1.54,1.93,1.31,1.6,3782.1,5824.43
2017-08-14,1.43,2.07,1.26,1.48,7169.23,10252.0
2017-08-15,1.37,1.74,0.8881,1.38,53280.54,72994.34
2017-08-16,1.44,1.67,1.1,1.44,6488.93,9344.06
2017-08-17,1.21,1.5,1.11,1.41,8857.22,10717.24
2017-08-18,1.18,1.74,1.15,1.16,10571.44,12474.3
2017-08-19,1.28,1.6,1.17,1.18,3864.12,4946.07
2017-08-20,1.06,1.4,0.9455,1.25,9033.8,9575.83
2017-08-21,1.15,1.3,0.9015,1.07,19979.17,22976.05
2017-08-22,1.34,1.35,1.03,1.31,18089.93,24240.51
2017-08-23,1.12,1.37,0.5578,1.36,113765.67,127417.55
2017-08-24,1.32,1.43,1.11,1.17,22109.04,29183.93
2017-08-25,1.44,1.44,1.1,1.33,20689.6,29793.02
2017-08-26,1.64,1.74,1.22,1.43,171327.16,280976.54
2017-08-27,1.73,1.73,1.35,1.64,4807.87,8317.62
2017-08-28,1.4,1.75,1.4,1.75,861.16,1205.62
2017-08-29,1.7,1.83,1.47,1.47,23100.42,39270.71
2017-08-30,1.69,1.71,1.52,1.69,1249.47,2111.6
2017-08-31,1.98,1.98,1.59,1.75,4692.44,9291.03
2017-09-01,1.93,2.29,1.83,2.06,2084.63,4023.34
2017-09-02,1.79,1.94,1.7,1.8,1231.91,2205.12
2017-09-03,1.82,1.84,1.74,1.8,1156.35,2104.56
2017-09-04,1.55,1.7,1.53,1.69,2660.15,4123.23
2017-09-05,1.56,1.61,1.55,1.6,2457.69,3834.0
2017-09-06,1.52,1.63,1.48,1.63,3482.27,5293.05
2017-09-07,1.47,1.53,1.39,1.53,4071.87,5985.65
2017-09-08,1.32,1.37,1.21,1.37,3780.93,4990.83
2017-09-09,1.31,1.33,1.3,1.32,2637.63,3455.3
2017-09-10,1.38,1.38,1.28,1.29,2616.63,3610.95
2017-09-11,1.32,1.48,1.18,1.37,10285.51,13576.87
2017-09-12,1.34,1.5,1.29,1.31,3817.44,5115.37
2017-09-13,1.23,1.25,1.19,1.25,4196.63,5161.85
2017-09-14,1.03,1.05,1.0,1.03,4618.53,4757.09
2017-09-15,1.15,1.19,1.11,1.18,5495.28,6319.57
2017-09-16,1.11,1.15,1.04,1.15,4961.01,5506.72
2017-09-17,1.18,1.21,1.1,1.11,2826.09,3334.79
2017-09-18,1.24,1.32,1.12,1.31,31533.58,39101.64
2017-09-19,1.18,1.29,1.16,1.18,8915.02,10519.72
2017-09-20,1.15,1.18,1.14,1.18,4084.67,4697.37
2017-09-21,1.1,1.2,1.05,1.07,6123.12,6735.43
2017-09-22,1.08,1.09,1.08,1.09,3442.66,3718.07
2017-09-23,1.09,1.15,1.07,1.14,5724.92,6240.16
2017-09-24,1.04,1.13,1.02,1.06,3960.6,4119.02
2017-09-25,1.15,1.15,1.1,1.11,2754.52,3167.7
2017-09-26,1.15,1.19,1.13,1.14,5912.58,6799.47
2017-09-27,1.2,1.27,1.13,1.24,4179.1,5014.92
2017-09-28,1.16,1.25,1.13,1.19,4297.44,4985.03
2017-09-29,1.17,1.21,1.13,1.15,2326.45,2721.95
2017-09-30,1.19,1.24,1.18,1.22,3703.69,4407.39
2017-10-01,1.18,1.21,1.17,1.2,3448.61,4069.36
2017-10-02,1.18,1.19,1.16,1.18,3634.18,4288.33
2017-10-03,1.17,1.25,1.12,1.16,2844.46,3328.02
2017-10-04,1.15,1.17,1.12,1.15,2647.87,3045.05
2017-10-05,1.17,1.19,1.16,1.18,2995.16,3504.34
2017-10-06,1.16,1.2,1.14,1.18,2674.84,3102.81
2017-10-07,1.15,1.19,1.11,1.18,2584.06,2971.67
2017-10-08,1.03,1.2,1.03,1.2,2928.89,3016.76
2017-10-09,0.9689,1.08,0.9641,1.07,3189.27,3090.08
2017-10-10,0.9593,0.9984,0.9422,0.966,2919.02,2800.22
2017-10-11,0.9287,0.9909,0.8635,0.9716,3404.16,3161.44
2017-10-12,0.8502,1.06,0.8502,1.05,4039.68,3434.54
2017-10-13,0.7328,0.8822,0.7227,0.8822,6854.27,5022.81
2017-10-14,0.7502,0.7677,0.7427,0.7572,6452.78,4840.88
2017-10-15,0.7184,0.7423,0.7093,0.7326,6807.22,4890.31
2017-10-16,0.7355,0.7441,0.7165,0.7274,3802.33,2796.61
2017-10-17,0.7524,0.7642,0.7105,0.7149,4615.33,3472.57
2017-10-18,0.8102,0.8152,0.7399,0.7494,4627.37,3749.1
2017-10-19,0.8776,0.8844,0.8223,0.828,5661.52,4968.55
2017-10-20,0.8426,0.9241,0.7881,0.9229,6887.67,5803.55
2017-10-21,0.7328,0.8481,0.6613,0.8445,11277.88,8264.43
2017-10-22,0.7485,0.7814,0.7185,0.7287,8000.72,5988.54
2017-10-23,0.7427,0.7545,0.6476,0.7385,10553.33,7837.96
2017-10-24,0.8303,0.8303,0.6726,0.6935,6434.31,5342.41
2017-10-25,0.8165,0.8635,0.7557,0.8635,8910.7,7275.59
2017-10-26,0.8095,0.8513,0.7424,0.8384,5842.43,4729.45
2017-10-27,0.8007,0.8059,0.7684,0.7926,3269.37,2617.78
2017-10-28,0.7954,0.8006,0.7857,0.7954,3592.16,2857.2
2017-10-29,0.7248,0.8594,0.7205,0.8539,16070.66,11648.01
2017-10-30,0.6822,0.7337,0.6547,0.7221,7929.72,5409.65
2017-10-31,0.6162,0.7187,0.5892,0.7187,7035.91,4335.53
2017-11-01,0.8085,1.15,0.5875,0.6436,19643.81,15882.02
2017-11-02,1.17,1.24,0.7214,0.843,27152.24,31768.12
2017-11-03,1.14,1.43,0.962,1.19,32971.32,37587.3
2017-11-04,1.19,1.38,1.11,1.17,11118.66,13231.21
2017-11-05,1.16,1.35,1.06,1.2,3052.1,3540.44
2017-11-06,1.02,1.1,0.8984,1.09,8753.35,8928.42
2017-11-07,1.25,1.33,0.9262,1.04,11055.64,13819.55
2017-11-08,1.35,1.47,1.1,1.3,11059.68,14930.57
2017-11-09,1.03,1.52,0.9867,1.3,9970.1,10269.2
2017-11-10,0.9028,0.9941,0.8037,0.9448,27558.17,24879.52
2017-11-11,0.8812,1.0,0.7976,0.8717,7996.64,7046.64
2017-11-12,0.8306,0.8899,0.7812,0.8171,16069.83,13347.6
2017-11-13,0.9947,1.04,0.8962,0.9216,6097.95,6065.63
2017-11-14,1.15,1.3,0.7883,1.01,9579.08,11015.94
2017-11-15,1.1,1.27,1.08,1.27,3770.54,4147.59
2017-11-16,1.03,1.49,1.03,1.18,6255.69,6443.36
2017-11-17,1.04,1.07,0.9864,1.01,2704.04,2812.2
2017-11-18,1.13,1.21,1.05,1.05,5901.54,6668.74
