time,close,high,low,open,volumefrom,volumeto
2015-01-29,6.318e-05,6.318e-05,6.318e-05,6.318e-05,98240.61,6.21
2015-01-30,6.955e-05,8.114e-05,6.26e-05,6.26e-05,34962335.09,2431.63
2015-01-31,6.555e-05,7.211e-05,6.555e-05,6.555e-05,6848650.42,448.93
2015-02-01,6.984e-05,6.984e-05,6.533e-05,6.759e-05,3806406.63,265.84
2015-02-02,7.405e-05,7.882e-05,6.927e-05,7.405e-05,2336252.69,173.0
2015-02-03,7.05e-05,7.505e-05,6.367e-05,7.05e-05,15440367.93,1088.55
2015-02-04,7.251e-05,7.704e-05,6.797e-05,7.024e-05,3437598.93,249.26
2015-02-05,6.929e-05,7.145e-05,6.496e-05,6.929e-05,2351826.92,162.96
2015-02-06,8.25e-05,8.25e-05,6.912e-05,7.135e-05,838212.69,69.15
2015-02-07,9.335e-05,9.563e-05,8.196e-05,8.424e-05,8539409.05,797.15
2015-02-08,9.17e-05,0.0001007,8.499e-05,9.17e-05,13936439.43,1277.97
2015-02-09,8.593e-05,9.475e-05,8.153e-05,9.034e-05,4308201.33,370.2
2015-02-10,8.787e-05,9.226e-05,7.469e-05,8.567e-05,2614547.56,229.74
2015-02-11,8.534e-05,9.191e-05,7.44e-05,8.753e-05,7595395.0,648.19
2015-02-12,9.093e-05,9.093e-05,8.65e-05,8.65e-05,1466302.72,133.33
2015-02-13,9.447e-05,9.683e-05,9.211e-05,9.683e-05,749587.8,70.81
2015-02-14,0.0001138,0.0001216,0.0001009,0.0001035,18628776.35,2119.95
2015-02-15,0.0001096,0.000112,9.564e-05,0.0001026,22726550.48,2490.83
2015-02-16,0.0001132,0.0001132,0.0001038,0.0001108,2224502.84,251.81
2015-02-17,0.0001338,0.0001435,0.0001143,0.0001167,13434519.32,1797.54
2015-02-18,0.0001482,0.0001505,0.0001247,0.0001294,13525566.87,2004.49
2015-02-19,0.0001452,0.0001572,0.0001331,0.0001524,3413840.4,495.69
