time,close,high,low,open,volumefrom,volumeto
2018-05-27,0.1031,0.1031,0.1031,0.1031,20720.3,2136.26
2018-05-28,0.09268,0.09268,0.09268,0.09268,0.0,0.0
2018-05-29,0.1026,0.1026,0.1026,0.1026,1491.47,153.02
2018-05-30,0.1014,0.1014,0.1008,0.1008,2847.85,288.77
2018-05-31,0.1051,0.1051,0.1051,0.1051,0.0,0.0
2018-06-01,0.1054,0.1054,0.1054,0.1054,0.0,0.0
2018-06-02,0.1075,0.1075,0.1075,0.1075,0.0,0.0
2018-06-03,0.1127,0.1127,0.1127,0.1127,0.0,0.0
2018-06-04,0.1076,0.1076,0.1076,0.1076,0.0,0.0
2018-06-05,0.1107,0.1107,0.1107,0.1107,0.0,0.0
2018-06-06,0.1103,0.1103,0.1103,0.1103,0.0,0.0
2018-06-07,0.11,0.11,0.11,0.11,0.0,0.0
2018-06-08,0.1091,0.1091,0.1091,0.1091,0.0,0.0
2018-06-09,0.108,0.108,0.108,0.108,0.0,0.0
2018-06-10,0.0955,0.0955,0.0955,0.0955,0.0,0.0
2018-06-11,0.09667,0.09667,0.09667,0.09667,0.0,0.0
2018-06-12,0.09,0.09,0.09,0.09,0.0,0.0
2018-06-13,0.08669,0.08669,0.08669,0.08669,0.0,0.0
2018-06-14,0.09461,0.09461,0.09461,0.09461,0.0,0.0
2018-06-15,0.08873,0.08873,0.08873,0.08873,0.0,0.0
2018-06-16,0.09049,0.09049,0.09049,0.09049,0.0,0.0
2018-06-17,0.09041,0.09041,0.09041,0.09041,0.0,0.0
2018-06-18,0.09421,0.09421,0.09421,0.09421,0.0,0.0
2018-06-19,0.098,0.098,0.098,0.098,0.0,0.0
2018-06-20,0.09758,0.09758,0.09758,0.09758,0.0,0.0
2018-06-21,0.09569,0.09569,0.09569,0.09569,0.0,0.0
2018-06-22,0.08411,0.08411,0.08411,0.08411,0.0,0.0
2018-06-23,0.0863,0.0863,0.0863,0.0863,0.0,0.0
2018-06-24,0.08286,0.08286,0.08286,0.08286,0.0,0.0
2018-06-25,0.08351,0.08351,0.08351,0.08351,0.0,0.0
2018-06-26,0.07818,0.07818,0.07818,0.07818,0.0,0.0
2018-06-27,0.0804,0.0804,0.0804,0.0804,0.0,0.0
2018-06-28,0.07657,0.07657,0.07657,0.07657,0.0,0.0
2018-06-29,0.07922,0.07922,0.07922,0.07922,0.0,0.0
2018-06-30,0.08252,0.08252,0.08252,0.08252,0.0,0.0
2018-07-01,0.08225,0.08225,0.08225,0.08225,0.0,0.0
2018-07-02,0.08674,0.08674,0.08674,0.08674,0.0,0.0
2018-07-03,0.08407,0.08407,0.08407,0.08407,0.0,0.0
2018-07-04,0.08503,0.08503,0.08503,0.08503,0.0,0.0
2018-07-05,0.08509,0.08509,0.08509,0.08509,0.0,0.0
2018-07-06,0.08553,0.08553,0.08553,0.08553,0.0,0.0
2018-07-07,0.08842,0.08842,0.08842,0.08842,0.0,0.0
2018-07-08,0.08849,0.08849,0.08849,0.08849,0.0,0.0
2018-07-09,0.08581,0.08581,0.08581,0.08581,0.0,0.0
2018-07-10,0.07875,0.07875,0.07875,0.07875,0.0,0.0
2018-07-11,0.0811,0.0811,0.0811,0.0811,0.0,0.0
2018-07-12,0.07843,0.07843,0.07843,0.07843,0.0,0.0
2018-07-13,0.07871,0.07871,0.07871,0.07871,0.0,0.0
2018-07-14,0.03904,0.07894,0.03904,0.07894,1328.93,51.88
2018-07-15,0.04047,0.04047,0.04047,0.04047,0.0,0.0
2018-07-16,0.04309,0.04309,0.04309,0.04309,4000.0,172.36
2018-07-17,0.01799,0.04492,0.01799,0.04492,1500.0,26.99
2018-07-18,0.01726,0.01726,0.01726,0.01726,0.0,0.0
2018-07-19,0.06092,0.06092,0.01689,0.01689,52135.73,3176.11
2018-07-20,0.07181,0.07181,0.05835,0.05835,6069.0,435.81
2018-07-21,0.0491,0.07377,0.0491,0.07377,6000.0,294.6
2018-07-22,0.0778,0.0778,0.04874,0.04874,4184.76,325.57
2018-07-23,0.07644,0.07644,0.07644,0.07644,5313.02,406.13
2018-07-24,0.08151,0.08151,0.08151,0.08151,0.0,0.0
2018-07-25,0.08012,0.08012,0.08012,0.08012,0.0,0.0
2018-07-26,0.07855,0.07855,0.07855,0.07855,0.0,0.0
2018-07-27,0.07985,0.07985,0.07985,0.07985,0.0,0.0
2018-07-28,0.07965,0.07965,0.07965,0.07965,0.0,0.0
2018-07-29,0.05594,0.07925,0.05594,0.07925,3101.23,173.48
2018-07-30,0.04566,0.05479,0.04565,0.05479,27251.55,1244.31
