time,close,high,low,open,volumefrom,volumeto
2018-06-12,4.41,4.41,4.37,4.37,24.0,105.84
2018-06-13,4.25,4.25,4.25,4.25,0.0,0.0
2018-06-14,4.82,4.82,4.0,4.64,37.0,178.34
2018-06-15,3.94,4.52,3.67,4.52,12.0,47.28
2018-06-16,4.64,4.64,3.8,4.02,17.0,78.88
2018-06-17,3.87,4.64,3.87,4.64,6.0,23.22
2018-06-18,3.96,4.52,3.9,4.04,23.0,91.08
2018-06-19,3.94,4.14,3.94,4.12,15.0,59.1
2018-06-20,3.92,3.92,3.91,3.92,25.0,98.0
2018-06-21,3.66,3.84,3.66,3.84,10.0,36.6
2018-06-22,3.48,3.7,3.22,3.22,158.0,549.84
2018-06-23,3.76,3.95,3.51,3.57,174.0,654.24
2018-06-24,3.71,3.96,3.59,3.61,124.0,460.04
2018-06-25,3.69,3.74,3.69,3.74,1.0,3.69
2018-06-26,3.81,3.81,3.46,3.46,2.0,7.62
2018-06-27,3.88,3.92,3.53,3.92,23.0,89.24
2018-06-28,3.89,3.9,3.55,3.7,3587.0,13953.43
2018-06-29,4.03,4.11,4.01,4.01,199.0,801.97
2018-06-30,4.09,4.2,4.09,4.2,9.0,36.81
2018-07-01,3.91,4.07,3.84,4.07,19.0,74.29
2018-07-02,4.13,4.13,4.13,4.13,0.0,0.0
2018-07-03,4.0,4.0,4.0,4.0,0.0,0.0
2018-07-04,3.57,4.22,3.57,4.05,33.0,117.81
2018-07-05,3.57,3.72,3.57,3.57,27.0,96.39
2018-07-06,3.53,3.59,3.52,3.59,16.0,56.48
2018-07-07,3.64,3.65,3.64,3.65,1.0,3.64
2018-07-08,3.17,3.67,3.17,3.65,54.0,171.18
2018-07-09,3.5,3.5,3.13,3.13,27.0,94.5
2018-07-10,3.04,3.28,3.04,3.21,13.0,39.52
2018-07-11,3.13,3.13,3.13,3.13,0.0,0.0
2018-07-12,2.82,3.03,2.78,3.03,18.0,50.76
2018-07-13,2.65,2.86,2.65,2.83,22.0,58.3
2018-07-14,2.66,2.66,2.66,2.66,0.0,0.0
2018-07-15,2.76,2.76,2.76,2.76,0.0,0.0
2018-07-16,2.95,3.09,2.86,2.93,64.0,188.8
2018-07-17,3.04,3.27,3.04,3.07,112.0,340.48
2018-07-18,2.92,2.92,2.92,2.92,0.0,0.0
2018-07-19,2.75,2.91,2.75,2.85,39.0,107.25
2018-07-20,2.63,2.63,2.63,2.63,0.0,0.0
2018-07-21,2.49,3.02,2.49,2.71,3.0,7.47
2018-07-22,2.62,3.0,2.47,2.47,3.0,7.86
2018-07-23,2.32,2.58,2.32,2.58,3.0,6.96
2018-07-24,2.45,3.03,2.45,2.47,35.0,85.75
2018-07-25,2.71,2.8,2.41,2.41,43.0,116.53
2018-07-26,2.57,2.66,2.57,2.66,50.0,128.5
2018-07-27,2.65,2.73,2.58,2.61,34.0,90.1
2018-07-28,2.65,2.65,2.65,2.65,2.0,5.3
2018-07-29,2.39,2.63,2.39,2.63,1.0,2.39
2018-07-30,2.61,2.61,2.12,2.34,11.0,28.71
2018-07-31,2.21,2.47,2.21,2.47,4.0,8.84
2018-08-01,2.23,2.23,1.96,2.15,35.0,78.05
2018-08-02,2.23,2.32,1.99,2.19,36.0,80.28
2018-08-03,2.26,2.27,2.26,2.27,20.0,45.2
2018-08-04,2.3,3.17,2.09,2.21,111.0,255.3
2018-08-05,2.37,4.09,2.31,2.31,699.0,1656.63
2018-08-06,2.07,2.34,1.87,2.34,208.0,430.56
2018-08-07,1.86,2.02,1.73,1.93,95.0,176.7
2018-08-08,1.54,1.75,1.54,1.75,29.0,44.66
2018-08-09,1.45,1.58,1.45,1.58,41.0,59.45
2018-08-10,1.25,1.32,1.23,1.32,29.0,36.25
2018-08-11,1.22,1.22,1.2,1.2,6.0,7.32
