time,close,high,low,open,volumefrom,volumeto
2015-01-27,6.055e-05,6.055e-05,5.265e-05,5.265e-05,311214.0,18.84
2015-01-28,6.14e-05,6.377e-05,4.96e-05,5.432e-05,2032905.0,124.82
2015-01-29,5.148e-05,6.084e-05,5.148e-05,6.084e-05,350637.43,18.05
2015-01-30,6.26e-05,6.26e-05,5.564e-05,5.1e-05,404411.85,25.32
2015-01-31,5.681e-05,6.555e-05,5.463e-05,5.9e-05,1622593.59,92.18
2015-02-01,6.533e-05,6.759e-05,5.407e-05,5.858e-05,1114904.0,72.84
2015-02-02,7.166e-05,7.644e-05,6.21e-05,6.927e-05,1866359.7,133.74
2015-02-03,6.822e-05,7.05e-05,6.367e-05,6.822e-05,2325406.5,158.64
2015-02-04,6.118e-05,7.704e-05,5.664e-05,6.797e-05,4706928.77,287.97
2015-02-05,5.846e-05,6.063e-05,5.846e-05,5.846e-05,1125906.66,65.82
2015-02-06,6.466e-05,6.689e-05,5.797e-05,6.02e-05,3942887.31,254.95
2015-02-07,6.83e-05,7.058e-05,6.375e-05,6.603e-05,2625691.85,179.33
2015-02-08,6.71e-05,7.381e-05,6.263e-05,6.71e-05,1094333.24,73.43
2015-02-09,6.39e-05,9.695e-05,4.847e-05,6.61e-05,15708641.64,1003.78
2015-02-10,7.249e-05,7.249e-05,6.37e-05,6.37e-05,19172639.04,1389.82
2015-02-11,6.784e-05,7.659e-05,6.346e-05,7.221e-05,14393798.74,976.48
2015-02-12,6.875e-05,7.319e-05,6.21e-05,6.875e-05,16824021.68,1156.65
2015-02-13,7.321e-05,7.557e-05,7.085e-05,7.321e-05,8646736.68,633.03
2015-02-14,7.759e-05,8.794e-05,7.242e-05,8.018e-05,5763868.5,447.22
2015-02-15,6.765e-05,6.765e-05,6.298e-05,6.998e-05,7211322.02,487.85
2015-02-16,7.075e-05,7.547e-05,6.603e-05,6.839e-05,15130849.9,1070.51
2015-02-17,7.539e-05,7.539e-05,6.81e-05,7.296e-05,17107447.1,1289.73
2015-02-18,6.586e-05,7.291e-05,6.586e-05,7.291e-05,3248262.54,213.93
2015-02-19,7.741e-05,7.741e-05,6.29e-05,6.774e-05,1855363.23,143.62
2015-02-20,9.781e-05,0.00011,7.091e-05,7.825e-05,12687058.03,1240.92
2015-02-21,8.554e-05,9.532e-05,7.821e-05,9.776e-05,4215225.81,360.57
2015-02-22,8.722e-05,8.722e-05,7.308e-05,8.251e-05,687304.99,59.95
2015-02-23,7.403e-05,8.359e-05,7.403e-05,8.836e-05,1202483.59,89.02
2015-02-24,7.406e-05,7.883e-05,7.406e-05,7.406e-05,309017.91,22.89
2015-02-25,7.12e-05,7.357e-05,7.12e-05,7.357e-05,465046.39,33.11
2015-02-26,7.332e-05,7.805e-05,7.096e-05,7.096e-05,365649.42,26.81
2015-02-27,7.604e-05,8.111e-05,7.604e-05,7.858e-05,146181.17,11.12
2015-02-28,7.368e-05,7.622e-05,7.114e-05,7.622e-05,1152260.86,84.9
2015-03-01,7.996e-05,8.512e-05,7.48e-05,7.48e-05,161796.05,12.94
2015-03-02,7.665e-05,8.486e-05,7.665e-05,8.486e-05,472262.29,36.2
2015-03-03,8.7e-05,8.7e-05,7.858e-05,7.858e-05,1027345.77,89.38
2015-03-04,7.614e-05,8.43e-05,7.614e-05,8.43e-05,318087.6,24.22
2015-03-05,8.257e-05,9.083e-05,8.257e-05,7.706e-05,891689.08,73.63
2015-03-06,8.449e-05,8.722e-05,7.904e-05,8.177e-05,1041890.9,88.03
2015-03-07,8.247e-05,9.072e-05,7.697e-05,8.522e-05,8887374.71,732.94
2015-03-08,7.686e-05,8.235e-05,6.039e-05,8.235e-05,1895331.62,145.68
2015-03-09,8.121e-05,8.991e-05,8.121e-05,8.121e-05,247501.55,20.1
2015-03-10,8.158e-05,8.158e-05,6.993e-05,8.158e-05,2245189.97,183.16
2015-03-11,7.686e-05,7.981e-05,6.503e-05,8.277e-05,10881888.41,836.38
2015-03-12,7.64e-05,7.934e-05,7.346e-05,7.64e-05,3182163.59,243.12
2015-03-13,7.467e-05,7.467e-05,7.18e-05,7.467e-05,1600256.75,119.49
2015-03-14,7.885e-05,7.885e-05,7.04e-05,7.322e-05,3276552.97,258.36
2015-03-15,6.837e-05,7.977e-05,5.982e-05,7.977e-05,10935988.37,747.69
2015-03-16,8.131e-05,8.131e-05,6.099e-05,6.97e-05,2821212.97,229.39
2015-03-17,8.847e-05,8.847e-05,7.42e-05,7.991e-05,2544942.62,225.15
2015-03-18,7.166e-05,7.422e-05,6.654e-05,7.934e-05,2817681.33,201.92
2015-03-19,6.784e-05,7.828e-05,6.523e-05,7.306e-05,1586881.52,107.65
2015-03-20,4.188e-05,7.33e-05,2.88e-05,6.806e-05,9870643.31,413.38
2015-03-21,5.454e-05,6.493e-05,4.415e-05,4.155e-05,5490908.15,299.47
2015-03-22,6.446e-05,6.714e-05,5.371e-05,5.64e-05,4362997.4,281.24
2015-03-23,5.84e-05,6.636e-05,5.044e-05,6.371e-05,3044441.32,177.8
2015-03-24,5.921e-05,5.921e-05,5.675e-05,5.428e-05,331164.06,19.61
2015-03-25,5.667e-05,5.913e-05,3.696e-05,5.913e-05,4034075.08,228.61
2015-03-26,5.456e-05,5.704e-05,5.208e-05,5.704e-05,1920391.37,104.78
2015-03-27,4.45e-05,5.439e-05,4.203e-05,5.439e-05,41547575.89,1848.87
2015-03-28,5.544e-05,5.796e-05,4.788e-05,4.536e-05,3882218.08,215.23
2015-03-29,5.326e-05,5.81e-05,4.842e-05,5.326e-05,1064821.01,56.71
2015-03-30,5.183e-05,5.923e-05,5.183e-05,5.429e-05,1252024.27,64.89
2015-03-31,7.324e-05,8.301e-05,5.371e-05,5.127e-05,4683209.76,343.0
2015-04-01,5.664e-05,6.648e-05,5.417e-05,7.387e-05,1729180.29,97.94
2015-04-02,5.557e-05,5.81e-05,5.557e-05,5.81e-05,339014.13,18.84
2015-04-03,5.599e-05,6.108e-05,5.344e-05,5.599e-05,1433086.95,80.24
2015-04-04,5.564e-05,5.564e-05,5.564e-05,5.564e-05,1250122.18,69.56
2015-04-05,5.712e-05,5.712e-05,5.452e-05,5.712e-05,632175.26,36.11
2015-04-06,5.609e-05,5.609e-05,5.609e-05,5.609e-05,13240.58,0.7427
2015-04-07,5.565e-05,5.818e-05,5.312e-05,5.565e-05,195117.09,10.86
2015-04-08,5.136e-05,5.381e-05,5.136e-05,5.381e-05,639798.43,32.86
2015-04-09,5.11e-05,5.353e-05,5.11e-05,5.11e-05,126357.44,6.46
2015-04-10,4.929e-05,5.164e-05,4.695e-05,4.929e-05,272512.74,13.43
2015-04-11,4.73e-05,4.966e-05,4.73e-05,4.966e-05,127423.19,6.03
2015-04-12,4.717e-05,4.953e-05,4.717e-05,4.717e-05,620695.62,29.28
2015-04-13,4.472e-05,4.472e-05,4.248e-05,4.472e-05,1107611.81,49.53
2015-04-14,4.36e-05,4.578e-05,4.142e-05,4.36e-05,277636.8,12.1
2015-04-15,4.013e-05,4.459e-05,4.013e-05,4.459e-05,201264.33,8.08
2015-04-16,3.42e-05,4.788e-05,3.42e-05,4.104e-05,5916912.04,202.36
2015-04-17,4.007e-05,5.12e-05,3.561e-05,3.339e-05,1447736.43,58.01
2015-04-18,4.02e-05,4.244e-05,4.02e-05,4.02e-05,111190.46,4.47
2015-04-19,4.014e-05,4.683e-05,4.014e-05,4.014e-05,383634.74,15.4
2015-04-20,4.036e-05,4.261e-05,4.036e-05,4.036e-05,453714.61,18.31
2015-04-21,4.441e-05,4.441e-05,4.207e-05,4.207e-05,28527.65,1.27
2015-04-22,4.442e-05,4.442e-05,4.208e-05,4.442e-05,215885.32,9.59
2015-04-23,4.002e-05,4.473e-05,4.002e-05,4.473e-05,166283.87,6.65
2015-04-24,3.697e-05,4.391e-05,3.697e-05,3.929e-05,100878.0,3.73
2015-04-25,4.297e-05,4.297e-05,3.618e-05,3.618e-05,57913.13,2.49
2015-04-26,3.937e-05,4.155e-05,3.937e-05,4.155e-05,4730.93,0.1863
2015-04-27,4.121e-05,4.35e-05,4.121e-05,4.121e-05,88662.89,3.65
2015-04-28,3.839e-05,4.29e-05,3.839e-05,4.065e-05,4478804.12,171.94
2015-04-29,3.607e-05,4.058e-05,1.353e-05,3.832e-05,7795134.13,281.17
2015-04-30,4.715e-05,4.715e-05,4.008e-05,3.772e-05,139537.96,6.58
2015-05-01,3.965e-05,4.198e-05,3.965e-05,4.664e-05,410136.23,16.26
2015-05-02,4.236e-05,4.236e-05,4.236e-05,4.001e-05,559.0,0.02368
2015-05-03,5.04e-05,5.04e-05,4.56e-05,4.32e-05,174656.09,8.8
2015-05-04,4.301e-05,4.779e-05,4.301e-05,5.018e-05,209350.16,9.0
2015-05-05,4.009e-05,4.009e-05,4.009e-05,4.245e-05,94984.19,3.81
2015-05-06,3.911e-05,4.141e-05,3.68e-05,3.911e-05,589697.91,23.06
2015-05-07,4.517e-05,4.517e-05,4.041e-05,4.041e-05,20163.0,0.9108
2015-05-08,4.631e-05,4.875e-05,4.387e-05,4.631e-05,275483.46,12.76
2015-05-09,4.345e-05,4.828e-05,4.345e-05,4.587e-05,2471668.74,107.39
2015-05-10,4.559e-05,4.559e-05,4.319e-05,4.319e-05,87856.89,4.01
2015-05-11,4.111e-05,4.594e-05,3.869e-05,4.594e-05,1143867.04,47.02
2015-05-12,4.348e-05,4.348e-05,4.107e-05,4.107e-05,129000.0,5.61
2015-05-13,4.255e-05,4.728e-05,3.782e-05,4.255e-05,427116.14,18.17
2015-05-14,4.264e-05,4.501e-05,4.027e-05,4.264e-05,892104.04,38.04
2015-05-15,4.507e-05,4.507e-05,4.032e-05,4.27e-05,356593.65,16.07
2015-05-16,4.725e-05,4.725e-05,4.488e-05,4.488e-05,314439.55,14.86
2015-05-17,4.962e-05,4.962e-05,4.726e-05,4.726e-05,94002.33,4.66
2015-05-18,4.42e-05,4.885e-05,4.42e-05,4.885e-05,558585.29,24.69
2015-05-19,5.336e-05,5.336e-05,3.944e-05,4.408e-05,3467937.42,185.05
2015-05-20,5.615e-05,0.0001731,4.913e-05,5.381e-05,10843006.12,608.83
2015-05-21,5.414e-05,9.18e-05,3.531e-05,5.649e-05,8348948.89,452.01
2015-05-22,6.49e-05,0.0002115,5.529e-05,5.529e-05,8801438.88,571.21
2015-05-23,5.735e-05,8.124e-05,4.779e-05,6.451e-05,9813160.19,562.78
2015-05-24,5.784e-05,6.506e-05,5.543e-05,5.784e-05,1848227.04,106.9
2015-05-25,5.223e-05,5.698e-05,5.223e-05,5.698e-05,562862.19,29.4
2015-05-26,5.47e-05,5.47e-05,5.47e-05,5.232e-05,163979.49,8.97
2015-05-27,5.22e-05,5.458e-05,4.509e-05,5.458e-05,5958713.59,311.04
2015-05-28,5.221e-05,5.458e-05,4.746e-05,5.221e-05,1130588.99,59.03
2015-05-29,5.215e-05,5.689e-05,4.741e-05,5.215e-05,1332618.69,69.5
2015-05-30,5.131e-05,5.131e-05,4.898e-05,5.131e-05,86011.45,4.41
2015-05-31,5.056e-05,5.056e-05,4.827e-05,5.056e-05,1754843.86,88.72
2015-06-01,4.909e-05,5.132e-05,4.686e-05,4.909e-05,1148150.94,56.36
2015-06-02,5.192e-05,6.095e-05,4.966e-05,4.966e-05,1743052.71,90.5
2015-06-03,4.963e-05,5.189e-05,4.737e-05,5.189e-05,1003004.12,49.78
2015-06-04,4.709e-05,4.709e-05,4.26e-05,4.933e-05,1415750.93,66.67
2015-06-05,4.956e-05,5.407e-05,4.506e-05,4.731e-05,1096959.94,54.37
2015-06-06,4.944e-05,5.394e-05,4.27e-05,4.944e-05,802014.51,39.65
2015-06-07,4.693e-05,4.916e-05,4.469e-05,4.916e-05,1046727.9,49.12
2015-06-08,4.8e-05,5.029e-05,4.8e-05,4.8e-05,84265.2,4.04
2015-06-09,4.821e-05,5.28e-05,4.591e-05,4.821e-05,935500.0,45.1
2015-06-10,4.805e-05,4.805e-05,4.576e-05,4.805e-05,272090.74,13.07
2015-06-11,5.057e-05,5.517e-05,4.598e-05,4.827e-05,606001.71,30.65
2015-06-12,4.84e-05,5.07e-05,4.84e-05,5.07e-05,2197092.49,106.34
2015-06-13,5.812e-05,6.044e-05,4.882e-05,4.882e-05,110748589.6,6436.71
2015-06-14,5.61e-05,6.078e-05,5.61e-05,5.844e-05,79957.19,4.49
2015-06-15,6.399e-05,6.399e-05,5.451e-05,5.688e-05,449688.45,28.78
2015-06-16,6.495e-05,6.745e-05,5.996e-05,6.745e-05,2132970.55,138.54
2015-06-17,6.185e-05,6.679e-05,5.937e-05,6.432e-05,141587.97,8.76
2015-06-18,8.199e-05,8.447e-05,6.211e-05,6.211e-05,2970919.72,243.59
2015-06-19,6.592e-05,8.056e-05,6.103e-05,8.056e-05,4263120.91,281.02
2015-06-20,6.369e-05,6.859e-05,6.125e-05,6.614e-05,536080.34,34.14
2015-06-21,6.102e-05,6.347e-05,5.858e-05,6.347e-05,768765.18,46.91
2015-06-22,6.187e-05,6.187e-05,5.939e-05,6.187e-05,193084.82,11.95
2015-06-23,6.094e-05,6.582e-05,6.094e-05,6.094e-05,632993.21,38.57
2015-06-24,6.014e-05,6.255e-05,5.773e-05,6.014e-05,402278.22,24.19
2015-06-25,5.821e-05,6.792e-05,5.579e-05,6.064e-05,659528.87,38.39
2015-06-26,5.831e-05,5.831e-05,5.588e-05,5.831e-05,289638.59,16.89
2015-06-27,6.268e-05,6.268e-05,5.767e-05,6.018e-05,1090440.23,68.35
2015-06-28,6.222e-05,6.72e-05,5.973e-05,6.222e-05,273841.12,17.04
2015-06-29,5.91e-05,7.709e-05,5.653e-05,6.424e-05,1228098.7,72.58
2015-06-30,6.603e-05,6.867e-05,6.339e-05,6.075e-05,4705618.53,310.71
2015-07-01,6.441e-05,6.441e-05,6.441e-05,6.441e-05,5432067.54,349.88
2015-07-02,6.627e-05,6.882e-05,6.372e-05,6.372e-05,2861003.83,189.6
2015-07-03,6.896e-05,6.896e-05,6.64e-05,6.64e-05,7839207.57,540.59
2015-07-04,6.514e-05,7.035e-05,6.253e-05,7.035e-05,1143338.59,74.48
2015-07-05,6.753e-05,7.024e-05,6.753e-05,6.753e-05,2690817.41,181.71
