time,close,high,low,open,volumefrom,volumeto
2019-01-09,0.01409,0.01417,0.01372,0.01372,124427.31,1753.18
2019-01-10,0.0128,0.0128,0.01277,0.01277,11762.87,150.56
2019-01-11,0.01281,0.01281,0.01281,0.01281,66148.72,847.37
2019-01-12,0.01279,0.01283,0.01279,0.01279,89083.59,1139.38
2019-01-13,0.01243,0.01243,0.01239,0.01239,7639.66,94.96
2019-01-14,0.01296,0.01296,0.01293,0.01296,31324.0,405.96
2019-01-15,0.1886,0.1886,0.01267,0.01267,6883.72,1298.27
2019-01-16,0.1114,0.1898,0.002077,0.1898,3402.72,379.06
2019-01-17,0.01585,0.1127,0.01474,0.1127,46119.63,731.0
2019-01-18,0.07292,0.09375,0.01569,0.01569,56456.23,4116.79
2019-01-19,0.04811,0.07456,0.01734,0.07456,63768.08,3067.88
2019-01-20,0.01202,0.04602,0.01202,0.04602,1705.98,20.51
2019-01-21,0.03572,0.03572,0.002179,0.01204,11677.33,417.11
2019-01-22,0.03458,0.03602,0.003602,0.03602,5774.97,199.7
2019-01-23,0.005037,0.03429,0.005037,0.03429,6455.11,32.51
2019-01-24,0.01616,0.02303,0.005074,0.005074,61602.44,995.5
2019-01-25,0.01361,0.01992,0.004801,0.01609,35937.54,489.11
2019-01-26,0.01385,0.01395,0.01367,0.01367,93236.38,1291.32
2019-01-27,0.005847,0.01373,0.005847,0.01373,1353.2,7.91
2019-01-28,0.01271,0.01271,0.005664,0.005664,12731.56,161.82
2019-01-29,0.01709,0.03042,0.006836,0.01258,50670.05,865.95
2019-01-30,0.01387,0.01775,0.01387,0.01734,11382.33,157.87
2019-01-31,0.01147,0.01758,0.01147,0.01374,40285.14,462.07
2019-02-01,0.007789,0.01544,0.007754,0.01156,23701.69,184.61
2019-02-02,0.01561,0.01561,0.007895,0.007895,17322.06,270.4
2019-02-03,0.01483,0.01535,0.0148,0.01535,11028.48,163.55
2019-02-04,0.01475,0.01475,0.01201,0.01475,10379.67,153.1
2019-02-05,0.01479,0.01482,0.01034,0.01482,8028.52,118.74
2019-02-06,0.01358,0.01456,0.008725,0.01456,14042.1,190.69
2019-02-07,0.0135,0.0135,0.0135,0.0135,0.0,0.0
2019-02-08,0.01138,0.01464,0.01138,0.01464,49.99,0.5689
2019-02-09,0.0115,0.0157,0.01136,0.01136,142673.73,1640.75
2019-02-10,0.01157,0.01161,0.009618,0.01161,66220.05,766.17
2019-02-11,0.009209,0.01134,0.009209,0.01134,5167.44,47.59
2019-02-12,0.005426,0.01136,0.005426,0.009224,81490.97,442.17
2019-02-13,0.01107,0.01118,0.005409,0.005409,77495.21,857.87
2019-02-14,0.01102,0.01102,0.01102,0.01102,36319.63,400.24
2019-02-15,0.004097,0.01103,0.003593,0.01103,107808.39,441.69
2019-02-16,0.004341,0.01096,0.004015,0.004124,51024.17,221.5
2019-02-17,0.0156,0.0156,0.00279,0.004405,94001.45,1466.42
2019-02-18,0.01444,0.01663,0.004734,0.01663,18688.25,269.86
2019-02-19,0.01373,0.01448,0.003963,0.01448,104792.17,1438.8
2019-02-20,0.01276,0.01391,0.01192,0.01391,3874.59,49.44
2019-02-21,0.01331,0.01335,0.01181,0.01264,67371.01,896.71
2019-02-22,0.01346,0.01346,0.01346,0.01346,0.0,0.0
2019-02-23,0.006639,0.01402,0.006639,0.01402,86187.5,572.2
2019-02-24,0.01128,0.01131,0.006035,0.006035,161681.24,1823.76
2019-02-25,0.01146,0.0115,0.008537,0.0115,51638.81,591.78
2019-02-26,0.01142,0.01142,0.01138,0.01138,55472.49,633.5
2019-02-27,0.009347,0.01295,0.009347,0.01145,46770.39,437.16
2019-02-28,0.01285,0.01292,0.008488,0.009329,103341.59,1327.94
2019-03-01,0.01126,0.01287,0.008008,0.01287,51928.45,584.71
2019-03-02,0.01153,0.01268,0.004074,0.0113,53459.21,616.38
2019-03-03,0.008082,0.01144,0.008082,0.01144,2020.6,16.33
2019-03-04,0.009627,0.01116,0.007873,0.00791,243621.64,2345.35
2019-03-05,0.008523,0.009995,0.008523,0.009995,52.4,0.4466
2019-03-06,0.008486,0.009687,0.008486,0.008525,36241.0,307.54
2019-03-07,0.007649,0.008503,0.007649,0.008503,77878.46,595.69
2019-03-08,0.008123,0.008123,0.00762,0.00762,67724.77,550.13
2019-03-09,0.007895,0.0124,0.007264,0.00829,115516.66,912.0
2019-03-10,0.007427,0.00786,0.00672,0.00786,139132.96,1033.34
2019-03-11,0.01248,0.01248,0.006587,0.007324,127628.45,1592.8
2019-03-12,0.01244,0.01252,0.007388,0.01252,37690.68,468.87
2019-03-13,0.002676,0.01241,0.002676,0.01241,5013.57,13.42
2019-03-14,0.007724,0.008966,0.002678,0.002678,66183.43,511.2
2019-03-15,0.009386,0.01182,0.007815,0.007815,78240.12,734.36
2019-03-16,0.01353,0.01353,0.007692,0.009625,7550.26,102.16
2019-03-17,0.008036,0.01343,0.008036,0.01343,2606.04,20.94
2019-03-18,0.007978,0.009573,0.007978,0.008018,16805.51,134.07
2019-03-19,0.008008,0.008048,0.006036,0.008048,4281.8,34.29
2019-03-20,0.006572,0.008925,0.006572,0.008073,69974.12,459.87
2019-03-21,0.008394,0.008673,0.005356,0.006475,95024.67,797.64
2019-03-22,0.008602,0.008602,0.008402,0.008402,12113.1,104.2
2019-03-23,0.002805,0.009537,0.002805,0.008616,96802.99,271.53
2019-03-24,0.006111,0.007948,0.002796,0.002796,68830.96,420.63
2019-03-25,0.007378,0.01173,0.006005,0.006005,51329.6,378.71
2019-03-26,0.008633,0.008633,0.007135,0.007411,10668.98,92.11
2019-03-27,0.00793,0.008861,0.007606,0.008861,67358.09,534.15
2019-03-28,0.007871,0.007911,0.007871,0.007911,21266.53,167.39
2019-03-29,0.008017,0.008099,0.007894,0.008017,200282.05,1605.66
2019-03-30,0.004942,0.00803,0.004942,0.00803,1990.47,9.84
2019-03-31,0.007238,0.007814,0.004935,0.004935,15896.91,115.06
2019-04-01,0.01241,0.01241,0.007306,0.007306,172069.65,2135.38
2019-04-02,0.009372,0.01467,0.009225,0.01467,44922.92,421.02
2019-04-03,0.01294,0.01299,0.009456,0.009505,93219.66,1206.26
2019-04-04,0.01106,0.01277,0.009827,0.01277,37145.08,410.82
2019-04-05,0.01035,0.01136,0.01035,0.01136,152564.37,1579.04
2019-04-06,0.01037,0.01037,0.008243,0.01037,98222.51,1018.57
2019-04-07,0.01451,0.01451,0.0103,0.01066,126916.22,1841.55
2019-04-08,0.0108,0.01477,0.008788,0.01477,54379.64,587.3
2019-04-09,0.0103,0.01061,0.008738,0.01061,94850.48,976.96
2019-04-10,0.009361,0.01053,0.008457,0.01053,87735.2,821.29
2019-04-11,0.009037,0.009037,0.007219,0.008885,262710.38,2374.11
