time,close,high,low,open,volumefrom,volumeto
2017-11-01,0.0021,0.0021,0.0021,0.0021,100.0,0.21
2017-11-02,0.0021,0.0021,0.0021,0.0021,86.51,0.1817
2017-11-03,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-04,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-05,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-06,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-07,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-08,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-09,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-10,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-11,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-12,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-13,0.0021,0.0021,0.0021,0.0021,0.0,0.0
2017-11-14,0.002667,0.00276,0.0021,0.0021,197.99,0.5371
2017-11-15,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-16,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-17,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-18,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-19,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-20,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-21,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-22,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-23,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-24,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-25,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-26,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-27,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-28,0.002667,0.002667,0.002667,0.002667,0.0,0.0
2017-11-29,0.0015,0.002778,0.0015,0.002667,15200.94,23.42
2017-11-30,0.005437,0.005437,0.001,0.0015,393.66,0.4434
2017-12-01,0.005437,0.005437,0.005437,0.005437,0.0,0.0
2017-12-02,0.005437,0.005437,0.005437,0.005437,0.0,0.0
2017-12-03,0.005437,0.005437,0.005437,0.005437,0.0,0.0
2017-12-04,0.005437,0.005437,0.005437,0.005437,0.0,0.0
2017-12-05,0.005437,0.005437,0.005437,0.005437,0.0,0.0
2017-12-06,0.005437,0.005437,0.005437,0.005437,0.0,0.0
2017-12-07,0.005437,0.005437,0.005437,0.005437,0.0,0.0
2017-12-08,0.005437,0.005437,0.005437,0.005437,0.0,0.0
2017-12-09,0.0011,0.005437,0.0011,0.005437,1062.73,1.17
2017-12-10,0.005432,0.005432,0.0011,0.0011,45.25,0.2458
2017-12-11,0.001,0.005432,0.001,0.005432,190.02,0.4158
2017-12-12,0.001,0.001,0.001,0.001,0.0,0.0
2017-12-13,0.001,0.001,0.001,0.001,0.0,0.0
2017-12-14,0.005432,0.005432,0.001,0.001,2577.56,12.66
2017-12-15,0.0048,0.005432,0.0048,0.005432,12432.35,62.11
2017-12-16,0.0048,0.0048,0.0048,0.0048,0.0,0.0
2017-12-17,0.0048,0.0048,0.0048,0.0048,0.0,0.0
2017-12-18,0.005,0.005,0.0048,0.0048,2107.67,10.54
2017-12-19,0.005,0.005,0.005,0.005,200.32,1.0
2017-12-20,0.005,0.005,0.0016,0.005,1453.46,3.87
2017-12-21,0.005,0.005,0.0016,0.005,5119.25,8.19
2017-12-22,0.00395,0.005,0.0016,0.005,880.0,1.77
2017-12-23,0.00383,0.00395,0.0016,0.00395,1562.89,5.42
2017-12-24,0.0036,0.00383,0.0036,0.00383,138.89,0.5
2017-12-25,0.00182,0.0036,0.00182,0.0036,244.27,0.4446
2017-12-26,0.004,0.004,0.00182,0.00182,2999.32,10.82
2017-12-27,0.00459,0.00459,0.00182,0.004,3274.06,10.08
2017-12-28,0.004,0.005,0.004,0.00459,9519.28,43.92
2017-12-29,0.0043,0.005,0.00182,0.004,622.78,1.51
2017-12-30,0.0043,0.0043,0.0043,0.0043,201.45,0.8662
2017-12-31,0.005,0.005,0.0043,0.0043,3015.72,14.97
2018-01-01,0.002,0.005,0.002,0.005,3076.37,13.79
2018-01-02,0.002001,0.0602,0.002,0.002,16185.41,142.95
2018-01-03,0.0489,0.05001,0.002001,0.002001,17202.65,173.48
2018-01-04,0.0174,0.0489,0.005,0.0489,2629.04,43.52
2018-01-05,0.01,0.05,0.0065,0.0174,7654.85,146.63
2018-01-06,0.049,0.05,0.01,0.01,11004.29,248.61
2018-01-07,0.01602,0.049,0.01004,0.049,20614.54,518.34
2018-01-08,0.01104,0.029,0.01004,0.01602,7081.38,120.6
2018-01-09,0.0115,0.027,0.01104,0.01104,1647.67,27.67
2018-01-10,0.022,0.022,0.0111,0.0115,3193.16,37.02
2018-01-11,0.02,0.022,0.0034,0.022,17365.57,276.71
2018-01-12,0.019,0.02,0.01,0.02,729.3,9.84
2018-01-13,0.00426,0.019,0.00426,0.019,630.99,11.4
2018-01-14,0.0075,0.017,0.00426,0.00426,5587.61,54.23
2018-01-15,0.008,0.008,0.0075,0.0075,2000.0,16.0
2018-01-16,0.008,0.017,0.008,0.008,1539.82,25.82
2018-01-17,0.00612,0.018,0.00612,0.008,3553.54,27.13
2018-01-18,0.00612,0.00612,0.00612,0.00612,0.0,0.0
2018-01-19,0.00612,0.00612,0.00612,0.00612,0.0,0.0
2018-01-20,0.007889,0.0168,0.007889,0.0168,1104.02,15.15
2018-01-21,0.007889,0.007889,0.007889,0.007889,0.0,0.0
2018-01-22,0.007889,0.007889,0.007889,0.007889,0.0,0.0
2018-01-23,0.007889,0.007889,0.007889,0.007889,0.0,0.0
2018-01-24,0.0065,0.0065,0.0065,0.0065,94.25,0.6126
2018-01-25,0.0065,0.0168,0.0065,0.0065,499.35,4.28
2018-01-26,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2018-01-27,0.0065,0.0168,0.0065,0.0065,363.54,2.55
2018-01-28,0.00632,0.0065,0.00612,0.0065,880.93,5.62
2018-01-29,0.00612,0.016,0.00612,0.00632,2065.46,13.59
2018-01-30,0.00612,0.014,0.00612,0.014,1393.46,9.48
2018-01-31,0.00612,0.014,0.00612,0.00612,5128.63,31.45
2018-02-01,0.0042,0.013,0.0042,0.013,610.1,3.34
2018-02-02,0.0042,0.0042,0.0042,0.0042,0.0,0.0
2018-02-03,0.0042,0.0042,0.0042,0.0042,0.0,0.0
2018-02-04,0.004204,0.0125,0.0042,0.0042,1008.2,4.3
2018-02-05,0.003833,0.004204,0.003833,0.004204,913.03,3.5
2018-02-06,0.0125,0.0125,0.0034,0.0034,10762.89,36.91
2018-02-07,0.0125,0.0125,0.0125,0.0125,0.0,0.0
2018-02-08,0.005,0.0125,0.005,0.0125,1065.82,7.67
2018-02-09,0.0099,0.0099,0.005,0.005,99.0,0.9801
2018-02-10,0.0099,0.0099,0.0099,0.0099,0.0,0.0
2018-02-11,0.0099,0.0099,0.0099,0.0099,0.0,0.0
2018-02-12,0.0099,0.0099,0.0099,0.0099,0.0,0.0
2018-02-13,0.0099,0.0099,0.0099,0.0099,0.0,0.0
2018-02-14,0.0099,0.0099,0.0099,0.0099,0.0,0.0
2018-02-15,0.0099,0.0099,0.0099,0.0099,0.0,0.0
2018-02-16,0.009599,0.0099,0.009599,0.0099,743.97,7.14
2018-02-17,0.009599,0.009599,0.009599,0.009599,0.0,0.0
2018-02-18,0.009599,0.009599,0.009599,0.009599,0.0,0.0
2018-02-19,0.009599,0.009599,0.009599,0.009599,0.0,0.0
2018-02-20,0.009599,0.009599,0.009599,0.009599,0.0,0.0
2018-02-21,0.004,0.009599,0.004,0.009599,267.41,1.07
2018-02-22,0.0048,0.0048,0.004,0.004,665.87,3.09
2018-02-23,0.004,0.0048,0.004,0.0048,1434.59,5.76
2018-02-24,0.006,0.006,0.006,0.006,36.67,0.22
2018-02-25,0.009599,0.009599,0.006,0.006,1452.42,12.31
2018-02-26,0.009599,0.009599,0.004,0.009599,2451.7,9.87
2018-02-27,0.009599,0.009599,0.009599,0.009599,0.0,0.0
2018-02-28,0.004,0.009599,0.004,0.009599,1000.0,4.0
2018-03-01,0.004,0.009,0.004,0.004,1234.15,9.45
2018-03-02,0.0026,0.004,0.0026,0.004,3114.35,11.92
2018-03-03,0.0026,0.0026,0.0026,0.0026,0.0,0.0
2018-03-04,0.004,0.004,0.0026,0.0026,40.77,0.1631
2018-03-05,0.004,0.004,0.004,0.004,78.0,0.312
2018-03-06,0.0054,0.0054,0.004,0.004,1255.54,5.16
