time,close,high,low,open,volumefrom,volumeto
2018-02-21,0.05409,0.06027,0.05367,0.06027,33016.18,1785.85
2018-02-22,0.05101,0.05613,0.0454,0.05082,67517.56,3444.07
2018-02-23,0.052,0.058,0.04884,0.0522,35384.14,1839.98
2018-02-24,0.0495,0.05775,0.04591,0.0496,39304.59,1945.58
2018-02-25,0.04815,0.04949,0.04786,0.04892,17099.15,823.32
2018-02-26,0.0505,0.05339,0.04647,0.05163,51823.12,2617.07
2018-02-27,0.04248,0.0534,0.04248,0.04789,56675.95,2407.59
2018-02-28,0.03958,0.04754,0.03958,0.04144,28853.48,1142.02
2018-03-01,0.04011,0.0435,0.0329,0.04186,54336.1,2179.42
2018-03-02,0.04053,0.04263,0.04042,0.04053,28558.23,1157.47
2018-03-03,0.04196,0.04563,0.04196,0.04208,91168.14,3825.42
2018-03-04,0.04038,0.04579,0.03923,0.04211,59171.8,2389.36
2018-03-05,0.0389,0.04222,0.03798,0.04016,21879.12,851.1
2018-03-06,0.03865,0.04241,0.03629,0.0365,44546.28,1721.71
2018-03-07,0.03872,0.03912,0.03505,0.03574,9130.84,353.55
2018-03-08,0.03307,0.03307,0.02851,0.03298,21687.68,717.21
2018-03-09,0.03275,0.03322,0.02924,0.02933,21824.37,714.75
2018-03-10,0.02674,0.03114,0.02666,0.03114,81336.54,2174.94
2018-03-11,0.02968,0.03131,0.02854,0.02902,61828.12,1835.06
2018-03-12,0.02852,0.02962,0.02487,0.02843,26757.86,763.13
2018-03-13,0.02849,0.0295,0.02821,0.02867,40974.53,1167.36
2018-03-14,0.0249,0.0263,0.0249,0.02556,39480.31,983.06
2018-03-15,0.0258,0.02638,0.02299,0.02505,7960.9,205.39
2018-03-16,0.02444,0.0256,0.02444,0.0256,15901.44,388.63
2018-03-17,0.01608,0.02326,0.01585,0.02326,53555.02,861.16
2018-03-18,0.01725,0.02128,0.01676,0.01676,63764.94,1099.95
2018-03-19,0.0263,0.02906,0.01725,0.02147,92132.64,2423.09
2018-03-20,0.03354,0.03738,0.02685,0.02721,83504.44,2800.74
2018-03-21,0.03475,0.04064,0.03208,0.03351,19935.64,692.76
2018-03-22,0.03281,0.03647,0.03193,0.03403,37345.62,1225.31
2018-03-23,0.03225,0.03619,0.03217,0.03395,23276.37,750.66
2018-03-24,0.03129,0.03419,0.03069,0.03086,25841.43,808.58
2018-03-25,0.03194,0.03389,0.0305,0.0311,67369.07,2151.77
2018-03-26,0.03114,0.03212,0.02959,0.03073,29440.95,916.79
2018-03-27,0.02897,0.03233,0.02827,0.02983,53642.04,1554.01
2018-03-28,0.02563,0.03088,0.02396,0.02953,31465.12,806.45
2018-03-29,0.02075,0.02629,0.01777,0.02288,25360.5,526.23
2018-03-30,0.02365,0.02488,0.01713,0.01713,31298.71,740.21
2018-03-31,0.02236,0.02396,0.0218,0.02396,21340.92,477.18
2018-04-01,0.02516,0.02522,0.02345,0.02358,26587.59,668.94
2018-04-02,0.02497,0.02603,0.02405,0.02603,6568.68,164.02
