time,close,high,low,open,volumefrom,volumeto
2018-04-09,0.2726,0.2986,0.2692,0.2919,90012.28,24537.35
2018-04-10,0.2741,0.2955,0.2693,0.2802,125463.43,34389.53
2018-04-11,0.2759,0.2982,0.2646,0.2982,129844.03,35823.97
2018-04-12,0.3279,0.3368,0.3013,0.3135,128629.64,42177.66
2018-04-13,0.3251,0.3397,0.3096,0.3267,266614.63,86676.42
2018-04-14,0.3633,0.3689,0.3331,0.3426,146786.74,53327.62
2018-04-15,0.4013,0.4146,0.3485,0.3793,114749.53,46048.99
2018-04-16,0.3761,0.4121,0.3679,0.3871,159625.85,60035.28
2018-04-17,0.3775,0.4119,0.3249,0.3486,197407.56,74521.35
2018-04-18,0.389,0.4095,0.3659,0.39,186931.27,72716.26
2018-04-19,0.3925,0.4103,0.3318,0.3943,293824.65,115326.18
2018-04-20,0.4194,0.4704,0.3792,0.4117,333378.55,139818.96
2018-04-21,0.4177,0.4379,0.4076,0.4222,89503.88,37385.77
2018-04-22,0.4202,0.4323,0.406,0.4125,140122.11,58879.31
2018-04-23,0.4454,0.4663,0.417,0.4271,261284.04,116375.91
2018-04-24,0.4879,0.5013,0.4586,0.4795,261942.89,127801.94
2018-04-25,0.4175,0.4484,0.4053,0.4484,170149.01,71037.21
2018-04-26,0.4417,0.4638,0.4316,0.4363,134144.04,59251.42
2018-04-27,0.4221,0.4451,0.4172,0.4254,160070.3,67565.67
2018-04-28,0.4381,0.4628,0.4374,0.4416,98565.04,43181.34
2018-04-29,0.4332,0.4518,0.4303,0.4407,141926.92,61482.74
2018-04-30,0.4578,0.4623,0.4231,0.4259,150117.49,68723.79
2018-05-01,0.4375,0.4514,0.4353,0.4493,101640.47,44467.71
2018-05-02,0.4384,0.4542,0.4348,0.445,181018.41,79358.47
2018-05-03,0.4172,0.4776,0.3898,0.458,179162.64,74746.65
2018-05-04,0.4122,0.4302,0.388,0.417,139762.19,57609.97
2018-05-05,0.4348,0.4431,0.3735,0.4135,126571.15,55033.14
2018-05-06,0.4147,0.4507,0.3859,0.4507,102438.09,42481.08
2018-05-07,0.4073,0.4117,0.3753,0.3898,88320.95,35973.12
2018-05-08,0.3884,0.3996,0.3697,0.3887,31422.61,12204.54
2018-05-09,0.4005,0.4086,0.3822,0.3936,109960.84,44039.32
