time,close,high,low,open,volumefrom,volumeto
2016-02-08,1.491e-05,1.863e-05,1.491e-05,1.491e-05,113214.72,1.69
2016-02-09,1.877e-05,2.252e-05,1.501e-05,1.501e-05,47495166.86,891.48
2016-02-10,2.673e-05,3.437e-05,1.909e-05,1.909e-05,53346742.77,1425.96
2016-02-11,3.415e-05,3.415e-05,2.277e-05,2.656e-05,26497380.16,904.89
2016-02-12,3.072e-05,3.456e-05,2.304e-05,3.456e-05,10981615.38,337.36
2016-02-13,3.901e-05,4.681e-05,3.121e-05,3.121e-05,50533712.47,1971.32
2016-02-14,3.65e-05,4.866e-05,3.244e-05,4.055e-05,2283713.21,83.36
2016-02-15,2.807e-05,4.011e-05,2.406e-05,3.61e-05,13444718.78,377.39
2016-02-16,3.658e-05,4.064e-05,2.845e-05,2.845e-05,9811764.4,358.91
2016-02-17,5.006e-05,6.674e-05,4.589e-05,6.674e-05,18574789.02,929.85
2016-02-18,8.428e-05,0.0001096,4.635e-05,5.057e-05,1018636286.91,85850.67
2016-02-19,9.66e-05,0.0001176,6.72e-05,8.4e-05,580817991.33,56107.02
2016-02-20,7.481e-05,0.0001012,6.601e-05,0.0001012,290407626.38,21725.39
2016-02-21,7.006e-05,8.757e-05,6.13e-05,7.444e-05,198896631.73,13934.7
2016-02-22,6.567e-05,7.442e-05,6.129e-05,7.005e-05,169787634.04,11149.95
2016-02-23,5.879e-05,7.138e-05,5.459e-05,6.298e-05,146328252.81,8602.64
2016-02-24,6.341e-05,6.341e-05,4.65e-05,5.918e-05,181794059.78,11527.56
2016-02-25,5.082e-05,6.352e-05,4.658e-05,6.352e-05,84876650.16,4313.43
2016-02-26,5.128e-05,5.555e-05,4.701e-05,5.128e-05,137538775.1,7052.99
2016-02-27,4.744e-05,5.607e-05,4.313e-05,5.176e-05,157691243.39,7480.87
2016-02-28,5.19e-05,5.622e-05,4.325e-05,4.757e-05,168680131.65,8754.5
2016-02-29,4.798e-05,5.671e-05,4.798e-05,5.235e-05,131085946.72,6289.5
2016-03-01,3.906e-05,5.208e-05,3.906e-05,4.774e-05,108026461.94,4219.51
2016-03-02,3.828e-05,4.679e-05,3.403e-05,3.828e-05,136469346.93,5224.05
2016-03-03,3.776e-05,4.615e-05,3.776e-05,3.776e-05,126251146.5,4767.24
2016-03-04,4.095e-05,4.504e-05,3.685e-05,3.685e-05,108068486.35,4425.4
2016-03-05,3.99e-05,4.389e-05,3.591e-05,3.99e-05,156316897.93,6237.04
2016-03-06,4.06e-05,4.466e-05,4.06e-05,4.06e-05,91911841.09,3731.62
2016-03-07,5.808e-05,6.223e-05,4.149e-05,4.149e-05,272513758.15,15827.6
2016-03-08,6.59e-05,6.59e-05,4.943e-05,5.767e-05,317137396.7,20899.35
2016-03-09,9.493e-05,0.0001156,6.191e-05,6.604e-05,689721770.01,65475.29
2016-03-10,0.0001206,0.0001372,7.901e-05,9.564e-05,492135284.17,59351.52
2016-03-11,0.000197,0.0002263,0.0001215,0.0001215,963011694.14,189713.3
2016-03-12,0.0001765,0.0002011,0.0001682,0.0001929,270046568.11,47663.22
2016-03-13,0.0001897,0.0002062,0.0001732,0.0001773,203160603.68,38539.57
2016-03-14,0.0001906,0.0002072,0.0001864,0.0001906,194858714.91,37140.07
2016-03-15,0.0001827,0.0001951,0.0001702,0.000191,180519697.28,32980.95
2016-03-16,0.000158,0.0001872,0.0001331,0.000183,359772097.19,56843.99
2016-03-17,0.0001254,0.0001631,9.618e-05,0.0001589,361287971.02,45305.51
2016-03-18,0.0001388,0.0001388,0.0001102,0.0001224,139757815.51,19398.38
2016-03-19,0.0001226,0.000139,0.0001185,0.000139,65802137.54,8067.34
2016-03-20,0.0001358,0.0001482,0.0001193,0.0001235,118996086.23,16159.67
2016-03-21,0.0001274,0.0001439,0.0001192,0.0001357,155915432.47,19863.63
2016-03-22,0.0001249,0.0001373,0.0001124,0.000129,82960518.46,10361.77
2016-03-23,0.0001168,0.0001251,0.0001084,0.0001251,115738387.83,13518.24
2016-03-24,9.539e-05,0.0001161,8.71e-05,0.0001161,192789450.57,18390.19
2016-03-25,0.0001372,0.0001621,7.483e-05,9.561e-05,844469757.97,115861.25
2016-03-26,0.0001208,0.0001416,0.0001125,0.0001374,198817296.66,24017.13
2016-03-27,0.0001274,0.0001401,0.0001231,0.0001231,78582671.27,10011.43
2016-03-28,0.0001309,0.0001731,0.0001013,0.0001267,441038057.59,57731.88
2016-03-29,0.0001287,0.0001411,0.0001203,0.0001287,71405672.71,9189.91
2016-03-30,0.0001237,0.000132,0.0001155,0.0001279,111975687.44,13851.39
2016-03-31,0.0001122,0.0001372,0.0001081,0.0001247,160292885.64,17984.86
2016-04-01,0.0001164,0.0001247,0.0001081,0.0001122,86374773.54,10054.02
2016-04-02,0.0001297,0.0001507,0.000113,0.0001172,248169600.11,32187.6
2016-04-03,0.0001257,0.0001299,0.0001215,0.0001299,12801581.19,1609.16
2016-04-04,0.0001132,0.0001174,0.0001048,0.0001132,117725.94,13.33
2016-04-05,0.000114,0.0001519,0.0001055,0.000114,4499125.69,512.9
2016-04-06,0.0001264,0.0001264,0.0001011,0.0001137,2198932.49,277.95
2016-04-07,0.0001681,0.0002227,0.000126,0.000126,1059275.51,178.06
2016-04-08,0.0001713,0.000213,0.0001671,0.0001671,258559.5,44.29
2016-04-09,0.0002174,0.0002257,0.0001714,0.0001714,85920.98,18.68
2016-04-10,0.0002101,0.0002101,0.0001723,0.0001723,36012.94,7.57
2016-04-11,0.0001981,0.0002023,0.0001096,0.000177,1013140.44,200.7
