time,close,high,low,open,volumefrom,volumeto
2018-01-18,0.02729,0.03039,0.02624,0.02684,6675478.9,182173.82
2018-01-19,0.03029,0.03112,0.02656,0.02795,5453065.94,165173.37
2018-01-20,0.03431,0.0368,0.03223,0.03359,7371434.21,252913.91
2018-01-21,0.02951,0.03135,0.02735,0.03128,3871420.46,114245.62
2018-01-22,0.02783,0.03199,0.02599,0.02812,18211558.76,506827.68
2018-01-23,0.02857,0.02991,0.02671,0.02741,13724222.86,392101.05
2018-01-24,0.05815,0.06902,0.02902,0.03081,42988002.0,2499752.32
2018-01-25,0.05335,0.06582,0.04604,0.05755,26092602.03,1392040.32
2018-01-26,0.04749,0.0537,0.03775,0.05347,17163791.97,815108.48
2018-01-27,0.04567,0.05293,0.04215,0.05023,7464988.91,340926.04
2018-01-28,0.04925,0.05072,0.04323,0.05072,10022350.54,493600.76
2018-01-29,0.04272,0.04686,0.04095,0.04679,5281604.56,225630.15
2018-01-30,0.03506,0.03918,0.03413,0.03884,7679880.09,269256.6
2018-01-31,0.03861,0.04018,0.03156,0.03663,96593435.52,3729472.55
2018-02-01,0.03386,0.03711,0.02812,0.03559,61319648.46,2076283.3
2018-02-02,0.02964,0.03177,0.02582,0.0293,41960226.48,1243701.11
2018-02-03,0.03137,0.03171,0.02935,0.03137,63873725.38,2003718.77
2018-02-04,0.0249,0.02692,0.02409,0.02674,63309627.92,1576409.74
2018-02-05,0.02014,0.02249,0.01962,0.02082,54968344.56,1107062.46
2018-02-06,0.02352,0.02548,0.02277,0.02277,57332472.01,1348459.74
2018-02-07,0.02338,0.02461,0.02238,0.02252,65306277.83,1526860.78
2018-02-08,0.02441,0.02583,0.02406,0.02542,61682035.03,1505658.48
2018-02-09,0.02543,0.02711,0.02535,0.0262,62038507.47,1577639.24
2018-02-10,0.02493,0.02603,0.02426,0.02465,28949681.39,721715.56
2018-02-11,0.02335,0.02413,0.02305,0.02385,27283492.23,637069.54
2018-02-12,0.02494,0.02544,0.02431,0.0249,29907435.54,745891.44
2018-02-13,0.02448,0.02475,0.02314,0.02422,27793777.24,680391.67
2018-02-14,0.02661,0.028,0.02657,0.02669,30236841.82,804602.36
2018-02-15,0.02694,0.02777,0.02636,0.02684,28771084.27,775093.01
2018-02-16,0.02801,0.02971,0.02722,0.02732,28746100.6,805178.28
2018-02-17,0.03274,0.03284,0.02907,0.02911,33206349.32,1087175.88
2018-02-18,0.0309,0.03506,0.02749,0.0307,43538763.81,1345347.8
2018-02-19,0.03034,0.03204,0.02966,0.03177,30823286.62,935178.52
2018-02-20,0.02669,0.02933,0.02611,0.02855,29781507.51,794868.44
2018-02-21,0.02362,0.02544,0.02268,0.02532,29515866.3,697164.76
2018-02-22,0.02365,0.02572,0.02209,0.02263,28578772.6,675887.97
2018-02-23,0.0238,0.02551,0.02261,0.02512,27561127.4,655954.83
2018-02-24,0.02207,0.0233,0.02085,0.02321,27979487.9,617507.3
2018-02-25,0.02034,0.02276,0.02005,0.02238,30281085.24,615917.27
2018-02-26,0.0212,0.02247,0.01871,0.02101,22411134.99,475116.06
2018-02-27,0.02187,0.02277,0.02038,0.0213,26576664.82,581231.66
2018-02-28,0.01972,0.0217,0.0196,0.02129,25707930.57,506960.39
2018-03-01,0.02075,0.02087,0.01994,0.02015,25733659.31,533973.43
2018-03-02,0.01945,0.02227,0.01907,0.02039,31318561.12,609146.01
2018-03-03,0.02012,0.02145,0.01939,0.01945,28648853.03,576414.92
2018-03-04,0.02126,0.02158,0.02006,0.0204,25542892.7,543041.9
2018-03-05,0.02017,0.02124,0.01912,0.02089,29760895.39,600277.26
2018-03-06,0.01865,0.01949,0.01856,0.01937,27556662.46,513931.75
2018-03-07,0.01277,0.01778,0.01081,0.01718,37489399.69,478739.63
2018-03-08,0.01075,0.01359,0.01031,0.01188,42937566.86,461578.84
2018-03-09,0.01174,0.01199,0.0109,0.01121,35905743.46,421533.43
2018-03-10,0.01087,0.01152,0.01061,0.01102,30476337.8,331277.79
2018-03-11,0.01214,0.01225,0.01124,0.01148,31281593.7,379758.55
2018-03-12,0.01135,0.01186,0.01113,0.01174,64691394.47,734247.33
2018-03-13,0.01172,0.01366,0.01123,0.01123,36417477.19,426812.83
2018-03-14,0.01044,0.01073,0.01028,0.01044,103914116.21,1084863.37
2018-03-15,0.0102,0.01052,0.00983,0.01043,90213211.46,920174.76
2018-03-16,0.01031,0.01067,0.009909,0.01003,91607522.91,944473.56
2018-03-17,0.01002,0.01045,0.00928,0.009451,85699201.47,858706.0
2018-03-18,0.009823,0.0102,0.009404,0.009813,110461642.17,1085064.71
2018-03-19,0.01098,0.01101,0.009822,0.01007,68299555.41,749929.12
2018-03-20,0.01149,0.0117,0.01101,0.01103,66018437.35,758551.85
2018-03-21,0.01175,0.01188,0.01114,0.01158,61337630.64,720717.16
2018-03-22,0.0124,0.01245,0.01103,0.01128,70046935.06,868581.99
2018-03-23,0.01256,0.01275,0.01196,0.01249,73634719.55,924852.08
2018-03-24,0.01276,0.01449,0.01049,0.01203,87099530.08,1111390.0
2018-03-25,0.01339,0.01447,0.01221,0.01288,75973860.01,1017289.99
2018-03-26,0.01299,0.01336,0.01196,0.01247,78349904.52,1017765.26
2018-03-27,0.01188,0.01233,0.01154,0.01194,63614141.45,755736.0
2018-03-28,0.01368,0.01538,0.01145,0.01177,114403351.8,1565037.85
2018-03-29,0.01107,0.01183,0.01036,0.01176,101402496.13,1122525.63
2018-03-30,0.01058,0.0114,0.01004,0.01135,99851339.19,1056427.17
2018-03-31,0.0103,0.01069,0.01012,0.01056,99932786.45,1029307.7
2018-04-01,0.009532,0.01007,0.009198,0.009903,111941851.74,1067029.73
2018-04-02,0.009771,0.009786,0.009429,0.009625,104091722.97,1017080.23
2018-04-03,0.01045,0.01064,0.01034,0.01056,90662036.47,947418.28
2018-04-04,0.009943,0.011,0.009474,0.009515,95166134.5,946236.88
2018-04-05,0.009854,0.01014,0.009656,0.01,96243157.01,948380.07
2018-04-06,0.009577,0.009799,0.009403,0.009585,98654973.62,944818.68
2018-04-07,0.01011,0.01043,0.009782,0.009952,95949734.59,970051.82
2018-04-08,0.01045,0.01105,0.01041,0.01055,92345720.25,965012.78
2018-04-09,0.01008,0.01064,0.009848,0.0104,88937348.95,896488.48
2018-04-10,0.01019,0.01059,0.01015,0.0105,85843685.07,874747.15
2018-04-11,0.01073,0.01089,0.0105,0.01054,90426666.05,970278.13
2018-04-12,0.01224,0.01305,0.012,0.01232,87836124.64,1075114.17
2018-04-13,0.01208,0.01258,0.01103,0.01226,103694154.01,1252625.38
2018-04-14,0.01188,0.01256,0.01184,0.01226,73785417.26,876570.76
2018-04-15,0.01226,0.01277,0.01216,0.01262,84526352.65,1036293.08
2018-04-16,0.01086,0.01196,0.01041,0.01175,89523160.38,972221.52
2018-04-17,0.01214,0.01331,0.01063,0.01067,96061212.1,1166183.11
2018-04-18,0.01252,0.01352,0.0124,0.01268,55004542.84,688656.88
2018-04-19,0.01591,0.01648,0.01308,0.01351,94101641.67,1497157.12
2018-04-20,0.01722,0.01851,0.01564,0.01732,244552299.82,4211190.6
2018-04-21,0.01563,0.01816,0.01474,0.01689,654737739.82,10233550.87
2018-04-22,0.01751,0.01962,0.0157,0.01605,362180290.19,6341776.88
2018-04-23,0.0196,0.02254,0.01782,0.01815,113169245.27,2218117.21
2018-04-24,0.01934,0.02156,0.01895,0.0214,70803996.92,1369349.3
2018-04-25,0.01674,0.01882,0.01513,0.01698,69473870.4,1162992.59
2018-04-26,0.01718,0.01818,0.01661,0.01793,60869217.69,1045733.16
2018-04-27,0.01593,0.01706,0.0155,0.01671,38953588.16,620530.66
2018-04-28,0.01775,0.01776,0.01578,0.01691,30691914.48,544781.48
