time,close,high,low,open,volumefrom,volumeto
2017-08-11,0.06687,0.4444,0.06687,0.0695,39437.24,2994.43
2017-08-12,0.1625,0.183,0.06687,0.06687,6232.81,765.38
2017-08-13,0.19,0.388,0.125,0.1625,10382.08,1885.11
2017-08-14,0.32,0.33,0.131,0.19,7936.82,1788.88
2017-08-15,1.0,1.8,0.32,0.32,3467.8,2905.58
2017-08-16,0.69,1.0,0.16,1.0,44280.8,11957.42
2017-08-17,0.5,0.98,0.4101,0.69,17158.96,12290.31
2017-08-18,0.319,0.74,0.2616,0.5,14587.3,5111.51
2017-08-19,0.68,0.78,0.271,0.319,20437.63,10193.49
2017-08-20,0.54,0.72,0.425,0.68,61683.9,30611.49
2017-08-21,0.4,0.59,0.3612,0.54,33388.75,14476.76
2017-08-22,0.4035,0.4451,0.31,0.4,22075.78,8599.48
2017-08-23,0.4164,0.54,0.345,0.4035,26322.75,10880.11
2017-08-24,0.3948,0.449,0.3142,0.4164,52451.64,18995.64
2017-08-25,0.3555,0.4316,0.25,0.3948,35988.76,13156.15
2017-08-26,0.3512,0.4,0.31,0.3555,25902.39,9160.13
2017-08-27,0.3592,0.3673,0.3257,0.3512,44229.83,15427.36
2017-08-28,0.355,0.3676,0.2801,0.3592,22302.99,7386.97
2017-08-29,0.378,0.3878,0.29,0.355,22262.19,7746.54
2017-08-30,0.3368,0.391,0.326,0.378,17661.53,6196.62
2017-08-31,0.36,0.39,0.2951,0.3368,36114.03,12349.92
2017-09-01,0.3632,0.4702,0.333,0.36,22162.53,8236.29
2017-09-02,0.3155,0.4,0.3,0.3632,20205.59,6624.4
2017-09-03,0.2736,0.3666,0.2,0.3049,23936.26,7092.41
2017-09-04,0.2529,0.2981,0.2,0.2736,19497.15,4813.21
2017-09-05,0.2369,0.2699,0.2001,0.2626,11290.44,2619.08
2017-09-06,0.2621,0.284,0.2156,0.2442,16061.52,4089.99
2017-09-07,0.3041,0.3362,0.2406,0.2621,42295.69,12160.21
2017-09-08,0.2598,0.3479,0.2121,0.3041,37540.71,10592.18
2017-09-09,0.2483,0.275,0.228,0.2598,24093.58,6057.36
2017-09-10,0.23,0.27,0.11,0.2483,24805.53,5730.13
2017-09-11,0.2672,0.32,0.22,0.23,26107.07,6825.51
2017-09-12,0.2534,0.304,0.251,0.2672,28261.67,7921.41
2017-09-13,0.2321,0.2832,0.201,0.2534,27697.36,6488.44
2017-09-14,0.1699,0.2374,0.136,0.2321,40179.85,7969.76
2017-09-15,0.1924,0.2231,0.131,0.1699,42408.85,7540.78
2017-09-16,0.1969,0.2489,0.131,0.1924,35398.42,6954.44
2017-09-17,0.2013,0.2121,0.1821,0.1969,36609.76,7374.2
2017-09-18,0.2331,0.251,0.2007,0.2013,35555.39,8093.84
2017-09-19,0.2041,0.2487,0.2019,0.2423,45081.24,10111.55
2017-09-20,0.2111,0.2237,0.1939,0.2041,38831.9,8052.38
2017-09-21,0.1793,0.2189,0.158,0.2111,83276.08,15340.82
2017-09-22,0.1798,0.19,0.1588,0.1793,48282.21,8538.52
2017-09-23,0.1877,0.2,0.1593,0.1798,51903.89,9738.42
2017-09-24,0.1614,0.1991,0.1521,0.1877,53511.01,9381.41
2017-09-25,0.205,0.21,0.1567,0.1614,48630.81,8737.34
2017-09-26,0.1937,0.215,0.17,0.205,52037.28,10102.81
2017-09-27,0.2354,0.26,0.1867,0.1937,51536.22,11172.77
2017-09-28,0.2113,0.2467,0.1972,0.2354,37658.96,8326.45
2017-09-29,0.2122,0.2232,0.1778,0.2113,41217.27,8630.45
2017-09-30,0.2152,0.2339,0.2049,0.2122,35650.91,7735.3
2017-10-01,0.206,0.2257,0.1999,0.2152,34950.03,7501.59
2017-10-02,0.2022,0.2249,0.1954,0.206,35786.88,7399.03
2017-10-03,0.1926,0.2053,0.163,0.2022,47237.62,9027.39
2017-10-04,0.1775,0.2038,0.1666,0.1926,45554.52,8573.57
2017-10-05,0.1971,0.2,0.1727,0.1775,39346.11,7292.24
2017-10-06,0.2042,0.2151,0.1723,0.1971,76467.16,14776.58
2017-10-07,0.1881,0.2115,0.1809,0.2042,45053.97,8786.41
2017-10-08,0.1924,0.21,0.17,0.1881,53235.41,10323.89
