time,Open,High,Low,close,volumeto,Market Cap
2016-11-29,0.082834,0.082913,0.082139,0.082171,5138,
2016-11-30,0.082247,0.085354,0.033498,0.08425,22801,
2016-12-01,0.084247,0.085754,0.080593,0.08499,5270,
2016-12-02,0.085077,0.08818,0.082472,0.086726,11328,
2016-12-03,0.086786,0.086786,0.080166,0.08557,5774,
2016-12-04,0.08557,0.086388,0.079122,0.083314,10464,
2016-12-05,0.083352,0.087209,0.079535,0.083052,14211,
2016-12-06,0.083057,0.086967,0.078336,0.081618,6513,
2016-12-07,0.081616,0.08705,0.078813,0.081386,4781,
2016-12-08,0.081423,0.085722,0.078372,0.081421,11960,
2016-12-09,0.08121,0.086691,0.077794,0.078897,9525,
2016-12-10,0.07892,0.087159,0.078604,0.083994,7298,
2016-12-11,0.084004,0.08637,0.077355,0.082822,11790,
2016-12-12,0.082855,0.08592,0.078776,0.080362,7975,
2016-12-13,0.08042,0.087055,0.078382,0.082567,18925,
2016-12-14,0.082567,0.087146,0.078157,0.080969,11344,
2016-12-15,0.080969,0.083687,0.078024,0.079689,6689,
2016-12-16,0.079778,0.085181,0.078337,0.081557,6313,722916
2016-12-17,0.081584,0.08477,0.079253,0.081471,13190,722150
2016-12-18,0.08149,0.086867,0.078975,0.080852,9531,716665
2016-12-19,0.080869,0.085252,0.079153,0.083038,10396,736042
2016-12-20,0.082989,0.086162,0.07921,0.083275,9359,738137
2016-12-21,0.083255,0.086324,0.080607,0.085334,6657,969821
2016-12-22,0.085323,0.08924,0.074999,0.077153,32599,973900
2016-12-23,0.077156,0.09118,0.075589,0.084747,4527,1101574
2016-12-24,0.084765,0.090895,0.066577,0.087893,7631,1142479
2016-12-25,0.088004,0.088004,0.062588,0.077298,10658,1004786
2016-12-26,0.077361,0.08239,0.066363,0.072603,9819,943767
2016-12-27,0.072603,0.091094,0.060764,0.06893,20235,986709
2016-12-28,0.069091,0.080179,0.053452,0.080077,17522,1158225
2016-12-29,0.080012,0.080012,0.059497,0.06928,8845,1029452
2016-12-30,0.06928,0.075105,0.066347,0.069374,16982,1056896
2016-12-31,0.06933,0.073213,0.067167,0.069853,1982,1064211
2017-01-01,0.069857,0.076255,0.06903,0.074771,5497,1139158
2017-01-02,0.074793,0.076816,0.071466,0.073973,15781,1127027
2017-01-03,0.073973,0.078533,0.07173,0.073552,9442,1217375
2017-01-04,0.073592,0.078575,0.073592,0.078258,8074,1317838
2017-01-05,0.078393,0.087073,0.045053,0.067258,6130,1162055
2017-01-06,0.067315,0.069331,0.056856,0.060895,1790,1074973
2017-01-07,0.060982,0.060982,0.050648,0.053847,2929,968912
2017-01-08,0.053823,0.062528,0.053248,0.059341,1518,1067806
2017-01-09,0.059474,0.063631,0.028105,0.030608,3090,550775
2017-01-10,0.030594,0.063697,0.030584,0.045893,6072,886202
2017-01-11,0.045893,0.054293,0.033562,0.036196,4878,704362
2017-01-12,0.035754,0.049989,0.034669,0.036796,5720,730752
2017-01-13,0.036745,0.054232,0.034317,0.035354,3759,720142
2017-01-14,0.035403,0.050024,0.03351,0.033769,6941,717490
2017-01-15,0.033745,0.044919,0.032414,0.034494,4043,789748
2017-01-16,0.034492,0.040844,0.029539,0.040827,5247,947123
2017-01-17,0.040798,0.045698,0.033128,0.038821,5829,951691
2017-01-18,0.038883,0.052405,0.029833,0.046238,15213,1140429
2017-01-19,0.046238,0.049769,0.043943,0.049166,6259,1239579
2017-01-20,0.049097,0.049336,0.043417,0.044505,5077,1144575
2017-01-21,0.044505,0.048774,0.04323,0.046345,12161,1199289
2017-01-22,0.046365,0.048142,0.039219,0.046901,5960,1222216
2017-01-23,0.046997,0.047232,0.04131,0.042568,7584,1109339
2017-01-24,0.042064,0.046622,0.038962,0.041619,5099,1139363
2017-01-25,0.041583,0.04518,0.034591,0.036055,14816,999428
2017-01-26,0.036089,0.043916,0.036082,0.041072,5557,1160994
2017-01-27,0.041072,0.045858,0.041072,0.044728,3785,1286977
2017-01-28,0.044555,0.046326,0.037243,0.042047,6486,1216563
2017-01-29,0.041836,0.045028,0.03838,0.039853,6862,1160343
2017-01-30,0.03987,0.044816,0.036843,0.039483,5399,1149616
2017-01-31,0.037934,0.044468,0.036996,0.041741,5158,1270295
2017-02-01,0.041741,0.041873,0.036566,0.037018,5660,1139283
2017-02-02,0.03701,0.042139,0.03701,0.038537,8662,1207155
2017-02-03,0.039056,0.041969,0.034956,0.0409,5108,1301866
2017-02-04,0.041023,0.041393,0.03492,0.037283,3547,1192704
2017-02-05,0.037305,0.054676,0.037305,0.048339,16441,1559946
2017-02-06,0.050361,0.050857,0.039147,0.04678,5108,1509705
2017-02-07,0.046473,0.050856,0.034881,0.038918,8217,1307175
2017-02-08,0.039323,0.051626,0.036031,0.041595,7475,1411389
