time,Open,High,Low,close,volumeto,Market Cap
2014-08-09,2.3e-05,2.3e-05,1.8e-05,2e-05,174,179495
2014-08-10,2e-05,2.3e-05,1.6e-05,2.1e-05,366,182688
2014-08-11,2.1e-05,2.2e-05,1.7e-05,2.1e-05,501,182966
2014-08-12,2.1e-05,2.2e-05,1.6e-05,2e-05,415,177021
2014-08-13,2e-05,2e-05,1.5e-05,1.8e-05,535,163357
2014-08-14,1.8e-05,1.9e-05,1.5e-05,1.5e-05,334,134401
2014-08-15,1.5e-05,1.9e-05,1.2e-05,1.7e-05,442,154992
2014-08-16,1.8e-05,1.8e-05,1.1e-05,1.2e-05,301,103673
2014-08-17,1.2e-05,2e-05,1.1e-05,2e-05,317,173780
2014-08-18,2e-05,2e-05,1.4e-05,1.8e-05,552,160449
2014-08-19,1.8e-05,1.9e-05,1.7e-05,1.9e-05,415,169374
2014-08-20,1.9e-05,1.9e-05,1.2e-05,1.5e-05,202,136897
2014-08-21,1.5e-05,1.6e-05,1.3e-05,1.4e-05,144,123033
2014-08-22,1.4e-05,1.5e-05,8e-06,8e-06,143,75338
2014-08-23,8e-06,1.5e-05,8e-06,1.4e-05,95,125411
2014-08-24,1.4e-05,1.5e-05,8e-06,1.5e-05,216,136463
2014-08-25,1.5e-05,1.5e-05,1.3e-05,1.5e-05,127,135039
2014-08-26,1.5e-05,1.5e-05,1.2e-05,1.5e-05,318,137606
2014-08-27,1.5e-05,1.5e-05,1e-05,1.4e-05,172,125449
2014-08-28,1.4e-05,1.5e-05,5e-06,1.3e-05,2413,121042
2014-08-29,1.3e-05,1.6e-05,6e-06,1.5e-05,4740,135550
2014-08-30,1.5e-05,1.5e-05,1e-05,1.5e-05,153,131738
2014-08-31,1.5e-05,1.5e-05,5e-06,1.4e-05,2507,127629
2014-09-01,1.4e-05,1.4e-05,5e-06,5e-06,151,49041
2014-09-02,5e-06,1.4e-05,5e-06,8e-06,170,68858
2014-09-03,8e-06,1.4e-05,7e-06,1.4e-05,170,129514
2014-09-04,1.4e-05,1.4e-05,8e-06,1.1e-05,373,98940
2014-09-05,9e-06,1.4e-05,5e-06,1e-05,2850,87562
2014-09-06,1e-05,1e-05,5e-06,1e-05,554,87902
2014-09-07,1e-05,1e-05,5e-06,9e-06,49,80551
2014-09-08,9e-06,1e-05,6e-06,9e-06,36,86238
2014-09-09,9e-06,1e-05,8e-06,1e-05,168,86443
2014-09-10,1e-05,1e-05,5e-06,9e-06,776,81739
2014-09-11,9e-06,1e-05,5e-06,5e-06,90,43996
2014-09-12,5e-06,1e-05,5e-06,1e-05,348,87154
2014-09-13,1e-05,1e-05,5e-06,9e-06,389,79269
2014-09-14,9e-06,1e-05,6e-06,1e-05,35,87347
2014-09-15,1e-05,1e-05,6e-06,6e-06,20,58445
2014-09-16,6e-06,1e-05,5e-06,9e-06,41,85365
2014-09-17,9e-06,9e-06,5e-06,9e-06,11,82818
2014-09-18,9e-06,9e-06,4e-06,7e-06,18,65196
2014-09-19,7e-06,8e-06,5e-06,8e-06,23,72532
2014-09-20,8e-06,8e-06,7e-06,8e-06,34,75205
2014-09-21,8e-06,8e-06,4e-06,4e-06,72,39500
2014-09-22,4e-06,8e-06,4e-06,8e-06,101,74117
2014-09-23,8e-06,8e-06,4e-06,4e-06,33,40198
2014-09-24,4e-06,8e-06,4e-06,8e-06,226,76641
2014-09-25,8e-06,8e-06,4e-06,8e-06,25,75211
2014-09-26,8e-06,8e-06,4e-06,6e-06,22,52582
2014-09-27,6e-06,8e-06,4e-06,7e-06,43,61469
2014-09-28,7e-06,8e-06,4e-06,6e-06,14,57278
2014-09-29,6e-06,8e-06,4e-06,8e-06,35,69687
2014-09-30,8e-06,8e-06,4e-06,8e-06,335,71358
2014-10-01,8e-06,8e-06,6e-06,8e-06,38,71338
2014-10-02,8e-06,8e-06,4e-06,4e-06,16,34909
2014-10-03,4e-06,5e-06,4e-06,5e-06,17,42444
2014-10-04,5e-06,6e-06,3e-06,3e-06,27,31822
2014-10-05,3e-06,6e-06,3e-06,5e-06,244,48415
2014-10-06,5e-06,7e-06,3e-06,7e-06,46,61692
2014-10-07,7e-06,9e-06,4e-06,4e-06,247,34098
2014-10-08,4e-06,7e-06,3e-06,7e-06,219,66094
2014-10-09,7e-06,8e-06,5e-06,6e-06,26,55636
2014-10-10,6e-06,1.1e-05,4e-06,7e-06,702,67841
2014-10-11,7e-06,7e-06,4e-06,7e-06,269,68049
2014-10-12,7e-06,8e-06,4e-06,5e-06,12,50031
2014-10-13,5e-06,8e-06,4e-06,8e-06,76,70869
2014-10-14,8e-06,8e-06,7e-06,8e-06,109,75516
2014-10-15,8e-06,8e-06,8e-06,8e-06,143,74442
2014-10-16,8e-06,8e-06,4e-06,5e-06,9,48420
2014-10-17,5e-06,8e-06,4e-06,8e-06,19,72500
2014-10-18,8e-06,8e-06,4e-06,6e-06,29,57193
2014-10-19,6e-06,8e-06,5e-06,6e-06,57,53418
2014-10-20,6e-06,8e-06,5e-06,8e-06,37,72539
2014-10-21,8e-06,8e-06,4e-06,6e-06,44,59014
2014-10-22,6e-06,6e-06,4e-06,5e-06,29,49730
2014-10-23,5e-06,6e-06,4e-06,4e-06,19,35731
2014-10-24,4e-06,7e-06,4e-06,5e-06,19,46663
2014-10-25,5e-06,7e-06,3e-06,5e-06,19,46554
2014-10-26,5e-06,7e-06,4e-06,4e-06,13,34060
2014-10-27,4e-06,7e-06,4e-06,5e-06,44,43871
2014-10-28,5e-06,7e-06,4e-06,5e-06,62,44202
2014-10-29,5e-06,7e-06,3e-06,4e-06,34,38271
2014-10-30,4e-06,6e-06,3e-06,4e-06,25,35545
2014-10-31,4e-06,6e-06,3e-06,5e-06,48,49671
