time,Open,High,Low,close,volumeto,Market Cap
2018-08-02,0.000151,0.000151,0.000151,0.000151,4992,
2018-08-03,0.000151,0.000151,7.3e-05,0.000148,42964,
2018-08-04,0.000148,0.00015,7e-05,0.00014,17841,
2018-08-05,0.00014,0.000141,6.9e-05,7e-05,1419,
2018-08-06,7.1e-05,0.000142,6.9e-05,6.9e-05,36821,
2018-08-07,6.9e-05,0.000143,6.9e-05,0.000134,58937,
2018-08-08,0.000135,0.000135,6.2e-05,0.000125,42958,
2018-08-09,0.000126,0.000132,6.2e-05,6.5e-05,13918,
2018-08-10,6.5e-05,0.000143,6.1e-05,0.000143,44328,
2018-08-11,0.000143,0.000143,8.3e-05,9e-05,30721,
2018-08-12,9e-05,0.000104,8.3e-05,8.8e-05,1113,
2018-08-13,8.8e-05,9.4e-05,7e-05,7.4e-05,40039,
2018-08-14,7.4e-05,7.4e-05,6.2e-05,6.3e-05,9048,
2018-08-15,6.3e-05,6.6e-05,6.3e-05,6.3e-05,1010,
2018-08-16,6.3e-05,9.9e-05,4.1e-05,9.5e-05,3097,
2018-08-17,9.5e-05,9.5e-05,5.2e-05,5.4e-05,451,
2018-08-18,5.4e-05,7e-05,2.2e-05,5e-05,40271,
2018-08-19,5e-05,7.3e-05,4.8e-05,5.8e-05,69295,
2018-08-20,5.8e-05,6.8e-05,4.4e-05,4.4e-05,39253,
2018-08-21,4.4e-05,6.5e-05,4.3e-05,5.8e-05,24519,
2018-08-22,5.8e-05,9e-05,5.4e-05,7.1e-05,42879,
2018-08-23,7.2e-05,9.3e-05,5.7e-05,5.7e-05,20789,
2018-08-24,5.7e-05,6.8e-05,5.5e-05,6.3e-05,24760,
2018-08-25,6.3e-05,7.7e-05,6e-05,6e-05,25430,
2018-08-26,6e-05,6.4e-05,4.7e-05,5.5e-05,6593,
2018-08-27,5.5e-05,5.8e-05,4.9e-05,5.4e-05,21533,
2018-08-28,5.5e-05,6e-05,4.7e-05,5.8e-05,73944,
2018-08-29,5.7e-05,7.1e-05,5.6e-05,6.6e-05,90692,
