time,Open,High,Low,close,volumeto,Market Cap
2017-11-13,0.295069,0.407836,0.258967,0.38111,804423,
2017-11-14,0.381092,0.424457,0.3182,0.347918,629681,10737780
2017-11-15,0.348108,0.350335,0.192535,0.304445,420267,9396074
2017-11-16,0.304207,0.312366,0.21408,0.244363,199456,7541766
2017-11-17,0.242911,0.278914,0.206157,0.213824,134155,6599242
2017-11-18,0.205205,0.24733,0.191542,0.200681,72224,6193610
2017-11-19,0.200163,0.212624,0.124988,0.163014,88422,5031095
2017-11-20,0.168344,0.169677,0.135382,0.149287,99474,4607439
2017-11-21,0.143273,0.166713,0.124739,0.149318,83210,4608396
2017-11-22,0.149521,0.274717,0.148859,0.274717,279860,8484034
2017-11-23,0.273154,0.342167,0.254163,0.31699,289224,9789543
2017-11-24,0.319781,0.392907,0.319781,0.341692,314288,10552411
2017-11-25,0.34519,0.477772,0.32129,0.455754,554364,14074966
2017-11-26,0.456665,0.480677,0.39529,0.421542,465061,13144866
2017-11-27,0.42379,0.46001,0.362046,0.419145,309594,13070121
2017-11-28,0.419281,0.429506,0.329431,0.329431,268614,10272586
2017-11-29,0.3389,0.37787,0.226314,0.251656,180594,7847342
2017-11-30,0.257453,0.435526,0.257453,0.426453,266014,13298005
2017-12-01,0.423972,0.423972,0.268824,0.305828,297701,9536578
2017-12-02,0.305753,0.345381,0.233306,0.267186,179590,8331611
2017-12-03,0.264337,0.363448,0.247213,0.338182,166717,10545466
2017-12-04,0.372897,0.418356,0.363659,0.391171,420285,12197813
2017-12-05,0.391562,0.412835,0.33695,0.354295,212249,11047915
2017-12-06,0.353601,0.390295,0.275696,0.291262,196238,9082369
2017-12-07,0.296394,0.36632,0.273545,0.366157,163454,11417806
2017-12-08,0.364067,0.474097,0.302039,0.362516,229022,11304269
2017-12-09,0.362341,0.410827,0.327534,0.36271,155437,11310318
2017-12-10,0.364131,0.378569,0.31117,0.347697,196458,10842171
2017-12-11,0.345451,0.380599,0.311229,0.349678,182193,10903944
2017-12-12,0.350328,0.370626,0.304457,0.315761,220169,9846317
2017-12-13,0.316012,0.332128,0.275747,0.312804,200735,9754109
2017-12-14,0.31204,0.491455,0.24056,0.317605,209679,9903818
2017-12-15,0.318051,0.339499,0.308887,0.311504,145905,9713571
2017-12-16,0.311788,0.373305,0.294026,0.340246,194632,10609828
2017-12-17,0.339792,0.383058,0.301439,0.362644,211488,11308260
2017-12-18,0.363368,0.391161,0.29312,0.391161,238518,12197501
2017-12-19,0.386743,0.755998,0.375096,0.54381,685473,16957526
2017-12-20,0.551431,0.562965,0.468969,0.504067,356993,15718228
2017-12-21,0.504192,0.910943,0.504192,0.799492,918230,24930410
2017-12-22,0.802294,0.816698,0.554347,0.636572,524574,19850106
2017-12-23,0.63191,0.860768,0.6299,0.765624,615576,23911585
2017-12-24,0.774349,0.82903,0.716438,0.817865,334848,25543395
2017-12-25,0.816129,1.47,0.805263,1.31,766441,40838911
2017-12-26,1.12,1.47,1.05,1.43,624886,44733878
2017-12-27,1.41,1.47,1.17,1.21,472569,37745129
2017-12-28,1.21,1.29,0.95831,1.14,351097,35502266
2017-12-29,1.21,1.27,1.0,1.08,483200,33606318
2017-12-30,1.09,1.11,0.937933,1.01,393137,31663754
2017-12-31,1.0,1.18,0.968661,1.1,319744,34287173
2018-01-01,1.11,1.31,1.01,1.24,349832,38589760
2018-01-02,1.24,1.42,1.18,1.29,580804,40349703
2018-01-03,1.33,1.58,1.21,1.58,644407,49311062
2018-01-04,1.59,2.03,1.42,1.94,944828,60573754
2018-01-05,1.94,2.92,1.87,2.14,1442860,66926500
2018-01-06,2.17,2.68,2.17,2.68,830794,83730041
2018-01-07,2.63,4.18,2.48,4.11,1923740,128781986
2018-01-08,4.11,5.8,3.52,5.25,2979590,164248093
2018-01-09,5.21,5.44,4.12,4.58,1879520,143351871
2018-01-10,4.71,4.89,3.8,4.19,2049300,131147124
2018-01-11,3.86,4.15,3.02,3.31,1294660,103603101
2018-01-12,3.4,3.99,3.27,3.49,1257380,109366010
2018-01-13,3.49,3.56,2.43,3.08,1072730,96484212
2018-01-14,3.05,4.39,2.62,3.04,1473350,95053423
2018-01-15,3.02,3.43,2.55,2.55,588485,79887558
2018-01-16,2.56,5.61,2.31,2.46,3845500,76961185
2018-01-17,2.65,3.82,2.07,3.32,1494440,103805900
2018-01-18,3.37,3.58,2.72,3.07,754780,96183620
2018-01-19,3.02,3.32,2.78,2.94,559994,91891333
2018-01-20,2.95,3.34,2.63,2.95,699834,92203738
2018-01-21,2.94,3.28,2.36,2.75,586188,86185395
2018-01-22,2.74,2.91,2.06,2.24,401327,70048621
2018-01-23,2.36,2.8,2.13,2.45,570818,76771599
2018-01-24,2.45,2.72,2.28,2.64,504108,82665982
2018-01-25,2.67,3.16,2.58,2.96,1019520,92655756
2018-01-26,2.95,3.09,2.48,2.75,356186,86102754
2018-01-27,2.8,2.83,2.51,2.64,266766,82500388
2018-01-28,2.65,3.08,2.39,2.58,709537,80741890
2018-01-29,2.58,2.81,2.29,2.47,535254,77378831
2018-01-30,2.47,2.6,1.82,2.09,569116,65571970
2018-01-31,2.12,2.35,1.9,2.12,622910,66285403
2018-02-01,2.12,2.18,1.52,1.79,531557,56114522
2018-02-02,1.84,1.84,1.12,1.39,555575,43657776
2018-02-03,1.55,2.01,1.36,1.76,346487,55110895
2018-02-04,1.72,1.74,1.29,1.29,220141,40227100
2018-02-05,1.29,1.39,0.800976,1.13,504149,35326670
2018-02-06,1.22,1.6,0.822254,1.6,414192,50088377
2018-02-07,1.6,1.81,1.24,1.26,324861,39440750
