time,Open,High,Low,close,volumeto,Market Cap
2018-11-06,0.04209,0.048851,0.039207,0.039281,3654,
2018-11-07,0.03937,0.059052,0.03911,0.048818,5817,1573217
2018-11-08,0.048797,0.051885,0.042425,0.042425,5401,1367192
2018-11-09,0.042407,0.050383,0.042009,0.042009,4543,1353796
2018-11-10,0.048,0.048269,0.03977,0.042382,1557,1365816
2018-11-11,0.042322,0.044802,0.039626,0.044802,1309,1443790
2018-11-12,0.044908,0.045015,0.033562,0.03372,2729,1086654
2018-11-13,0.033707,0.038086,0.033707,0.037901,2979,1221417
2018-11-14,0.037874,0.037973,0.030238,0.031119,1182,1002834
2018-11-15,0.03124,0.031647,0.024286,0.026798,2046,863582
2018-11-16,0.026853,0.036015,0.026634,0.035357,732,1139425
2018-11-17,0.035329,0.035464,0.026685,0.034724,1216,1119009
2018-11-18,0.034716,0.034917,0.024796,0.026915,2345,867375
2018-11-19,0.026969,0.026969,0.021788,0.02216,924,714124
2018-11-20,0.022025,0.033287,0.019207,0.01987,4747,640333
2018-11-21,0.019955,0.023718,0.019144,0.023528,57,758219
2018-11-22,0.023512,0.023664,0.018145,0.018145,670,584743
2018-11-23,0.018019,0.024799,0.016595,0.024118,2447,777229
2018-11-24,0.024101,0.024796,0.015449,0.016059,1228,517516
2018-11-25,0.016011,0.016043,0.012964,0.014884,1559,479666
2018-11-26,0.014858,0.015095,0.01256,0.014287,474,460417
2018-11-27,0.014268,0.017974,0.013363,0.017675,76,569583
2018-11-28,0.01772,0.0204,0.014935,0.019791,350,637800
2018-11-29,0.019858,0.019949,0.018653,0.019031,1270,613301
2018-11-30,0.019069,0.020414,0.018154,0.020269,266,653178
2018-12-01,0.020321,0.020788,0.016189,0.016503,763,531839
2018-12-02,0.016445,0.019512,0.016196,0.01677,728,540433
2018-12-03,0.016785,0.017958,0.015104,0.017849,19,575193
2018-12-04,0.017829,0.02026,0.017594,0.019821,221,638743
2018-12-05,0.019837,0.020882,0.012533,0.013415,1939,432324
2018-12-06,0.013398,0.013627,0.012322,0.012322,,397102
2018-12-07,0.012322,0.015851,0.011197,0.012502,741,402879
2018-12-08,0.012482,0.015762,0.012482,0.0154,79,496283
2018-12-09,0.015343,0.015658,0.015343,0.015491,34,499228
2018-12-10,0.015467,0.015674,0.011016,0.013589,1212,437918
2018-12-11,0.013575,0.013575,0.010609,0.01077,500,347083
2018-12-12,0.01076,0.012027,0.010366,0.01186,379,382205
2018-12-13,0.011867,0.013116,0.011548,0.012426,210,400448
2018-12-14,0.012452,0.012639,0.012091,0.012223,25,393898
2018-12-15,0.012228,0.012375,0.00987,0.009999,111,322238
2018-12-16,0.009998,0.011752,0.009998,0.010173,134,327850
2018-12-17,0.010188,0.012994,0.010084,0.012547,1102,404340
