time,Open,High,Low,close,volumeto,Market Cap
2016-09-17,3.09,3.1,3.08,3.09,3952,2622896
2016-09-18,3.08,3.12,2.84,2.98,1015,2534904
2016-09-19,2.98,3.12,2.98,3.09,309,2629093
2016-09-20,3.22,3.34,2.49,2.61,1361,2215194
2016-09-21,2.61,3.41,2.42,3.13,2802,2656633
2016-09-22,3.1,3.1,1.99,2.99,1595,2544866
2016-09-23,2.99,3.04,2.96,3.03,152,2577217
2016-09-24,1.94,2.77,1.93,2.77,231,2353438
2016-09-25,2.76,2.82,1.88,2.5,18408,2126930
2016-09-26,2.52,2.52,2.43,2.45,735,2081829
2016-09-27,2.46,2.5,2.24,2.36,6013,2004037
2016-09-28,2.36,2.36,1.99,2.23,5594,1895645
2016-09-29,2.23,10.51,1.95,10.46,1149,8889895
2016-09-30,10.46,15.69,1.85,2.0,7252,1695937
2016-10-01,2.37,13.18,1.78,1.79,739,1522767
2016-10-02,1.79,2.17,1.72,1.77,2011,1503446
2016-10-03,1.77,2.16,1.58,2.13,1141,1806658
2016-10-04,2.13,2.13,1.73,2.02,1055,1715385
2016-10-05,2.02,2.05,1.94,1.96,891,1662056
2016-10-06,1.95,1.97,1.69,1.93,280,1636735
2016-10-07,1.93,1.93,1.66,1.82,3485,1550451
2016-10-08,1.83,1.83,1.6,1.61,2689,1370982
2016-10-09,1.61,1.75,1.32,1.33,2269,1127024
2016-10-10,1.33,8.28,0.828226,1.47,2454,1249024
2016-10-11,1.47,1.77,1.47,1.71,2839,1452591
2016-10-12,1.71,1.75,1.56,1.59,307,1349086
2016-10-13,1.58,1.61,1.57,1.57,235,1335988
2016-10-14,1.73,1.74,1.71,1.72,60,1461116
2016-10-15,1.72,1.72,1.72,1.72,60,1462009
2016-10-18,1.76,2.28,1.52,2.27,8342,1926041
2016-10-19,2.27,2.27,1.64,2.01,4671,1706605
2016-10-20,2.01,2.19,1.4,1.98,2354,1686604
2016-10-21,1.99,1.99,1.86,1.9,332,1614456
2016-10-22,1.9,2.77,1.87,2.75,20602,2339455
2016-10-23,2.77,4.85,1.79,1.93,5753,1636896
2016-10-24,1.93,2.75,1.79,2.39,1400,2034730
2016-10-25,2.39,2.8,2.07,2.74,2475,2327487
2016-10-26,2.73,4.05,1.65,4.04,787,3430770
2016-10-27,4.04,11.58,1.42,1.44,1661,1221943
2016-10-28,1.43,2.07,1.43,1.77,247,1507577
2016-10-29,1.78,1.86,1.49,1.72,1095,1464856
2016-10-30,1.72,2.1,1.7,1.73,836,1473331
2016-10-31,1.74,11.32,1.72,2.09,1912,1775276
2016-11-01,2.08,2.09,1.57,1.94,2991,1647122
2016-11-02,1.94,5.58,1.68,1.82,7635,1544612
2016-11-03,1.82,2.1,1.78,2.04,86,1735182
2016-11-04,2.04,5.69,1.84,5.68,520,4826674
2016-11-05,5.68,110.89,1.64,110.68,9455,94082250
2016-11-07,1.73,1.75,1.51,1.51,1127,
2016-11-08,1.52,1.66,1.51,1.52,8806,
2016-11-09,1.52,1.71,1.43,1.6,3001,
2016-11-10,1.6,1.72,1.48,1.49,186,
2016-11-11,1.49,1.69,1.47,1.65,1,
2016-11-12,1.65,1.65,1.38,1.4,30,
2016-11-13,1.4,1.52,1.4,1.44,161,
2016-11-15,1.46,1.54,1.46,1.53,1089,
2016-11-16,1.53,1.62,1.19,1.57,823,
2016-11-17,1.57,2.03,1.46,1.47,1059,
2016-11-18,1.47,1.47,1.38,1.38,245,
2016-11-19,1.38,1.5,1.25,1.49,694,
2016-11-20,1.49,1.5,1.25,1.25,22,
2016-11-21,1.25,1.26,1.24,1.25,1594,
2016-11-22,1.25,1.53,1.25,1.48,2,
2016-11-23,1.49,1.49,1.27,1.3,462,
2016-11-24,1.3,1.32,1.17,1.21,111,
2016-11-25,1.21,1.22,1.21,1.22,112,
2016-11-26,1.42,1.42,1.4,1.4,29,
2016-11-27,1.4,1.4,1.14,1.35,339,
2016-11-28,1.35,2.62,1.14,2.62,66,
2016-11-29,2.62,2.8,1.27,1.3,357,
2016-11-30,1.3,1.39,1.3,1.36,0,
2016-12-02,0.958598,0.977755,0.952123,0.977755,78,
2016-12-03,0.978558,1.02,0.958538,0.996505,134,
2016-12-04,0.994251,0.994251,0.113959,0.936228,188,
2016-12-05,0.932191,1.29,0.831937,0.852708,54,
2016-12-06,0.850575,0.882396,0.808084,0.831639,52,
2016-12-07,0.949757,2.44,0.916128,1.24,186,
2016-12-08,1.24,2.63,1.11,1.11,349,
2016-12-09,1.11,1.38,1.05,1.34,1184,
2016-12-10,1.34,1.36,1.31,1.31,0,
2016-12-11,1.02,1.03,1.02,1.02,2690,
2016-12-12,1.02,2.93,1.02,1.08,345,
2016-12-13,1.08,1.75,1.05,1.34,42,
2016-12-14,1.34,1.35,1.31,1.31,49,
2016-12-15,1.31,1.31,1.02,1.03,278,
2016-12-16,1.04,1.25,1.03,1.25,8,
2016-12-17,1.25,1.26,1.2,1.26,102,
2016-12-18,1.26,15.86,1.01,1.03,74,
2016-12-19,1.03,1.25,0.9989,1.0,184,
2016-12-20,1.0,1.28,0.984308,0.995805,2203,
2016-12-21,0.996276,1.25,0.996276,1.18,88,
2016-12-22,1.18,1.25,1.14,1.21,1,
2016-12-23,1.2,1.22,1.14,1.14,6,
2016-12-24,1.14,1.18,0.936247,0.944781,1164,
2016-12-25,0.944662,1.37,0.943515,1.36,1914,
2016-12-26,1.35,1.37,1.15,1.15,207,
2016-12-27,1.15,1.35,1.1,1.28,188,
2016-12-28,1.28,1.37,1.27,1.35,101,
2016-12-29,1.36,1.47,1.04,1.08,2405,
2016-12-30,1.08,1.1,1.07,1.09,858,
2016-12-31,1.43,1.48,1.39,1.4,114,
2017-01-01,1.4,1.48,1.31,1.42,314,
2017-01-02,1.42,1.42,1.05,1.27,1199,
2017-01-03,1.27,1.72,1.26,1.68,492,
2017-01-04,1.68,1.7,1.37,1.69,1652,
2017-01-05,1.7,1.78,1.41,1.57,43,
2017-01-06,1.57,1.66,1.5,1.59,4,
2017-01-07,1.59,1.59,0.784126,0.789375,630,
2017-01-08,0.789806,1.32,0.786312,1.2,12,
2017-01-09,1.2,1.64,1.16,1.27,79,
2017-01-10,1.28,1.5,1.18,1.48,32,
2017-01-11,1.48,1.96,1.48,1.78,114,
2017-01-12,1.78,1.78,0.999895,1.01,103,
2017-01-13,1.0,1.01,0.960952,1.01,123,
2017-01-14,1.01,1.01,0.944398,0.964666,591,
2017-01-15,0.98292,0.993273,0.959741,0.990712,403,
2017-01-16,1.04,1.39,1.02,1.38,4066,
2017-01-17,1.38,2.03,1.27,1.6,105,
2017-01-18,1.6,1.63,1.24,1.61,764,
2017-01-19,1.61,1.66,1.28,1.65,1395,
2017-01-20,1.65,1.72,0.198464,1.33,2956,
2017-01-21,1.33,1.44,1.24,1.38,3804,
2017-01-22,1.38,2.32,1.37,2.02,1912,
2017-01-23,2.02,2.06,1.18,2.06,6138,
2017-01-24,2.04,2.04,1.43,1.65,5252,
2017-01-25,1.65,2.15,1.62,1.63,1912,
2017-01-26,1.63,1.84,1.48,1.73,2443,
2017-01-27,1.73,1.81,1.08,1.08,87,
2017-01-28,1.08,1.59,0.460522,1.51,126,
2017-01-29,1.51,1.92,1.51,1.69,1,
2017-01-30,1.69,1.9,1.68,1.68,1,
2017-01-31,1.68,1.69,1.55,1.65,551,
2017-02-01,1.65,1.66,1.55,1.58,7,
2017-02-02,1.58,2.15,1.2,1.73,16988,
2017-02-03,1.73,1.74,0.008607,1.66,98,
2017-02-04,1.66,2.18,1.63,2.18,0,
2017-02-05,2.18,2.24,1.09,2.13,265,
2017-02-06,2.13,2.15,1.6,2.08,863,
2017-02-07,2.08,2.11,1.5,1.57,2446,
2017-02-08,1.58,1.71,1.16,1.67,1955,
2017-02-09,1.67,1.71,1.34,1.71,11,
2017-02-10,1.72,1.86,1.35,1.39,312,
2017-02-11,1.39,1.41,0.676999,1.34,1014,
2017-02-12,1.34,1.62,1.23,1.57,626,
2017-02-13,1.57,1.64,1.48,1.64,297,
2017-02-14,1.01,1.48,0.997835,1.47,1315,
2017-02-15,1.47,1.62,1.39,1.4,2837,
2017-02-16,1.4,1.55,1.13,1.28,332,
2017-02-17,1.28,1.61,1.27,1.56,177,
2017-02-18,1.57,1.59,1.27,1.4,3634,
2017-02-19,1.4,1.4,1.25,1.26,106,
2017-02-20,1.27,2.11,1.21,1.3,1032,
2017-02-21,1.3,1.32,1.26,1.3,1542,
2017-02-22,1.3,1.33,1.23,1.32,133,
2017-02-23,1.32,1.79,1.01,1.78,1313,
