date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2/03/2018,,,0,,,,,0,0,0,,0,,,0,0
3/03/2018,,,5405,,,,,18995946.72,6.05442323,24614547,16786.71172,2228,,0.000288,5112950050,6610
4/03/2018,,,8875,,,,,900.4601171,5.49512874,19448,568843.2751,15061,,0.000288,10045126,577
5/03/2018,,,4884,,,,,898.1916916,2.16795791,11788,467466.2325,19501,,0.0001,6623724,575
6/03/2018,,,3908,,,,,904.4535007,2.13093114,14222,534188.9659,15875,,0.0001,27697542,579
7/03/2018,,,5967,,,,,832.4537448,5.76167348,38815,529249.4909,17543,,0.000288,146436387,533
8/03/2018,,,3388,,,,,898.3893364,0.99609019,9061,435645.8848,18069,,8.66E-05,5256464,575
9/03/2018,,,3602,,,,,885.8501316,1.89001061,10213,416773.8281,22413,,0.0001,5373847,567
10/03/2018,5995066.492,4400417.968,2435,0,65.82,290526,0,904.6569644,0.57545699,6992,360217.3702,21092,118.3491655,0.0001,4229047,579
11/03/2018,4527840.658,2649518.655,2460,0,62.04,298409,0,876.5306122,0.87115972,6558,346232.8471,22941,96.60440414,0.0001,4774504,561
12/03/2018,7331100.19,5655029.445,3078,0,76.82,732879,0,895.2065315,0.89753291,8138,379043.8738,19470,143.1544618,2.44E-05,4673530,573
13/03/2018,9183683.722,7343510.024,2835,0,68.05,1210660,0,881.2254956,0.66412904,9327,357240.7311,15947,149.709231,1.55E-05,5860582,564
14/03/2018,5593673.764,4630831.504,3007,0,47.24,761219,0,881.1751844,0.71850288,7694,241687.1923,16898,146.0883111,1.05E-05,4255129,564
15/03/2018,2325534.972,2126168.888,2419,0,41.69,596990,0,895.2615969,0.42797219,5942,228615.5322,15778,88.57876926,1.12E-05,3864377,573
16/03/2018,2042633.159,1910392.719,2215,0,38.49,541483,0,887.4677707,0.32538575,5760,238378.7945,17616,73.04565612,1.36E-05,3798188,568
17/03/2018,1535396.66,1457652.698,2043,0,36.93,492844,0,901.5354779,0.36209397,5000,198931.9902,17014,68.14293059,1.41E-05,3741537,577
18/03/2018,1187769.698,1114122.778,2001,0,28.49,661798,0,901.4882443,0.40525483,4895,192941.5284,17888,47.07299253,2.44E-05,3718204,577
19/03/2018,1073435.207,966790.7345,2036,0,30.7,618000,0,892.1460216,0.4428168,5020,193478.2975,18006,52.39939396,1.55E-05,4157992,571
20/03/2018,1156277.085,1053100.082,1998,0,34.41,620125,0,892.1582534,0.42295267,4824,204195.7356,17242,55.04326555,1.99E-05,3757181,571
21/03/2018,2108032.927,1884692.856,1916,0,34.54,557110,0,898.3870881,0.2990565,4741,212219.9822,15780,60.28045351,2.25E-05,3588107,575
22/03/2018,1002175.963,866473.9422,1720,0,32.27,365000,0,892.1620317,0.50961858,4279,190797.2862,16028,51.32458081,2.84E-05,3426301,571
23/03/2018,1931892.567,1461394.484,1727,0,30.13,618909,0,895.2816361,0.19369694,4216,199072.2585,18080,47.15964202,5.46E-05,3517127,573
24/03/2018,836539.1707,758382.5273,1591,0,30.55,403460,0,890.5545893,0.23181725,3835,171444.3881,15755,47.75674646,4.02E-05,3315660,570
25/03/2018,654164.2845,612338.0955,1589,0,28.19,354274,0,887.4826241,0.21017635,3687,175780.6647,16878,44.07503315,7.24E-05,3454972,568
26/03/2018,745233.5138,680936.8296,1618,0,28.84,470057,0,899.9559674,0.28334074,3777,177678.8265,16046,45.22637061,0.0001,3615583,576
27/03/2018,1468513.781,1059714.105,1753,0,26.13,443011,0,887.4744065,0.3073991,4051,173539.3384,17943,40.95302692,8.35E-05,3739136,568
28/03/2018,759198.1636,714307.2896,1783,0,25.93,402676,0,912.4450275,0.2367823,3948,159995.8501,17160,40.80745444,4.92E-05,3941030,584
29/03/2018,1457242.511,1046555.935,1594,0,28.15,296954,0,884.3471876,0.22176787,3521,180954.8959,17297,43.99391729,0.0001,3635466,566
30/03/2018,670248.8575,641102.7297,1500,0,24.2,392420,0,909.3339545,0.24101153,3365,172672.3576,17326,37.86114636,0.0001,3449201,582
31/03/2018,1118504.064,768570.1464,1556,0,24.29,256142,0,870.2867844,0.16314373,3416,175772.4224,16430,37.97069153,0.0001,3410510,557
1/04/2018,637185.9575,598282.7604,1496,0,24.2,203537,0,909.3621815,0.41189372,3230,163802.8703,17427,37.82127613,0.0001,3591945,582
2/04/2018,366418.7311,319600.9381,1485,0,22.69,198008,0,903.0744979,0.23539123,3165,163369.7891,16280,35.45322779,0.0001,3433431,578
3/04/2018,527365.1342,472274.8782,1511,0,23.24,383172,0,878.0956989,0.27484925,3226,154379.7856,13120,36.49343665,0.0001,3366825,562
4/04/2018,462986.1662,419268.9912,1495,0,22.99,316896,0,902.9719487,0.54502946,3216,147810.759,14844,36.1100447,0.0001,3634037,578
5/04/2018,1126027.424,1105916.988,1434,0,20.24,223586,0,876.4620277,0.23380834,3126,144777.7609,14988,31.63660319,0.0001,3353750,561
6/04/2018,711137.6344,692013.4007,1496,0,20.11,130238,0,899.9646961,0.50062045,3059,155261.2354,16698,31.421875,0.0001,3686268,576
7/04/2018,675307.6569,653215.6611,1509,0,18.91,315307,0,895.279458,0.40344654,3123,139667.1742,16110,30.41330926,0.0001,3551769,573
8/04/2018,691878.2616,614208.5503,1669,0,17.26,372790,0,890.555348,0.35438193,3316,119915.2949,17492,27.01249582,0.0001,3955690,570
9/04/2018,536455.6663,495824.2924,1617,0,14.63,286241,0,887.4729211,0.37477075,3198,113222.879,15608,22.86160388,0.0001,3568059,568
10/04/2018,384713.8878,369362.0422,1490,0,14.43,251160,0,903.0405185,0.24745584,2971,115520.7262,15204,22.74899846,6.71E-05,3479479,578
11/04/2018,287837.9374,273804.5568,1453,0,15.26,274936,0,871.8199325,0.38888613,2911,104119.3492,14336,23.85061166,0.0001,3357694,558
12/04/2018,1164608.7,806108.0931,2092,306850764,15.04,1069420,0,938.8749652,0.74682448,4089,121713.4772,15094,35.56362716,3.50E-05,4134562,601
13/04/2018,9612356.88,7229288.297,2627,615330708.6,30.16,944433,0,891.9977104,0.74606015,5585,162057.6519,17776,66.975181,0.0001,5905742,571
14/04/2018,1088561.225,941186.1949,2065,545761533.9,26.75,698411,0,874.8961221,0.70580703,4232,150072.0879,18948,43.48912013,0.0001,4693945,560
15/04/2018,687008.5493,592665.9434,1832,494765348.2,24.25,650749,0,906.1299694,0.52560435,3634,135433.7341,17281,37.9046415,0.0001,3893815,580
16/04/2018,656251.5787,535947.885,1708,556671288.8,27.28,389245,0,892.0998298,0.3263186,3516,146392.8307,18796,42.63305333,0.0001,3628026,571
17/04/2018,1057427.461,564180.9679,1671,517864366.2,25.38,444854,0,887.3911946,0.39517243,3388,144803.9945,16507,45.72417603,6.81E-05,3399940,568
18/04/2018,933079.5332,895097.3339,1790,489564364.1,23.99,603318,0,896.6461035,1.71574433,4122,146835.4249,15946,58.93174399,0.0001,4714672,574
19/04/2018,2223083.092,2060217.32,2067,565561940.2,27.72,1039730,0,897.5983863,3.37188224,6243,154490.8692,17799,68.83442902,0.0001,6306978,575
20/04/2018,1757862.167,1424756.295,1876,646475906.2,31.68,763061,0,877.9376386,0.80867501,3790,161126.4832,14824,64.72200398,0.0001,4419482,562
21/04/2018,2479627.546,2256027.842,2902,736403817,36.09,1700190,0,927.9835572,1.59310012,5314,205122.0112,16393,87.97124013,0.0001,6263449,594
22/04/2018,9191047.502,6006394.296,2956,958932371.5,47,2375430,0,904.4012668,1.26721238,5755,249544.2262,15227,140.9999013,0.0001,6156829,579
23/04/2018,3436998.659,3079508.59,2942,957798481.5,46.94,1763280,0,876.4850365,1.36647338,5712,259995.2413,16919,88.47344423,5.24E-05,5677973,561
24/04/2018,4681540.473,4336224.934,2963,1099577482,53.89,2184500,0,874.9045147,0.84883336,6209,231535.1937,17831,125.2614843,2.89E-05,6183035,560
25/04/2018,3678015.63,2454925.881,2436,1049419358,51.43,1286150,0,903.0777785,0.69543777,4662,215278.2666,16582,80.66610815,5.04E-05,4692716,578
26/04/2018,4583515.699,4308590.123,2193,908161054.4,44.48,1196900,0,881.1989625,0.55072254,4234,225820.4192,13897,69.50030424,0.0001,4366893,564
27/04/2018,3997314.666,3819016.53,2275,1024045680,50.16,1547370,0,874.8883365,0.91800018,4261,210691.3552,14846,80.05994613,0.0001,4606292,560
28/04/2018,3480079.424,3197401.604,2185,816713344.6,40,2031560,0,887.3679277,0.99811991,4605,169182.2608,16598,109.1435136,0.0001,4581340,568
29/04/2018,77531695.55,77444676.38,2605,757160405.9,37.08,1125860,0,893.6046373,1.19382427,4673,144389.2566,16677,115.369996,0.0001,11659012,572
30/04/2018,1919284.856,1817008.301,2192,709944464.5,34.77,1731620,0,902.7965966,1.64670354,4761,155919.8705,16424,55.053019,0.0001,5997294,578
1/05/2018,2683828.517,2360890.041,2262,844646091.6,41.36,1078310,0,862.3818617,0.6528779,4678,181463.2888,16184,67.66775304,0.0001,4524101,552
2/05/2018,1157240.64,1015613.169,2084,796858189.8,39.02,798812,0,903.0565536,0.46695291,4229,163352.0659,17562,60.964848,0.0001,4387313,578
3/05/2018,8961608.295,6695854.164,3206,814981228.5,39.9,2594300,0,901.343188,1.96286248,6964,158103.7469,15770,140.9740899,0.0001,5830732,577
4/05/2018,11896310.04,10630369.31,2585,845888551.2,41.42,1640510,0,874.8259248,1.12687894,6097,140753.5572,16479,112.4489234,0.0001,5218280,560
5/05/2018,10536984.93,8380773.609,2320,738135030.7,36.14,1490330,0,893.5762975,2.47362617,5958,150340.8964,17339,71.03386353,0.0001,5736002,572
6/05/2018,1882127.465,1602964.897,2132,654590489,32.05,867677,0,910.6772943,0.97106029,3852,141416.7072,19076,56.67091224,0.0001,4495405,583
7/05/2018,1703907.12,1277236.887,1983,659864038.8,32.3,959594,0,874.8082688,0.59129387,3578,144281.6754,16700,62.33988276,0.0001,3952393,560
8/05/2018,2234858.791,2012328.445,1897,595481344.4,29.15,1022310,0,882.7137924,0.72080991,3617,118051.7438,16303,54.75947715,0.0001,4006887,565
9/05/2018,1762163.586,1247061.048,2086,552368743.6,27.04,1652960,0,909.2939958,0.58104927,3905,131206.581,16801,42.35704136,0.0001,4330996,582
10/05/2018,2822559.556,2165825.306,1801,626859420.8,30.68,952536,0,896.7971841,0.60167846,3540,138950.2667,15928,70.16688636,0.0001,4244553,574
11/05/2018,1466927.254,1175834.043,1662,569837384,27.89,552912,0,892.1440228,0.89962263,3162,128531.1874,18384,47.30234921,0.0001,4029264,571
12/05/2018,615791.1067,418133.0205,1640,492829787.9,24.12,784428,0,889.0009908,0.47656172,2922,125561.7529,16495,47.62665083,6.26E-05,3646185,569
13/05/2018,593973.8271,455248.1303,1649,497083060,24.33,784311,0,898.3004716,0.65844204,3296,120488.8451,17104,51.06255246,0.0001,4253218,575
14/05/2018,1367308.95,987896.6939,1609,525040925.6,25.7,728059,0,887.4930284,0.68498439,3210,121673.0761,16580,79.50391478,0.0001,4140369,568
15/05/2018,1051696.453,871450.2787,1651,486875324.3,23.83,705934,0,889.0524117,0.77942351,3351,112104.047,14996,38.76202694,0.0001,4335842,569
16/05/2018,631459.3835,528544.1472,1682,490446451.2,24,520817,0,904.6864043,0.51440348,3017,106977.9766,16206,45.1016976,0.0001,3901470,579
17/05/2018,1459617.801,991724.8889,1701,472234273.6,23.11,606420,0,885.9375,0.57796744,3059,106031.8642,15050,36.1329472,0.0001,4239340,567
18/05/2018,1120421.257,997508.017,1597,464326282.7,22.72,668389,0,903.125,0.53551593,2891,106421.2932,15695,35.58082731,0.0001,3756222,578
19/05/2018,607289.8119,495727.2453,1569,448343595.6,21.94,553814,0,890.6249515,0.423581,2804,110637.3678,14878,34.2930546,0.0001,3663090,570
20/05/2018,465165.083,353265.1348,1712,461262759.6,22.57,279866,0,899.9976137,0.67541313,3027,97630.90113,14698,35.28417212,0.0001,4399124,576
21/05/2018,617662.8045,522448.2579,1731,465503142.7,22.78,455302,0,879.6825892,0.51818943,3006,100776.671,14010,35.83889241,0.0001,4028988,563
22/05/2018,1570915.688,1001625,1837,431846404.2,21.13,1029390,0,892.172787,0.7333161,3139,93662.02455,13842,48.04650797,0.0001,4044193,571
23/05/2018,1953359.575,1477593.308,1810,400899565.7,19.61,917903,0,890.4809071,0.67068468,3133,93339.86486,15278,32.56663978,0.0001,4086824,570
24/05/2018,1775687.221,1411065.194,2019,376409844,18.41,2077110,0,921.8632831,0.72053786,3862,101701.2849,16992,56.95429551,0.0001,3960544,590
25/05/2018,6727064.867,6199506.764,1916,533901712.1,26.12,1171300,0,898.4344928,0.98493805,3947,130776.5618,18633,41.21170737,0.0001,4390628,575
26/05/2018,1247735.237,1028336.231,1684,514571123.9,25.17,705891,0,882.812048,0.55166009,3574,113106.1076,15535,39.33327151,0.0001,4730283,565
27/05/2018,1097315.998,802412.6961,1671,474326006.6,23.2,968487,0,884.3722994,0.56355539,3125,117279.0436,14970,40.7500917,0.0001,3895901,566
28/05/2018,1285505.085,955755.9372,1729,462165513.9,22.6,1004910,0,900,0.57848658,3297,126966.3366,14658,42.94,0.0001,3811429,576
29/05/2018,1616751.795,1322417.82,1606,449319304.4,21.98,673225,0,898.4354356,0.45409656,3283,124655.6587,15739,34.36915734,0.0001,3843383,575
30/05/2018,1210643.539,789743.2845,1743,455409400.3,22.27,372582,0,876.5607327,0.49958794,3003,117829.1986,13926,35.53212796,0.0001,3919095,561
31/05/2018,1509000.377,1342447.179,1557,451388115.8,22.07,578711,0,907.8123806,0.65893952,2922,116287.6879,14296,34.4996033,0.0001,3839684,581
1/06/2018,855959.6757,660224.4654,1704,474197681.6,23.19,872503,0,903.1090971,0.56264647,3084,124962.1393,15380,41.78034443,0.0001,3918147,578
2/06/2018,2979296.177,1415586.442,1496,484687538,23.7,626797,0,896.8742045,0.71493674,3040,130071.56,15282,47.49339127,0.0001,4165552,574
3/06/2018,5495216.377,3655116.757,1638,516202765.9,25.24,889418,0,879.6854822,0.82875791,3081,126341.2342,15535,47.79627547,0.0001,3964909,563
